2026-09-07T09:24:58.2103149Z checkpoint=after-life-respawn; time=11.40988; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:24:58.4836096Z checkpoint=assert-canonical-matter; time=11.55722; name=Light Push Boulder; id=M1:4; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.73, 56.19, 2.91); velocity=(0.76, -1.18, -2.00); collisionCount=3; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:4 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:24:58.4836096Z checkpoint=restored-original-and-family; time=11.55722; name=Light Push Boulder; id=M1:4; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.73, 56.19, 2.91); velocity=(0.76, -1.18, -2.00); collisionCount=3; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:4 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:10.5036212Z checkpoint=assert-canonical-matter; time=4.096587; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.30); velocity=(0.06, -0.31, -0.22); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:10.5073165Z checkpoint=restored-original-and-family; time=4.096587; name=Light Push Boulder; id=M1:1; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.80, 56.28, 3.30); velocity=(0.06, -0.31, -0.22); collisionCount=1; collider=Arena_Wall_West_INTACT; impulse=53.09375; approach=0; sourceRecords=1; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:1 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:14.4640475Z checkpoint=after-first-countdown; time=8.100468; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:28:17.9960264Z checkpoint=after-life-respawn; time=11.63088; name=Light Push Boulder; id=M1:1; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.10, 2.80); velocity=(0.00, 0.00, 0.00); collisionCount=2; collider=Arena_FloorBase_INTACT; impulse=401.4536; approach=1.759981; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:1 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:1 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:1 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:1 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:28:18.2754035Z checkpoint=assert-canonical-matter; time=11.78186; name=Light Push Boulder; id=M1:4; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.71, 56.16, 2.87); velocity=(0.78, -1.45, -2.01); collisionCount=3; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:4 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:18.2764110Z checkpoint=restored-original-and-family; time=11.78186; name=Light Push Boulder; id=M1:4; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.71, 56.16, 2.87); velocity=(0.78, -1.45, -2.01); collisionCount=3; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:4 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:18.2814463Z checkpoint=assert-canonical-matter; time=11.78186; name=Light Push Boulder; id=M1:4; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.71, 56.16, 2.87); velocity=(0.78, -1.45, -2.01); collisionCount=3; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:4 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:18.2814463Z checkpoint=restored-original-and-family; time=11.78186; name=Light Push Boulder; id=M1:4; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.71, 56.16, 2.87); velocity=(0.78, -1.45, -2.01); collisionCount=3; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:4 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:22.1448603Z checkpoint=after-new-game-countdown; time=15.78262; name=Light Push Boulder; id=M1:4; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.09, 2.78); velocity=(0.00, 0.00, 0.00); collisionCount=4; collider=Arena_FloorBase_INTACT; impulse=1548.319; approach=1.635905; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:2 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:2 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:2 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:2 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:28:25.6649119Z checkpoint=after-life-respawn; time=19.30578; name=Light Push Boulder; id=M1:4; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.09, 2.78); velocity=(0.00, 0.00, 0.00); collisionCount=4; collider=Arena_FloorBase_INTACT; impulse=1548.319; approach=1.635905; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:2 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:2 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:2 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:2 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
2026-09-07T09:28:25.9151096Z checkpoint=assert-canonical-matter; time=19.43443; name=Light Push Boulder; id=M1:7; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.73, 56.19, 2.91); velocity=(0.76, -1.18, -2.00); collisionCount=5; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:7 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:25.9161144Z checkpoint=restored-original-and-family; time=19.43443; name=Light Push Boulder; id=M1:7; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.73, 56.19, 2.91); velocity=(0.76, -1.18, -2.00); collisionCount=5; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:7 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:25.9181299Z checkpoint=assert-canonical-matter; time=19.43443; name=Light Push Boulder; id=M1:7; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.73, 56.19, 2.91); velocity=(0.76, -1.18, -2.00); collisionCount=5; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:7 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:25.9191388Z checkpoint=restored-original-and-family; time=19.43443; name=Light Push Boulder; id=M1:7; read=True; phase=FreeDynamic; failure=None; active=True; shattered=False; anchored=False; bodyPos=(-3.73, 56.19, 2.91); velocity=(0.76, -1.18, -2.00); collisionCount=5; collider=Arena_Wall_West_INTACT; impulse=62.271; approach=0; sourceRecords=1; sourceConsumed=4; sourceMass=673.7081; sourceVolume=1.264439; family= [M1:7 FreeDynamic/HeroPhysical m=673.7081 v=1.264439]
2026-09-07T09:28:29.8068190Z checkpoint=after-new-game-countdown; time=23.44292; name=Light Push Boulder; id=M1:7; read=False; phase=<stale>; failure=StaleHandle; active=True; shattered=True; anchored=False; bodyPos=(-3.69, 56.09, 2.78); velocity=(0.00, 0.00, 0.00); collisionCount=6; collider=Arena_FloorBase_INTACT; impulse=1548.319; approach=1.635905; sourceRecords=4; sourceConsumed=0; sourceMass=673.7081; sourceVolume=1.264439; family= [M2:3 FreeDynamic/SecondaryPhysical m=168.4268 v=0.3161093] [M3:3 FreeDynamic/SecondaryPhysical m=168.427 v=0.3161097] [M4:3 FreeDynamic/SecondaryPhysical m=168.4279 v=0.3161113] [M5:3 FreeDynamic/SecondaryPhysical m=168.4264 v=0.3161086]
