"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"left-tap","0","2.5801987648010254","False","0","3","3","1","1","0.03501931205391884","0.03501930832862854","0.03107486478984356","0.030330991372466087","0","0"
"left-tap","0.1198568344116211","2.6416635513305664","True","0","1","2","0","1","0.05320800468325615","0.035015493631362915","0.058804236352443695","0.030437802895903587","0","0"
"left-tap","0.1636829376220703","0.042412932962179184","True","1","1","3","0","1","0.061989545822143555","0.03501930832862854","0.06773073971271515","0.026668835431337357","0","0"
"left-tap","0.17689800262451172","0.055201251059770584","True","1","1","3","0","1","0.06617813557386398","0.035015493631362915","0.0721672847867012","0.02503994107246399","0","0"
"left-tap","0.18815231323242188","0.06609241664409637","True","1","1","3","0","1","0.06574706733226776","0.035015493631362915","0.07154929637908936","0.023506414145231247","0","0"
"left-tap","0.19807052612304688","0.07569076865911484","True","1","1","3","0","1","0.06504134088754654","0.035015493631362915","0.07070623338222504","0.022033922374248505","0","0"
"left-tap","0.20936965942382812","0.08662576973438263","True","1","1","3","0","1","0.06359555572271347","0.03501931205391884","0.06905063986778259","0.020359251648187637","0","0"
"left-tap","0.21921730041503906","0.09615560621023178","True","1","1","3","0","1","0.06235957518219948","0.03501931205391884","0.06766588240861893","0.018825722858309746","0","0"
"left-tap","0.23004913330078125","0.10663779824972153","True","1","1","3","0","1","0.060795530676841736","0.035015493631362915","0.06592254340648651","0.01718919910490513","0","0"
"left-tap","0.26045799255371094","0.13606615364551544","True","1","1","3","0","1","0.05710667371749878","0.03501931205391884","0.06175684928894043","0.013477453961968422","0","0"
"left-tap","0.27380943298339844","0.14898695051670074","True","1","1","3","0","1","0.05600421503186226","0.035015497356653214","0.06046746298670769","0.012516138143837452","0","0"
"left-tap","0.2846860885620117","0.1595125049352646","True","1","1","3","0","1","0.05540911480784416","0.035015493631362915","0.05971977487206459","0.012256735935807228","0","0"
"left-tap","0.2962160110473633","0.17067095637321472","True","1","1","3","0","1","0.052830345928668976","0.035015497356653214","0.056973159313201904","0.012615322135388851","0","0"
"left-tap","0.3077583312988281","0.18184053897857666","True","1","1","3","0","1","0.05077420175075531","0.03501931205391884","0.054737720638513565","0.013576637022197247","0","0"
"left-tap","0.31859588623046875","0.1923280507326126","True","1","1","3","0","1","0.05036602169275284","0.03501931205391884","0.05414643511176109","0.015007165260612965","0","0"
"left-tap","0.33013439178466797","0.2034951150417328","True","1","2","1","0.17000000178813934","0","0.013298159465193748","0.04427387937903404","0.012275809422135353","0.031929366290569305","0","0.013484882190823555"
"left-tap","0.36174964904785156","0.23408998548984528","True","1","3","1","0.3400000035762787","0","0.005352049600332975","0.038929421454668045","0.002220144961029291","0.030475951731204987","0","0.019996648654341698"
"left-tap","0.3749418258666992","0.24685710668563843","True","1","3","1","0.5099999904632568","0","0.008674691431224346","0.036747388541698456","0.0046234335750341415","0.029541339725255966","0","0.024330196902155876"
"left-tap","0.3853902816772461","0.2569686472415924","True","1","3","1","0.6800000071525574","0","0.016388103365898132","0.035206232219934464","0.012035480700433254","0.028774576261639595","0","0.027858834713697433"
"left-tap","0.3968381881713867","0.26804688572883606","True","1","3","1","0.8500000238418579","0","0.027256306260824203","0.035000238567590714","0.022968534380197525","0.028980571776628494","0","0.03273407742381096"
"left-tap","0.4081554412841797","0.278999388217926","True","1","3","1","1","0","0.03501931205391884","0.03499642387032509","0.030956607311964035","0.02852661721408367","0","0.04082896187901497"
"left-tap","0.41859912872314453","0.28910550475120544","True","1","3","1","1","0","0.03501931205391884","0.03499642387032509","0.03094516322016716","0.02870972454547882","0","0.04386168345808983"
"left-tap","0.430084228515625","0.3002201318740845","True","1","3","1","1","0","0.03501930832862854","0.035000238567590714","0.03093753382563591","0.02870972640812397","0","0.04665789008140564"
