"scenario","time","phase","turnWeight","direction","leftHeight","rightHeight","leftContact","rightContact","eamm","presentationClock","animatorSpeed","stateLength","stateSpeed","stateSpeedMultiplier","turnClipLength","leftAboveSurface","rightAboveSurface","leftProbeClearance","rightProbeClearance","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection","pelvisOffset","leftFloorPredicted","rightFloorPredicted","leftFloorGoal","rightFloorGoal","leftFloorBone","rightFloorBone","leftFloorEvaluated","rightFloorEvaluated","leftReason","rightReason","step"
"left-tap","0","2.574869155883789","0","0","-1.1677569150924683","-1.1642674207687378","1","1","1","1","1","1.9500000476837158","1","1","0","0.03497186303138733","0.034975677728652954","-0.026598531752824783","-0.02730807475745678","0.03501930832862854","0.035023123025894165","0.031071048229932785","0.030330989509820938","0","0","-0.021190224215388298","0","0","0","0","0","0","False","False","3","3","False"
"left-tap","0.13216495513916016","0","1","-1","-1.1562234163284302","-1.1618661880493164","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.04912060499191284","0.03499183803796768","-0.023600144311785698","-0.03246678039431572","0.05444779619574547","0.03501167893409729","0.06012413650751114","0.029400192201137543","0","0","-0.005505238194018602","0.05444779619574547","0","0.011198051273822784","0","0.05444779619574547","0","True","False","1","2","True"
"left-tap","0.17763710021972656","0.04400564730167389","1","-1","-1.1488335132598877","-1.1618661880493164","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05660559609532356","0.03501168638467789","-0.023905323818325996","-0.02322581224143505","0.062973752617836","0.03501167893409729","0.06881030648946762","0.025490080937743187","0","0","-0.002386595821008086","0.0629737451672554","0","0.015050474554300308","0","0.0629737451672554","0","True","False","1","3","True"
"left-tap","0.19240474700927734","0.05829706788063049","1","-1","-1.1449838876724243","-1.161870002746582","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.060494087636470795","0.035007867962121964","-0.023874806240200996","-0.018505947664380074","0.06731873750686646","0.035007864236831665","0.07340706884860992","0.023651374503970146","0","0","-0.0017994155641645193","0.06731874495744705","0","0.016124971210956573","0","0.06731874495744705","0","True","False","1","3","True"
"left-tap","0.20431900024414062","0.06982673704624176","1","-1","-1.145524263381958","-1.161870002746582","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05983481928706169","0.03500787168741226","-0.02400069124996662","-0.014174720272421837","0.06659775227308273","0.035007864236831665","0.07248390465974808","0.021972887217998505","0","0","-0.0014288396341726184","0.06659775227308273","0","0.016307394951581955","0","0.06659775227308273","0","True","False","1","3","True"
"left-tap","0.2153911590576172","0.08054158091545105","1","-1","-1.1465719938278198","-1.1618661880493164","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05882434546947479","0.03501168265938759","-0.023973988369107246","-0.009813840501010418","0.06559447944164276","0.03501167893409729","0.07132422178983688","0.020351620391011238","0","0","-0.0011508463649079204","0.06559447944164276","0","0.01661977544426918","0","0.06559447944164276","0","True","False","1","3","True"
"left-tap","0.2304706573486328","0.0951349288225174","1","-1","-1.1483955383300781","-1.1618661880493164","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05697321519255638","0.03501168265938759","-0.02400832250714302","-0.003401369322091341","0.0636604055762291","0.03501167893409729","0.06914981454610825","0.018074218183755875","0","0","-0.0008543877047486603","0.06365659087896347","0","0.016796231269836426","0","0.06365659087896347","0","True","False","1","3","True"
"left-tap","0.24401378631591797","0.10824115574359894","1","-1","-1.1501641273498535","-1.1618661880493164","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.0550989955663681","0.03501168265938759","-0.02412276342511177","0.0028517746832221746","0.061630960553884506","0.03501167893409729","0.06689149141311646","0.01606384851038456","0","0","-0.0006521981558762491","0.06163095682859421","0","0.016732554882764816","0","0.06163095682859421","0","True","False","1","3","True"
"left-tap","0.28061676025390625","0.14366312325000763","1","-1","-1.1540507078170776","-1.1618661880493164","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.05106056481599808","0.03501168265938759","-0.02429824136197567","0.020245704799890518","0.05734318867325783","0.03501167893409729","0.06202387809753418","0.012256735004484653","0","0","-0.0003106867370661348","0.05734318867325783","0","0.01665106788277626","0","0.05734318867325783","0","True","False","1","3","True"
"left-tap","0.2956514358520508","0.1582125425338745","1","-1","-1.1549086570739746","-1.161870002746582","0","1","0","1","1","1.033333420753479","1","1","1.033333420753479","0.050240155309438705","0.03500787168741226","-0.02426772378385067","0.024863017722964287","0.05651920288801193","0.035007864236831665","0.061016786843538284","0.011848557740449905","0","0","-0.00022829524823464453","0.05651920288801193","0","0.016758117824792862","0","0.05651920288801193","0","True","False","1","3","True"
