renderer	mesh	meshPath	meshGuid	material	shader	materialGuid	triangles	distance
Planet Collision Proxy	Sphere	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	768	60.57
Planet Collision Proxy/Planet Atmosphere Limb	Sphere	Library/unity default resources	0000000000000000e000000000000000	PlanetAtmosphere	Elemental/Atmosphere Shell	0638516d519b6594089b388ed1732b07	768	60.57
Top Ramp	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	13.84
Gravity Body 01	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	17.86
Gravity Body 02	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	33.65
Gravity Body 03	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	27.51
Gravity Body 04	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	47.83
Gravity Body 05	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	46.90
Gravity Body 06	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	48.21
Gravity Body 07	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	63.85
Gravity Body 08	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	54.77
Gravity Body 09	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	67.15
Gravity Body 10	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	71.67
Gravity Body 11	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	65.74
Gravity Body 12	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	81.46
Gravity Body 13	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	75.76
Gravity Body 14	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	80.09
Gravity Body 15	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	89.69
Gravity Body 16	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	81.54
Gravity Body 17	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	93.67
Gravity Body 18	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	93.47
Gravity Body 19	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	91.50
Gravity Body 20	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	103.07
Gravity Body 21	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	96.86
Gravity Body 22	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	103.31
Gravity Body 23	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	107.99
Gravity Body 24	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	103.32
Gravity Body 25	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	113.12
Gravity Body 26	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	111.08
Gravity Body 28	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	119.17
Gravity Body 29	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	115.85
Gravity Body 30	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	121.39
Gravity Body 31	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	122.99
Gravity Body 32	Cube	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	12	123.53
Planet Character	Capsule	Library/unity default resources	0000000000000000e000000000000000	Lit	Universal Render Pipeline/Lit	31321ba15b8f8eb4c954353edc038b1d	832	8.49
Planet Character	Capsule	Library/unity default resources	0000000000000000e000000000000000	MagicPreview	Universal Render Pipeline/Unlit	47301ad8730a40e419f2b00b897b69c5	832	8.49
Planet Character/Pelvis Body	Capsule	Library/unity default resources	0000000000000000e000000000000000	EarthShaperBody	Universal Render Pipeline/Lit	f212ff953e8fc044fabdc46d2198f9b7	832	8.55
Planet Character/Linebreaker Presentation/LinebreakerBody	LinebreakerBody	Assets/Elemental/Content/Characters/Linebreaker/Linebreaker.fbx	768c61288998aaf42ac2dcbe0e55b8db	LinebreakerMaterial_768c6128	Elemental/Graphics V5/Rumble Rock Lit	457cd458a5cea6140b2a2ff956d0450e	6349	8.44
Editable Voxel Planet/Valley Cloud Strata	Cube	Library/unity default resources	0000000000000000e000000000000000	ValleyCloudStrata	Elemental/Valley Cloud Strata	9ec595493e935ba4392771554e523a57	12	219.85
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 00	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1182.97
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 01	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1532.03
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 02	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1882.80
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 03	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1165.52
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 04	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1517.44
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 05	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1867.57
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 06	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1166.04
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 07	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1518.18
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 08	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1889.03
Editable Voxel Planet/Valley Cumulus Art Banks/Cloud bank 09	Quad	Library/unity default resources	0000000000000000e000000000000000	CloudBankCards_v1	Elemental/Cloud Bank Art	dbecf08b8b9963a48b6b6d1714aec7f5	2	1177.24
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 0	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	1704.98
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 1	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	2200.39
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 2	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	2904.89
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 3	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	1577.23
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 4	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	2284.81
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 5	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	2963.21
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 6	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	1804.58
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 7	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	2757.22
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 8	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	1952.29
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 9	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	2289.75
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 10	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	771.33
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 11	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	770.12
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 12	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	792.81
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 13	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	803.57
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 14	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	279.35
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 15	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	409.21
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 16	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	452.82
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 17	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	274.27
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 18	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	335.03
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 19	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	445.60
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 20	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	243.12
Editable Voxel Planet/Valley Atmosphere V2 Frame/Valley Procedural Cloud Banks/Procedural Bank 21	Cube	Library/unity default resources	0000000000000000e000000000000000	ProceduralCloudBanks	Elemental/Procedural Cloud Banks	7065f7b543e36714ba8d04dccb5b3cf5	12	363.49
Editable Voxel Planet/Voxel Chunk (-2, -2, -4)	Base (-2, -2, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		270	91.18
Editable Voxel Planet/Voxel Chunk (-1, -2, -4)	Base (-1, -2, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1952	92.53
Editable Voxel Planet/Voxel Chunk (0, -2, -4)	Base (0, -2, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1580	92.35
Editable Voxel Planet/Voxel Chunk (1, -2, -4)	Base (1, -2, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		192	90.76
Editable Voxel Planet/Voxel Chunk (-2, -1, -4)	Base (-2, -1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1940	83.23
Editable Voxel Planet/Voxel Chunk (-1, -1, -4)	Base (-1, -1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2628	81.94
Editable Voxel Planet/Voxel Chunk (0, -1, -4)	Base (0, -1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2256	81.71
Editable Voxel Planet/Voxel Chunk (1, -1, -4)	Base (1, -1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1298	83.01
Editable Voxel Planet/Voxel Chunk (-2, 0, -4)	Base (-2, 0, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1614	70.74
Editable Voxel Planet/Voxel Chunk (-1, 0, -4)	Base (-1, 0, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2234	69.01
Editable Voxel Planet/Voxel Chunk (0, 0, -4)	Base (0, 0, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2052	68.99
Editable Voxel Planet/Voxel Chunk (1, 0, -4)	Base (1, 0, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1164	70.47
Editable Voxel Planet/Voxel Chunk (-2, 1, -4)	Base (-2, 1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		142	61.18
Editable Voxel Planet/Voxel Chunk (-1, 1, -4)	Base (-1, 1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1326	58.00
Editable Voxel Planet/Voxel Chunk (0, 1, -4)	Base (0, 1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1176	57.88
Editable Voxel Planet/Voxel Chunk (1, 1, -4)	Base (1, 1, -4)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		122	61.24
Editable Voxel Planet/Voxel Chunk (-3, -3, -3)	Base (-3, -3, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		0	60.57
Editable Voxel Planet/Voxel Chunk (-2, -3, -3)	Base (-2, -3, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1830	104.05
Editable Voxel Planet/Voxel Chunk (-1, -3, -3)	Base (-1, -3, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		3456	103.64
Editable Voxel Planet/Voxel Chunk (0, -3, -3)	Base (0, -3, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2846	103.55
Editable Voxel Planet/Voxel Chunk (1, -3, -3)	Base (1, -3, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1228	103.95
Editable Voxel Planet/Voxel Chunk (2, -3, -3)	Base (2, -3, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		0	60.57
Editable Voxel Planet/Voxel Chunk (-3, -2, -3)	Base (-3, -2, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1830	96.18
Editable Voxel Planet/Voxel Chunk (-2, -2, -3)	Base (-2, -2, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		4132	93.23
Editable Voxel Planet/Voxel Chunk (-1, -2, -3)	Base (-1, -2, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1472	94.85
Editable Voxel Planet/Voxel Chunk (0, -2, -3)	Base (0, -2, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1304	94.56
Editable Voxel Planet/Voxel Chunk (1, -2, -3)	Base (1, -2, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2552	93.01
Editable Voxel Planet/Voxel Chunk (2, -2, -3)	Base (2, -2, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		920	95.66
Editable Voxel Planet/Voxel Chunk (-3, -1, -3)	Base (-3, -1, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		3392	84.23
Editable Voxel Planet/Voxel Chunk (-2, -1, -3)	Base (-2, -1, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1528	82.07
Editable Voxel Planet/Voxel Chunk (1, -1, -3)	Base (1, -1, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		916	81.97
Editable Voxel Planet/Voxel Chunk (2, -1, -3)	Base (2, -1, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1802	83.59
Editable Voxel Planet/Voxel Chunk (-3, 0, -3)	Base (-3, 0, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2892	71.94
Editable Voxel Planet/Voxel Chunk (-2, 0, -3)	Base (-2, 0, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1252	69.44
Editable Voxel Planet/Voxel Chunk (1, 0, -3)	Base (1, 0, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		888	69.09
Editable Voxel Planet/Voxel Chunk (2, 0, -3)	Base (2, 0, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1814	71.16
Editable Voxel Planet/Voxel Chunk (-3, 1, -3)	Base (-3, 1, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		1188	59.46
Editable Voxel Planet/Voxel Chunk (-2, 1, -3)	Base (-2, 1, -3)	Assets/Elemental/Content/StartupCaches/EarthCoreSlicePlanetBase_a3565256c82028c4ece51550448b8615.asset	29e8e5d97a35c394d889d28a7ac208d5	RumbleGround (Planet Runtime)	Elemental/Graphics V5/Rumble Rock Lit		2584	54.10
