time,y,grounded,leftLock,rightLock,leftWeight,rightWeight,leftError,rightError,x,z,speed,commandY,progress
14.0305,55.8446,True,False,False,0.000,0.000,0.0000,0.0000,0.0005,-7.9158,7.6891,-0.450,2.2127
14.0401,55.6837,True,False,False,0.000,0.000,0.0000,0.0000,0.0007,-7.9583,8.3209,-0.450,2.2552
14.0507,55.6837,True,False,False,0.000,0.000,0.0000,0.0000,0.0007,-7.9583,8.3209,-0.450,2.2552
14.0606,55.7464,True,False,False,0.000,0.000,0.0000,0.0000,0.0007,-7.9680,0.0000,-0.450,2.2648
14.0714,55.7464,True,False,False,0.000,0.000,0.0000,0.0000,0.0007,-7.9680,0.0000,-0.450,2.2648
14.0818,55.7577,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-7.9781,0.7967,-0.450,2.2750
14.0920,55.7577,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-7.9781,0.7967,-0.450,2.2750
14.1016,55.7563,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.0036,1.4234,-0.450,2.3005
14.1119,55.7563,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.0036,1.4234,-0.450,2.3005
14.1215,55.7507,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.0435,2.0452,-0.450,2.3404
14.1317,55.7507,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.0435,2.0452,-0.450,2.3404
14.1410,55.7425,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.0968,2.6968,-0.450,2.3937
14.1516,55.7425,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.0968,2.6968,-0.450,2.3937
14.1614,55.7372,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.1540,2.8732,-0.450,2.4509
14.1714,55.7372,True,False,False,0.000,0.000,0.0000,0.0000,0.0008,-8.1540,2.8732,-0.450,2.4509
14.1810,55.7263,True,False,False,0.000,0.000,0.0000,0.0000,0.0009,-8.2159,3.1427,-0.450,2.5128
14.1910,55.7263,True,False,False,0.000,0.000,0.0000,0.0000,0.0009,-8.2159,3.1427,-0.450,2.5128
14.2002,55.7130,True,False,False,0.000,0.000,0.0000,0.0000,0.0010,-8.2744,2.9990,-0.450,2.5713
14.2099,55.7130,True,False,False,0.000,0.000,0.0000,0.0000,0.0010,-8.2744,2.9990,-0.450,2.5713
14.2187,55.7130,True,False,False,0.000,0.000,0.0000,0.0000,0.0010,-8.2744,2.9990,-0.450,2.5713
14.2283,55.7052,True,False,False,0.000,0.000,0.0000,0.0000,0.0010,-8.3257,2.6430,-0.450,2.6226
14.2382,55.7052,True,False,False,0.000,0.000,0.0000,0.0000,0.0010,-8.3257,2.6430,-0.450,2.6226
14.2474,55.6959,True,False,False,0.000,0.000,0.0000,0.0000,0.0011,-8.3818,2.8537,-0.450,2.6787
14.2573,55.6959,True,False,False,0.000,0.000,0.0000,0.0000,0.0011,-8.3818,2.8537,-0.450,2.6787
14.3444,55.6480,True,False,False,0.000,0.000,0.0000,0.0000,0.0012,-8.6755,2.8830,-0.450,2.9724
14.3564,55.6480,True,False,False,0.000,0.000,0.0000,0.0000,0.0012,-8.6755,2.8830,-0.450,2.9724
14.3661,55.6403,True,False,False,0.000,0.000,0.0000,0.0000,0.0013,-8.7343,2.9620,-0.450,3.0312
14.3764,55.6403,True,False,False,0.000,0.000,0.0000,0.0000,0.0013,-8.7343,2.9620,-0.450,3.0312
14.3858,55.6272,True,False,False,0.000,0.000,0.0000,0.0000,0.0013,-8.7962,3.1631,-0.450,3.0930
14.3961,55.6272,True,False,False,0.000,0.000,0.0000,0.0000,0.0013,-8.7962,3.1631,-0.450,3.0930
14.4054,55.6162,True,False,False,0.000,0.000,0.0000,0.0000,0.0013,-8.8553,3.0060,-0.450,3.1521
14.4155,55.6162,True,False,False,0.000,0.000,0.0000,0.0000,0.0013,-8.8553,3.0060,-0.450,3.1521
14.4245,55.6058,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9150,3.0337,-0.450,3.2119
14.4342,55.6058,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9150,3.0337,-0.450,3.2119
14.4433,55.6003,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9469,1.6180,0.000,3.2438
14.4534,55.6003,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9469,1.6180,0.000,3.2438
14.4626,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.2068,0.000,3.2479
14.4726,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.2068,0.000,3.2479
14.4815,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.4915,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5005,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5105,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5201,55.5996,True,False,False,0.000,0.000,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5299,55.5996,True,False,False,0.025,0.025,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5391,55.5996,True,False,False,0.047,0.047,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5481,55.5996,True,False,False,0.070,0.070,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5579,55.5996,True,False,False,0.094,0.094,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5672,55.5996,True,False,False,0.118,0.118,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5771,55.5996,True,False,False,0.142,0.142,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5861,55.5996,True,False,False,0.165,0.165,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.5961,55.5996,True,False,False,0.190,0.190,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6051,55.5996,True,False,False,0.212,0.212,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6149,55.5996,True,False,False,0.237,0.237,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6239,55.5996,True,False,False,0.260,0.260,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6340,55.5996,True,False,False,0.285,0.285,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6431,55.5996,True,False,False,0.308,0.308,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6531,55.5996,True,False,False,0.332,0.332,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6624,55.5996,True,False,False,0.356,0.356,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6726,55.5996,True,False,False,0.381,0.381,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6822,55.5996,True,False,False,0.405,0.405,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.6925,55.5996,True,False,False,0.431,0.431,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7019,55.5996,True,False,False,0.454,0.454,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7125,55.5996,True,False,False,0.481,0.481,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7222,55.5996,True,False,False,0.505,0.505,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
14.7333,55.5996,True,False,False,0.533,0.533,0.0000,0.0000,0.0014,-8.9510,0.0000,0.000,3.2479
