phase,frame,captured,shedEvents,newDust,oldDust,chips,livingHoldWeight,focusX,focusY,focusZ
hold,17,7,51,255,60,83,0.3219854,0.9449256,57.93295,2.297593
hold,18,7,51,234,50,80,0.3219879,0.9449256,57.93295,2.297593
hold,19,7,51,240,49,78,0.3219899,0.9449256,57.93295,2.297593
hold,20,7,51,220,48,77,0.3219916,0.9449256,57.93295,2.297593
hold,21,7,51,190,48,75,0.3219931,0.9449256,57.93295,2.297593
hold,22,7,54,208,50,83,0.3219942,0.9449256,57.93295,2.297593
hold,23,7,54,207,50,83,0.3219952,0.9449256,57.93295,2.297593
hold,24,7,54,202,49,82,0.321996,0.9449256,57.93295,2.297593
hold,25,7,54,193,48,79,0.3219967,0.9449256,57.93295,2.297593
hold,26,7,57,203,60,87,0.3219973,0.9449256,57.93295,2.297593
hold,27,7,57,201,52,86,0.3219977,0.9449256,57.93295,2.297593
hold,28,7,57,202,51,85,0.3219981,0.9449256,57.93295,2.297593
hold,29,7,57,205,51,83,0.3219984,0.9449256,57.93295,2.297593
hold,30,7,57,191,48,82,0.3219987,0.9449256,57.93295,2.297593
hold,31,7,60,209,60,91,0.3219989,0.9449256,57.93295,2.297593
hold,32,7,60,212,51,88,0.3219991,0.9449256,57.93295,2.297593
hold,33,7,60,205,50,88,0.3219993,0.9449256,57.93295,2.297593
hold,34,7,60,196,49,87,0.3219994,0.9449256,57.93295,2.297593
hold,35,7,60,192,48,87,0.3219995,0.9449256,57.93295,2.297593
hold,36,7,63,205,60,96,0.3219996,0.9449256,57.93295,2.297593
hold,37,7,63,201,52,88,0.3219996,0.9449256,57.93295,2.297593
hold,38,7,63,208,51,88,0.3219997,0.9449256,57.93295,2.297593
hold,39,7,63,193,49,87,0.3219998,0.9449256,57.93295,2.297593
hold,40,7,63,195,48,85,0.3219998,0.9449256,57.93295,2.297593
hold,41,7,66,207,60,93,0.3219998,0.9449256,57.93295,2.297593
hold,42,7,66,210,50,84,0.3219998,0.9449256,57.93295,2.297593
hold,43,7,66,211,49,84,0.3219999,0.9449256,57.93295,2.297593
hold,44,7,66,197,49,84,0.3219999,0.9449256,57.93295,2.297593
hold,45,7,66,185,48,83,0.3219999,0.9449256,57.93295,2.297593
hold,46,7,69,202,52,91,0.3219999,0.9449256,57.93295,2.297593
hold,47,7,69,205,50,86,0.3219999,0.9449256,57.93295,2.297593
hold,48,7,69,194,49,85,0.3219999,0.9449256,57.93295,2.297593
hold,49,7,69,187,48,85,0.3219999,0.9449256,57.93295,2.297593
hold,50,7,72,206,60,94,0.3219999,0.9449256,57.93295,2.297593
hold,51,7,72,204,49,88,0.3219999,0.9449256,57.93295,2.297593
hold,52,7,72,205,49,87,0.3219999,0.9449256,57.93295,2.297593
hold,53,7,72,203,48,86,0.3219999,0.9449256,57.93295,2.297593
hold,54,7,72,187,48,85,0.3219999,0.9449256,57.93295,2.297593
hold,55,7,75,207,60,94,0.3219999,0.9449256,57.93295,2.297593
hold,56,7,75,207,54,85,0.3219999,0.9449256,57.93295,2.297593
hold,57,7,75,207,51,85,0.3219999,0.9449256,57.93295,2.297593
hold,58,7,75,188,49,84,0.3219999,0.9449256,57.93295,2.297593
hold,59,7,75,185,48,83,0.3219999,0.9449256,57.93295,2.297593
move,0,7,78,202,60,91,0.3219999,0.9449256,57.93295,2.297593
move,1,7,78,204,50,84,0.3219999,0.9721467,57.92802,2.308528
move,2,7,78,205,49,84,0.3219999,1.000058,57.91878,2.319032
move,3,7,78,187,49,84,0.3219999,1.028336,57.90932,2.329518
move,4,7,78,193,48,82,0.3219999,1.056829,57.9001,2.339982
move,5,7,81,209,60,91,0.3219999,1.085445,57.89069,2.350322
move,6,7,81,211,51,87,0.3219999,1.114036,57.8813,2.36051
move,7,7,81,212,49,86,0.3219999,1.142465,57.87192,2.370491
move,8,7,81,204,48,85,0.3219999,1.170541,57.8628,2.380227
move,9,7,81,196,48,84,0.3219999,1.198128,57.8539,2.389669
move,10,7,84,208,49,93,0.3219999,1.225057,57.84525,2.39876
move,11,7,84,207,48,86,0.3219999,1.251157,57.83682,2.407447
move,12,7,84,201,48,85,0.3219999,1.276259,57.82885,2.415709
move,13,7,84,191,48,85,0.3219999,1.300172,57.82133,2.423489
move,14,7,87,212,60,93,0.3219999,1.322755,57.81403,2.430718
move,15,7,87,209,51,86,0.3219999,1.343821,57.8074,2.437408
move,16,7,87,212,49,85,0.3219999,1.363218,57.8012,2.443488
move,17,7,87,212,48,83,0.3219999,1.380776,57.79565,2.448945
move,18,7,87,198,48,82,0.3219999,1.396384,57.79076,2.453758
move,19,7,90,209,60,91,0.3219999,1.409881,57.7865,2.457883
move,20,7,90,204,49,86,0.3219999,1.421166,57.78289,2.461301
move,21,7,90,206,49,85,0.3219999,1.43014,57.78014,2.46402
move,22,7,90,185,48,85,0.3219999,1.436733,57.77802,2.465995
move,23,7,90,189,48,84,0.3219999,1.44087,57.77675,2.46724
move,24,7,93,200,60,93,0.3219999,1.44087,57.77675,2.46724
move,25,7,93,205,52,86,0.3219999,1.44087,57.77675,2.46724
move,26,7,93,208,51,86,0.3219999,1.44087,57.77675,2.46724
move,27,7,93,192,50,86,0.3219999,1.432596,57.77929,2.464747
move,28,7,93,191,48,85,0.3219999,1.424406,57.78183,2.462274
move,29,7,96,206,60,92,0.3219999,1.413875,57.78523,2.459096
move,30,7,96,209,48,86,0.3219999,1.401107,57.78927,2.455204
move,31,7,96,209,48,86,0.3219999,1.386186,57.79395,2.450617
move,32,7,96,199,48,85,0.3219999,1.369263,57.79928,2.445371
move,33,7,96,192,48,85,0.3219999,1.350464,57.80526,2.439495
move,34,7,99,209,50,92,0.3219999,1.329941,57.81167,2.432995
move,35,7,99,213,48,87,0.3219999,1.307841,57.81876,2.425939
move,36,7,99,206,48,87,0.3219999,1.284342,57.82627,2.418345
move,37,7,99,194,48,87,0.3219999,1.259611,57.83424,2.410256
move,38,7,102,215,60,95,0.3219999,1.233827,57.84244,2.401695
move,39,7,102,216,49,87,0.3219999,1.207147,57.85109,2.392739
move,40,7,102,220,49,87,0.3219999,1.179763,57.85997,2.38342
move,41,7,102,215,48,86,0.3219999,1.151825,57.86888,2.373752
move,42,7,102,202,48,85,0.3219999,1.123507,57.87825,2.363862
move,43,7,105,214,60,92,0.3219999,1.094959,57.88741,2.353707
move,44,7,105,212,53,86,0.3219999,1.066342,57.89682,2.343415
move,45,7,105,207,50,86,0.3219999,1.037782,57.90625,2.333002
