"scenario","time","phase","step","turnWeight","leftReason","rightReason","leftContact","rightContact","leftAnkleFloor","rightAnkleFloor","leftToeFloor","rightToeFloor","leftFloorCorrection","rightFloorCorrection"
"left-tap","0","2.5812764167785645","False","0","3","3","1","1","0.03501931205391884","0.035023123025894165","0.03107486478984356","0.030334806069731712","0","0"
"left-tap","0.11248540878295898","2.6389613151550293","True","0","1","2","0","1","0.053627628833055496","0.035023123025894165","0.059292521327733994","0.030472135171294212","0","0"
"left-tap","0.15586042404174805","0.04197638854384422","True","1","1","3","0","1","0.0626533105969429","0.035023123025894165","0.06848987191915512","0.026737501844763756","0","0"
"left-tap","0.17043447494506836","0.05607986822724342","True","1","1","3","0","1","0.0672195628285408","0.03501930832862854","0.07330789417028427","0.024936944246292114","0","0"
"left-tap","0.18253087997436523","0.06778635829687119","True","1","1","3","0","1","0.06655579060316086","0.03501931205391884","0.0724266842007637","0.023277530446648598","0","0"
"left-tap","0.19296693801879883","0.07788541913032532","True","1","1","3","0","1","0.06562499701976776","0.035023123025894165","0.07133566588163376","0.02172493003308773","0","0"
"left-tap","0.20558595657348633","0.09009706228971481","True","1","1","3","0","1","0.06380917876958847","0.035023123025894165","0.06927570700645447","0.01984044536948204","0","0"
"left-tap","0.2177577018737793","0.10187689960002899","True","1","1","3","0","1","0.0621345080435276","0.035023123025894165","0.06739885360002518","0.017944518476724625","0","0"
"left-tap","0.2513270378112793","0.13436302542686462","True","1","1","3","0","1","0.057663626968860626","0.035023123025894165","0.06237483397126198","0.01366437692195177","0","0"
"left-tap","0.26332807540893555","0.1459767073392868","True","1","1","3","0","1","0.05653064697980881","0.035023126751184464","0.06106637790799141","0.01271069049835205","0","0"
"left-tap","0.2734999656677246","0.1558210551738739","True","1","1","3","0","1","0.055832549929618835","0.03501931205391884","0.06022713705897331","0.012302514165639877","0","0"
"left-tap","0.2848353385925293","0.16679079830646515","True","1","1","3","0","1","0.05427994951605797","0.035023126751184464","0.0584837980568409","0.012458917684853077","0","0"
"left-tap","0.29495954513549805","0.17658764123916626","True","1","1","3","0","1","0.051972027868032455","0.03501930832862854","0.056038547307252884","0.01307690516114235","0","0"
"left-tap","0.30632543563842773","0.18758699297904968","True","1","1","3","0","1","0.05094967782497406","0.03501930832862854","0.05487123504281044","0.014293809421360493","0","0"
"left-tap","0.3168206214904785","0.197744220495224","True","1","1","3","0","1","0.050900086760520935","0.03501930832862854","0.05467286705970764","0.01590363122522831","0","0"
"left-tap","0.32935667037963867","0.20987525582313538","True","1","2","1","0.17000000178813934","0","0.013725411146879196","0.04322100803256035","0.012722133658826351","0.03184162825345993","0","0.013858726248145103"
"left-tap","0.36418581008911133","0.24358083307743073","True","1","3","1","0.3400000035762787","0","0.005325346253812313","0.0372738242149353","0.0021591088734567165","0.029899926856160164","0","0.022651709616184235"
