schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.213362,56.412300,-0.148059,0.294603,57.009480,0.026449,-0.041233,0.999141,-0.004026,-0.235656,0.254797,-0.937841,-0.218331,56.447120,-0.148804,0.285270,57.018480,-0.005458,1785933915,4237546,1,1,1.175748,0.244131,0.578497,-0.047117,0.132595,-0.188359,1.170371,0.244839,1.024780,-0.018041,-0.120411,-0.091624,-0.212954,56.893410,-0.148096,0.294381,56.748090,0.026476,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160700,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,10.958220,0,Walking Backwards,0.958216,0.458216,-0.005876,54.323750,5.572012,-0.435737,54.226450,5.436615,-0.004144,0.994970,0.100085,-0.004144,0.994970,0.100085,-0.003805,54.322060,5.541329,-0.436898,54.225570,5.414946,0,0,0,0,-0.003805,54.322060,5.541329,-0.436898,54.225570,5.414946,-0.005876,54.323750,5.572012,-0.435737,54.226450,5.436615,-0.005876,54.323750,5.572012,-0.435737,54.226450,5.436615,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.367500,162.982000,125.226500,90.548420,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.210220,56.412440,-0.147428,0.297782,57.005710,0.027090,-0.041233,0.999141,-0.004026,-0.228582,0.258781,-0.938500,-0.215278,56.447250,-0.148252,0.288285,57.017400,-0.004617,1785933915,4237546,1,1,1.172694,0.244683,0.578625,-0.045910,0.131161,-0.188854,1.167198,0.245476,1.023525,-0.015774,-0.121699,-0.091533,-0.209781,56.892150,-0.147458,0.297545,56.746800,0.027113,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160640,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,11.142130,0,Walking Backwards,0.142133,0.642133,-0.006993,54.323590,5.638475,-0.438648,54.228640,5.440400,-0.004169,0.994918,0.100607,-0.004169,0.994918,0.100607,-0.005163,54.322850,5.580496,-0.437277,54.226660,5.429334,0,0,0,0,-0.005163,54.322850,5.580496,-0.437277,54.226660,5.429334,-0.006993,54.323590,5.638475,-0.438648,54.228640,5.440400,-0.006993,54.323590,5.638475,-0.438648,54.228640,5.440400,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.631300,162.354400,128.058000,90.670410,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.206987,56.412570,-0.146741,0.301053,57.003220,0.027786,-0.041233,0.999141,-0.004026,-0.221791,0.262309,-0.939150,-0.212142,56.447390,-0.147636,0.291586,57.015350,-0.004033,1785933915,4237546,1,1,1.169559,0.245299,0.578757,-0.044349,0.128841,-0.189173,1.163933,0.246170,1.022469,-0.013434,-0.122714,-0.091330,-0.206516,56.891100,-0.146765,0.300800,56.745700,0.027805,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449700,91.160730,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,11.323600,0,Walking Backwards,0.323596,0.823596,-0.010708,54.320930,5.651153,-0.442230,54.228370,5.443257,-0.004194,0.994864,0.101135,-0.004194,0.994864,0.101135,-0.007434,54.322390,5.616715,-0.439190,54.227640,5.437016,0,0,0,0,-0.007434,54.322390,5.616715,-0.439190,54.227640,5.437016,-0.010708,54.320930,5.651153,-0.442230,54.228370,5.443257,-0.010708,54.320930,5.651153,-0.442230,54.228370,5.443257,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.824700,163.632800,124.586900,88.406560,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.203600,56.412720,-0.145993,0.304463,57.005130,0.028538,-0.041233,0.999141,-0.004026,-0.209285,0.263642,-0.941644,-0.208899,56.447530,-0.146959,0.295142,57.014490,-0.003535,1785933915,4237546,1,1,1.166316,0.245976,0.578894,-0.042656,0.127757,-0.189700,1.160531,0.246922,1.021515,-0.010978,-0.123520,-0.091007,-0.203114,56.890140,-0.146013,0.304198,56.744730,0.028556,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160640,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,11.502830,0,Walking Backwards,0.502826,0.002826,-0.014157,54.320320,5.656908,-0.443049,54.230200,5.502128,-0.004207,0.994837,0.101402,-0.004207,0.994837,0.101402,-0.010405,54.321430,5.638794,-0.441129,54.228700,5.460598,0,0,0,0,-0.010405,54.321430,5.638794,-0.441129,54.228700,5.460598,-0.014157,54.320320,5.656908,-0.443049,54.230200,5.502128,-0.014157,54.320320,5.656908,-0.443049,54.230200,5.502128,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.296500,162.391400,124.639700,91.671140,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.200168,56.412860,-0.145226,0.307937,57.004050,0.029315,-0.041233,0.999141,-0.004026,-0.202635,0.266528,-0.942285,-0.205561,56.447660,-0.146235,0.298840,57.014110,-0.003012,1785933915,4237546,1,1,1.162978,0.246700,0.579034,-0.040904,0.127225,-0.190188,1.157065,0.247697,1.020687,-0.008492,-0.124160,-0.090612,-0.199648,56.889320,-0.145238,0.307653,56.743860,0.029329,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449700,91.160710,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,11.679980,0,Walking Backwards,0.679980,0.179980,-0.007490,54.322910,5.661677,-0.442395,54.221850,5.567496,-0.004231,0.994782,0.101939,-0.004231,0.994782,0.101939,-0.010266,54.321670,5.651266,-0.442024,54.226720,5.505100,0,0,0,0,-0.010266,54.321670,5.651266,-0.442024,54.226720,5.505100,-0.007490,54.322910,5.661677,-0.442395,54.221850,5.567496,-0.007490,54.322910,5.661677,-0.442395,54.221850,5.567496,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.474200,162.741300,124.801500,93.477820,NaN,NaN,0,0,none,0,0,0,DefaultContact
