frame,time,grounded,stable,verticalSpeed,motionPhase,action,footPolicy,state,nextState,normalizedTime,nextNormalizedTime,leftIk,rightIk
46,7.607940,0,0,-4.516296,Falling,Fall,FlightIkOff,1914514016,0,0.031422,0.000000,0.000000,0.000000
47,7.633210,0,0,-4.839403,PreLanding,Fall,FlightIkOff,1914514016,-2088600265,0.033598,0.177642,0.000000,0.000000
48,7.651606,0,0,-5.165501,PreLanding,Fall,FlightIkOff,1914514016,-2088600265,0.035261,0.186500,0.000000,0.000000
49,7.670448,0,0,-5.485682,PreLanding,Fall,FlightIkOff,1914514016,-2088600265,0.036987,0.195696,0.000000,0.000000
50,7.688557,0,0,-5.792424,PreLanding,Fall,FlightIkOff,1914514016,-2088600265,0.038608,0.204333,0.000000,0.000000
51,7.706712,0,0,-6.080242,PreLanding,Fall,FlightIkOff,-2088600265,0,0.212551,0.000000,0.000000,0.000000
52,7.731341,0,0,-6.344890,PreLanding,Fall,FlightIkOff,-2088600265,0,0.223516,0.000000,0.000000,0.000000
53,7.749531,0,0,-6.587325,PreLanding,Fall,FlightIkOff,-2088600265,0,0.232564,0.000000,0.000000,0.000000
54,7.767822,0,0,-6.810009,PreLanding,Fall,FlightIkOff,-2088600265,0,0.241212,0.000000,0.000000,0.000000
55,7.787131,0,0,-7.018210,PreLanding,Fall,FlightIkOff,-2088600265,0,0.250030,0.000000,0.000000,0.000000
56,7.811888,1,1,-6.589597,LandingContact,HardLandingBrace,BraceBoth,-2088600265,1655689423,0.261190,0.256690,0.014110,0.014110
57,7.829294,1,1,-6.229042,LandingRecovery,HardLandingBrace,BraceBoth,-2088600265,1655689423,0.270191,0.264371,0.062116,0.062116
58,7.847197,1,1,-4.866929,LandingRecovery,HardLandingBrace,BraceBoth,-2088600265,1655689423,0.278618,0.271562,0.107064,0.107064
59,7.871202,1,1,-0.017916,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.281012,0.000000,0.166123,0.166123
60,7.889731,1,1,-0.061978,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.288491,0.000000,0.212869,0.212869
61,7.906512,1,1,-0.044788,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.295205,0.000000,0.254833,0.254833
62,7.929073,1,1,0.141779,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.304509,0.000000,0.312980,0.312980
63,7.945941,1,1,0.141098,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.311309,0.000000,0.355479,0.355479
64,7.968320,1,1,0.133531,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.320053,0.000000,0.410129,0.410129
65,7.990862,1,1,0.153308,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.328942,0.000000,0.465690,0.465690
66,8.008733,1,1,0.124834,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.336088,0.000000,0.510352,0.510352
67,8.031029,1,1,0.092161,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.345035,0.000000,0.566266,0.566266
68,8.047660,1,1,-0.020493,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.351897,0.000000,0.609157,0.609157
69,8.070969,1,1,-0.173585,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.360965,0.000000,0.665831,0.665831
70,8.088675,1,1,-0.286639,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.368211,0.000000,0.711121,0.711121
71,8.108285,1,1,-0.468576,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.375446,0.000000,0.756336,0.756336
72,8.125946,1,1,-0.648425,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.383174,0.000000,0.804639,0.804639
73,8.151994,1,1,-0.898954,LandingRecovery,HardLandingBrace,BraceBoth,1655689423,0,0.393164,0.000000,0.867074,0.867074
74,8.171567,1,1,0.094235,LocomotionLoop,HitRecoil,DefaultContact,1655689423,0,0.401297,0.000000,0.917907,0.917907
75,8.190159,1,1,0.137068,LocomotionLoop,HitRecoil,DefaultContact,1655689423,-1269438207,0.408581,0.409425,0.872381,0.872381
76,8.215051,1,1,-0.167922,LocomotionLoop,HitRecoil,DefaultContact,1655689423,-1269438207,0.416060,0.427981,0.825642,0.825642
77,8.239178,1,1,-0.222555,LocomotionLoop,HitRecoil,DefaultContact,1655689423,-1269438207,0.426999,0.455230,0.757270,0.757270
78,8.254446,1,1,0.220072,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.472219,0.000000,0.714755,0.714755
79,8.267212,1,1,0.187644,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.485896,0.000000,0.680495,0.680495
80,8.292295,1,1,0.047204,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.510304,0.000000,0.618816,0.618816
81,8.310364,1,1,-0.054529,LocomotionLoop,HitRecoil,DefaultContact,-1269438207,0,0.528424,0.000000,0.572359,0.572359
