frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.747264,0.055450,0.81092,0.81775,0.00000,0.00000,0.00000,0.00000,0,0,1,1157514,1,-0.106349,0.059335,-0.068241,0.102895,0.003199,0.026071,0.000000,0.000000,-0.268713,-0.915346,0.299893,0.176241,-0.972940,0.149425,Stance,Stance,0.000000,0.000000,-1269438207,35.731790,0,0,0.000000,XBot Walk Neutral,0.930402,Walking,0.069598,0
1,3.774471,0.027206,1.23283,0.85667,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.096616,0.062058,-0.130360,0.110970,0.003009,0.067110,0.000000,0.000000,-0.259250,-0.959658,0.108839,0.187271,-0.946915,0.261308,Swing,Swing,0.000000,0.000000,-1269438207,35.835130,0,0,0.000000,XBot Walk Neutral,0.594538,Walking,0.405462,0
2,3.794954,0.020484,1.55416,0.88751,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.090930,0.075178,-0.155610,0.112878,0.005871,0.081713,0.000000,0.000000,-0.257322,-0.964759,0.055009,0.184582,-0.930655,0.315929,Swing,Swing,0.000000,0.000000,-1269438207,35.871000,0,0,0.000000,XBot Walk Neutral,0.383584,Walking,0.616416,0
3,3.813470,0.018515,1.85646,0.91594,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.088191,0.084747,-0.165880,0.112902,0.008493,0.091719,0.000000,0.000000,-0.255850,-0.965720,0.043888,0.180539,-0.919163,0.350064,Swing,Swing,0.000000,0.000000,-1269438207,35.893430,0,0,0.000000,XBot Walk Neutral,0.222919,Walking,0.777081,0
4,3.837299,0.023830,2.25826,0.95282,0.03086,0.06172,0.00000,0.00000,1,0,1,1157514,1,-0.086826,0.091218,-0.169980,0.112565,0.010240,0.096422,0.034816,0.000000,-0.254931,-0.965886,0.045546,0.177849,-0.913415,0.366120,Capture,Swing,0.000000,0.000000,-1269438207,35.911070,0,0,0.000000,XBot Walk Neutral,0.071769,Walking,0.928231,0
5,3.867547,0.030247,2.78361,0.99966,0.07058,0.14115,0.00000,0.00000,1,0,1,1157514,1,-0.090297,0.091154,-0.157179,0.111098,0.009608,0.082103,0.144458,0.000000,-0.259398,-0.961292,0.092902,0.178877,-0.927524,0.328182,Stance,Swing,0.000000,0.000000,-1269438207,35.933040,0,0,0.000000,Walking,0.935435,Walking,0.064565,0
6,3.891562,0.024015,3.10168,1.02603,0.02016,0.04033,0.00000,0.00000,0,0,1,1157514,1,-0.098840,0.080523,-0.117162,0.107265,0.007772,0.051629,0.000000,0.000000,-0.264161,-0.941879,0.207565,0.179337,-0.953615,0.241777,Swing,Swing,0.120000,0.000000,-1269438207,35.962300,0,0,0.000000,Walking,0.804098,Walking,0.195902,0
7,3.913355,0.021793,3.27571,1.03713,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.105754,0.069668,-0.077483,0.103110,0.006182,0.024864,0.000000,0.000000,-0.268935,-0.914667,0.301759,0.176076,-0.971323,0.159775,Swing,Swing,0.095985,0.000000,-1269438207,35.986150,0,0,0.000000,Walking,0.724580,Walking,0.275420,0
8,3.937768,0.024413,3.37754,1.04196,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.109566,0.060905,-0.047139,0.099606,0.005147,0.005668,0.000000,0.000000,-0.269209,-0.893456,0.359531,0.171125,-0.980022,0.101360,Swing,Swing,0.074192,0.000000,-1269438207,36.008020,0,0,0.000000,Walking,0.681073,Walking,0.318927,0
9,3.958448,0.020681,3.41186,1.04372,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.112230,0.049073,-0.010379,0.095093,0.004316,-0.017263,0.000000,0.000000,-0.261866,-0.873727,0.409913,0.163599,-0.985851,0.036530,Swing,Swing,0.049779,0.000000,-1269438207,36.032640,0,0,0.000000,Walking,0.655615,Walking,0.344385,0
10,3.978478,0.020030,3.41211,1.04407,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.113661,0.039524,0.020765,0.092247,0.004078,-0.033886,0.000000,0.000000,-0.252684,-0.862074,0.439293,0.159228,-0.987186,-0.010536,Swing,Swing,0.029098,0.000000,-1269438207,36.053530,0,0,0.000000,Walking,0.647035,Walking,0.352965,0
11,3.997427,0.018949,3.38967,1.04343,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.114514,0.032240,0.053512,0.090078,0.004006,-0.050630,0.000000,0.000000,-0.243018,-0.851120,0.465336,0.156639,-0.986057,-0.056173,Swing,Swing,0.009069,0.000000,-1269438207,36.073760,0,0,0.000000,Walking,0.646972,Walking,0.353028,0
12,4.017384,0.019956,3.35261,1.04330,0.03158,0.06316,0.00000,-0.00184,1,0,1,1785933915,1,-0.114429,0.026293,0.079327,0.088189,0.003495,-0.067458,0.521454,0.000000,-0.235819,-0.847654,0.475260,0.154920,-0.982779,-0.100727,Capture,Swing,0.000000,0.000000,-1269438207,36.092900,0,0,0.000000,Walking,0.652583,Walking,0.347417,0
13,4.038099,0.020716,3.31088,1.04540,0.06484,0.12969,0.00000,-0.00554,1,0,1,1785933915,1,-0.113566,0.019897,0.097434,0.086015,0.002041,-0.085136,0.623325,0.000000,-0.229333,-0.851208,0.472072,0.152577,-0.977620,-0.144844,Stance,Swing,0.000000,0.000000,-1269438207,36.113050,0,0,0.000000,Walking,0.661848,Walking,0.338152,0
14,4.062711,0.024611,3.26104,1.04933,0.03032,0.06063,0.00000,-0.00978,0,0,1,1785933915,1,-0.113737,0.020474,0.137831,0.083904,-0.000065,-0.102718,0.000000,0.000000,-0.218291,-0.832197,0.509703,0.150655,-0.971132,-0.184949,Swing,Swing,0.120000,0.000000,-1269438207,36.134010,0,0,0.000000,Walking,0.672279,Walking,0.327721,0
15,4.084239,0.021528,3.21824,1.05299,0.00000,0.00000,0.00000,-0.01149,0,0,1,1785933915,1,-0.113242,0.023041,0.171141,0.081697,-0.001737,-0.122781,0.000000,0.000000,-0.206612,-0.815739,0.540260,0.149955,-0.962721,-0.225128,Swing,Swing,0.095389,0.000000,-1269438207,36.159000,0,0,0.000000,Walking,0.684739,Walking,0.315261,0
16,4.111033,0.026794,3.17709,1.06014,0.00000,0.00000,0.00000,-0.01008,0,0,1,1785933915,1,-0.112380,0.024734,0.189192,0.079325,-0.002239,-0.140745,0.000000,0.000000,-0.197044,-0.796505,0.571623,0.148664,-0.954666,-0.257898,Swing,Swing,0.073861,0.000000,-1269438207,36.180940,0,0,0.000000,Walking,0.695440,Walking,0.304561,0
