frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,1.124330,0.067803,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.187445,0.288726,0.071027,0.152857,0.373928,-0.200627,0.835422,0.244166,0.492396,0.930547,0.165400,-0.326689,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.26176,0.00000,0.11196
1,1.156146,0.031817,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.096138,0.235725,0.003743,0.086547,0.405773,-0.113496,0.945657,-0.035754,0.323195,0.922582,0.220166,-0.316811,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.96100,-0.00014,0.23562
2,1.176511,0.020365,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.063182,0.194719,-0.026177,0.080724,0.418061,-0.083980,0.945103,-0.276123,0.174746,0.923678,0.258758,-0.282600,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.19861,-0.00030,0.29596
3,1.198561,0.022050,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.024337,0.170924,-0.043418,0.086254,0.422711,-0.075333,0.889839,-0.450718,0.070999,0.917905,0.335752,-0.211475,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.92064,-0.00043,0.32822
4,1.221575,0.023014,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.016408,0.123508,-0.067248,0.116376,0.415037,-0.091675,0.736839,-0.674309,-0.048742,0.886457,0.452949,-0.095030,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.60808,-0.00062,0.35965
5,1.244667,0.023093,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1,1,-0.066315,0.067819,-0.099131,0.169602,0.413931,-0.111251,0.454624,-0.876954,-0.155784,0.843154,0.537645,0.005408,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-4.20235,-0.00089,0.37594
6,1.271653,0.026986,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.113416,0.026758,-0.135755,0.241398,0.419979,-0.128428,0.025255,-0.975727,-0.217530,0.833440,0.550999,0.042172,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-4.50610,-0.00123,0.36855
7,1.309326,0.037673,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.177645,0.039568,-0.145470,0.303282,0.421323,-0.138221,-0.206333,-0.947851,-0.242911,0.868131,0.496072,0.016151,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-4.28021,-0.00164,0.34172
8,1.333125,0.023799,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.258815,0.074519,-0.148172,0.348604,0.419979,-0.138753,-0.454119,-0.854354,-0.252698,0.902215,0.431008,-0.015527,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.55676,-0.00222,0.30508
9,1.353133,0.020007,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.289840,0.094767,-0.149542,0.360539,0.405930,-0.145111,-0.551002,-0.794326,-0.255820,0.928226,0.367517,-0.057686,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.17683,-0.00257,0.28626
