frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,3.800686,0.077443,0.45068,0.88851,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.108388,0.065497,-0.058660,0.100902,0.005578,0.013185,0.000000,0.000000,-0.270997,-0.899549,0.342597,0.172959,-0.977267,0.122619,Stance,Stance,0.000000,0.000000,-1269438207,28.248950,0,0,0.000000,XBot Walk Neutral,1.000000,none,0.000000,0,Locomotion,DefaultContact,-0.03847,0.00000,0.16486
1,3.826608,0.025921,0.66504,0.88778,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.104098,0.048009,-0.053197,0.106110,0.011040,0.003787,0.000000,0.000000,-0.248651,-0.925050,0.287151,0.185881,-0.970596,0.152945,Swing,Swing,0.000000,0.000000,-1269438207,28.514960,0,0,0.000000,XBot Walk Neutral,0.774660,Walking,0.225340,0,Locomotion,DefaultContact,-1.08331,0.32722,-0.39997
2,3.846445,0.019837,0.83832,0.88960,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.098034,0.038977,-0.067589,0.107854,0.010422,0.036691,0.000000,0.000000,-0.236526,-0.950832,0.199934,0.187006,-0.959426,0.211024,Swing,Swing,0.000000,0.000000,-1269438207,28.577860,0,0,0.000000,XBot Walk Neutral,0.667478,Walking,0.332522,0,Locomotion,DefaultContact,-1.72658,0.56907,-0.74557
3,3.867438,0.020993,1.03158,0.89404,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.092103,0.032257,-0.081908,0.108620,0.008413,0.067304,0.000000,0.000000,-0.228334,-0.965308,0.126670,0.187607,-0.949835,0.250233,Swing,Swing,0.000000,0.000000,-1269438207,28.616860,0,0,0.000000,XBot Walk Neutral,0.580841,Walking,0.419160,0,Locomotion,DefaultContact,-2.08336,0.73616,-0.95542
4,3.886665,0.019227,1.21398,0.89960,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.087464,0.027193,-0.099701,0.108661,0.006822,0.101032,0.000000,0.000000,-0.223872,-0.972881,0.058169,0.188245,-0.938224,0.290344,Swing,Swing,0.000000,0.000000,-1269438207,28.651040,0,0,0.000000,XBot Walk Neutral,0.484211,Walking,0.515789,0,Locomotion,DefaultContact,-2.34292,0.88743,-1.16030
5,3.907306,0.020642,1.41023,0.90645,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.084263,0.023303,-0.119239,0.108330,0.005855,0.129438,0.000000,0.000000,-0.218256,-0.975885,-0.003696,0.189776,-0.924082,0.331749,Swing,Swing,0.000000,0.000000,-1269438207,28.678050,0,0,0.000000,XBot Walk Neutral,0.393012,Walking,0.606988,0,Locomotion,DefaultContact,-2.45739,1.00181,-1.34752
6,3.928461,0.021155,1.60552,0.91377,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.079624,0.019132,-0.143112,0.107306,0.003218,0.152619,0.000000,0.000000,-0.204305,-0.975826,-0.077605,0.187498,-0.905185,0.381425,Swing,Swing,0.000000,0.000000,-1269438207,28.703390,0,0,0.000000,XBot Walk Neutral,0.294886,Walking,0.705114,0,Locomotion,DefaultContact,-2.43971,1.10087,-1.54324
7,3.946267,0.017806,1.76222,0.91984,0.02644,0.05289,0.00000,0.00000,1,0,1,1785933915,1,-0.073650,0.014637,-0.170407,0.105660,-0.000263,0.173918,0.017461,0.000000,-0.182584,-0.968331,-0.170289,0.178570,-0.877352,0.445384,Capture,Swing,0.000000,0.000000,-1269438207,28.726510,0,0,0.000000,XBot Walk Neutral,0.197240,Walking,0.802760,0,Locomotion,DefaultContact,-2.30255,1.18028,-1.72228
8,3.965381,0.019114,1.92142,0.92613,0.04870,0.09740,0.00000,0.00000,1,0,1,1785933915,1,-0.067417,0.015893,-0.194225,0.103011,0.002139,0.193289,0.015946,0.000000,-0.159550,-0.954159,-0.253230,0.164838,-0.845048,0.508647,Stance,Swing,0.000000,0.000000,-1269438207,28.744420,0,0,0.000000,XBot Walk Neutral,0.118892,Walking,0.881108,0,Locomotion,DefaultContact,-2.15041,1.23261,-1.87612
9,3.985501,0.020119,2.07757,0.93236,0.07259,0.14519,0.00000,-0.00150,1,0,1,1785933915,1,-0.059756,0.023273,-0.218484,0.099754,0.007390,0.208045,0.027849,0.000000,-0.129841,-0.929926,-0.344064,0.148791,-0.817159,0.556877,Stance,Swing,0.000000,0.000000,-1269438207,28.762230,0,0,0.000000,XBot Walk Neutral,0.039292,Walking,0.960708,0,Locomotion,DefaultContact,-1.97029,1.27677,-2.04442
