frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
17,4.231833,0.018199,4.00043,1.15760,0.50000,1.00000,0.00000,-0.01019,1,0,1,1785933915,1,-0.032561,0.117379,-0.503831,0.091648,0.052618,-0.042039,0.763121,0.000000,0.049438,-0.518531,-0.853628,0.189283,-0.980546,-0.051981,Stance,Swing,0.000000,0.000000
18,4.264331,0.016848,4.18654,1.17197,0.50000,1.00000,0.00000,-0.00621,1,0,1,1785933915,1,-0.173219,0.166499,-0.713031,0.006985,0.245910,-0.409991,0.763647,0.000000,-0.184280,-0.273849,-0.943953,-0.160729,-0.089306,-0.982950,Stance,Swing,0.000000,0.000000
19,4.301063,0.015024,4.42752,1.19044,0.50000,1.00000,0.00000,-0.02012,1,0,1,1785933915,1,-0.565878,0.203033,-0.926217,-0.310149,0.541338,-0.797832,0.852516,0.000000,-0.508449,-0.138995,-0.849800,-0.462412,0.366928,-0.807180,Stance,Swing,0.000000,0.000000
20,4.352356,0.017084,4.73464,1.21650,0.50000,0.45296,0.54704,-0.04852,0,1,1,1785933915,1,0.097610,0.317627,-0.639292,0.009245,-0.010914,0.124970,0.000000,1.582337,0.247885,-0.113119,-0.962163,-0.064371,-0.903654,0.423398,Swing,Stance,0.085790,0.000000
21,4.389760,0.020046,4.96435,1.23600,0.50000,0.07027,0.92973,-0.06206,0,1,1,1785933915,1,0.199575,1.108419,-0.160955,-0.312510,0.270887,-0.051752,0.000000,1.519747,0.277478,0.960622,-0.014564,-0.750101,-0.661290,-0.006722,Swing,Stance,0.051348,0.000000
22,4.421531,0.013825,5.12467,1.25134,0.50000,0.00000,1.00000,-0.05593,0,1,1,1785933915,1,-0.363132,-0.020573,-0.395497,0.088264,0.174698,-0.705559,0.000000,1.469136,-0.839982,-0.536787,-0.079308,-0.023677,-0.697167,-0.716518,Swing,Stance,0.013356,0.000000
23,4.466872,0.013893,4.83048,1.23584,0.50000,0.00000,1.00000,-0.03953,0,1,1,1785933915,1,-0.113147,0.018967,-0.236271,0.247310,0.174170,-0.552241,0.000000,1.390260,-0.295392,-0.931519,-0.212170,0.322904,-0.366887,-0.872426,Swing,Stance,0.000000,0.000000
24,4.495557,0.015099,4.04798,1.17256,0.50000,0.00000,1.00000,-0.03368,0,1,1,1785933915,1,-0.101472,0.014490,0.044177,0.253700,0.169822,-0.428594,0.000000,1.283641,-0.204018,-0.923638,0.324453,0.385361,-0.415443,-0.823956,Swing,Stance,0.000000,0.000000
25,4.527542,0.016489,3.18624,1.09641,0.50000,0.00000,1.00000,-0.02836,0,1,1,1785933915,1,-0.096784,0.056823,0.088419,0.275114,0.204597,-0.401095,0.000000,1.214607,-0.218017,-0.868214,0.445728,0.449995,-0.362016,-0.816363,Swing,Stance,0.000000,0.000000
26,4.557807,0.014544,2.45205,1.02376,0.50000,0.00000,1.00000,-0.03232,0,1,1,1785933915,1,-0.105582,0.011207,0.160892,0.272277,0.159895,-0.338054,0.000000,1.161878,-0.187900,-0.797891,0.572768,0.474866,-0.467797,-0.745432,Swing,Stance,0.000000,0.000000
