frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,3.796390,0.091349,0.87532,0.82013,0.00000,0.00000,0.00000,-0.00150,0,0,1,2925622,1,-0.108280,0.060495,-0.054239,0.102269,0.005889,0.004809,0.000000,0.000000,-0.266203,-0.902081,0.339686,0.176903,-0.977039,0.118744,Swing,Swing,0.000000,0.000000,-1269438207,34.459590,0,0,0.000000,XBot Walk Neutral,0.941724,Walking,0.058276,0,Locomotion,DefaultContact,0.00145,0.00000,-0.02621
1,3.825208,0.028818,1.21593,0.85299,0.00000,0.00000,0.00000,-0.00031,0,0,1,2925622,1,-0.091327,0.030977,-0.083479,0.108835,0.008355,0.070759,0.000000,0.000000,-0.226302,-0.967157,0.115740,0.187949,-0.948122,0.256398,Swing,Swing,0.000000,0.000000,-1269438207,34.618660,0,0,0.000000,XBot Walk Neutral,0.562339,Walking,0.437662,0,Locomotion,DefaultContact,-1.19126,0.32722,-0.59653
2,3.847742,0.022534,1.50729,0.87703,0.03602,0.00000,0.07204,-0.00911,0,1,1,2925622,1,-0.084130,0.018787,-0.109689,0.108366,0.003520,0.116738,0.000000,0.286121,-0.213474,-0.976941,0.003830,0.188609,-0.928614,0.319535,Swing,Capture,0.000000,0.000000,-1269438207,34.656990,0,0,0.000000,XBot Walk Neutral,0.392034,Walking,0.607966,0,Locomotion,DefaultContact,-2.27358,0.59495,-1.08010
3,3.872646,0.024904,1.84245,0.90146,0.06419,0.00000,0.12838,-0.01872,0,1,1,2925622,1,-0.078473,0.009116,-0.136179,0.105056,-0.002473,0.145888,0.000000,0.402330,-0.197802,-0.976034,-0.090729,0.189573,-0.907281,0.375371,Swing,Stance,0.000000,0.000000,-1269438207,34.682100,0,0,0.000000,XBot Walk Neutral,0.246357,Walking,0.753643,0,Locomotion,DefaultContact,-2.91430,0.77941,-1.33749
4,3.893941,0.021295,2.12976,0.92036,0.03306,0.00000,0.06612,-0.02484,0,0,1,2925622,1,-0.068924,0.000555,-0.171198,0.100205,0.002325,0.202330,0.000000,0.000000,-0.166321,-0.963911,-0.207878,0.177087,-0.852056,0.492585,Swing,Swing,0.000000,0.120000,-1269438207,34.705620,0,0,0.000000,XBot Walk Neutral,0.078778,Walking,0.921222,0,Locomotion,DefaultContact,-3.21677,0.94711,-1.44082
5,3.914311,0.020370,2.34878,0.93375,0.00644,0.00000,0.01288,-0.02451,0,0,1,2925622,1,-0.061820,-0.001912,-0.196424,0.096852,0.005706,0.231334,0.000000,0.000000,-0.142271,-0.947126,-0.287596,0.160099,-0.808705,0.566008,Swing,Swing,0.000000,0.098705,-1269438207,34.724580,0,0,0.000000,Walking,0.967561,Walking,0.032439,0,HitRecoil,DefaultContact,-3.26817,1.06046,-1.46032
6,3.935681,0.021369,2.49834,0.94102,0.00000,0.00000,0.00000,-0.02077,0,0,1,2925622,1,-0.058846,0.003926,-0.210918,0.097308,0.002679,0.227757,0.000000,0.000000,-0.132159,-0.935832,-0.326730,0.150732,-0.799240,0.581804,Swing,Swing,0.000000,0.078334,-1269438207,34.742990,0,0,0.000000,Walking,0.912806,Walking,0.087194,0,HitRecoil,DefaultContact,-2.78021,1.15329,-1.46903
7,3.957497,0.021816,2.59930,0.94393,0.00000,0.00000,0.00000,-0.01611,0,0,1,2925622,1,-0.055560,0.017362,-0.224809,0.097770,0.004327,0.218752,0.000000,0.000000,-0.119455,-0.920635,-0.371702,0.143046,-0.801517,0.580611,Swing,Swing,0.000000,0.056965,-1269438207,34.762450,0,0,0.000000,Walking,0.875414,Walking,0.124586,0,HitRecoil,DefaultContact,-1.73963,1.22167,-1.45795
8,3.976078,0.018581,2.65677,0.94483,0.00000,0.00000,0.00000,-0.01181,0,0,1,2925622,1,-0.054738,0.033896,-0.234479,0.099962,0.007057,0.207674,0.000000,0.000000,-0.126088,-0.920068,-0.370915,0.140966,-0.807186,0.573218,Swing,Swing,0.000000,0.035149,-1269438207,34.782380,0,0,0.000000,Walking,0.850175,Walking,0.149825,0,HitRecoil,DefaultContact,-0.98143,1.27446,-1.50678
9,3.994695,0.018618,2.69399,0.94486,0.00000,0.00000,0.00000,-0.00882,0,0,1,2925622,1,-0.057470,0.051354,-0.237386,0.103317,0.009714,0.197610,0.000000,0.000000,-0.152951,-0.934757,-0.320681,0.144764,-0.812872,0.564166,Swing,Swing,0.000000,0.016568,-1269438207,34.799370,0,0,0.000000,Walking,0.835808,Walking,0.164192,0,HitRecoil,DefaultContact,-0.72303,1.30864,-1.60935
