frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.505753,0.040054,0.37492,0.77983,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.111778,0.063982,-0.055382,0.098499,0.006740,0.004500,0.000000,0.000000,-0.273125,-0.897671,0.345818,0.218616,-0.968198,0.121659,Stance,Stance,0.000000,0.000000,-1269438207,34.224060,0,0,0.000000,XBot Walk Neutral,0.980913,Walking,0.019087,0
1,3.526050,0.020297,0.65341,0.80143,0.00000,0.00000,0.00000,0.00000,0,0,1,694268,1,-0.111602,0.063976,-0.055685,0.098496,0.006743,0.004819,0.000000,0.000000,-0.274113,-0.897661,0.345062,0.224309,-0.966106,0.127772,Swing,Swing,0.000000,0.000000,-1269438207,34.365530,0,0,0.000000,XBot Walk Neutral,0.812542,Walking,0.187459,0
2,3.540944,0.014894,0.89235,0.82134,0.00000,0.00000,0.00000,0.00000,0,0,1,694268,1,-0.111134,0.063961,-0.056502,0.098486,0.006750,0.005672,0.000000,0.000000,-0.276793,-0.897623,0.343014,0.225800,-0.964476,0.137116,Swing,Swing,0.000000,0.000000,-1269438207,34.410710,0,0,0.000000,XBot Walk Neutral,0.673293,Walking,0.326707,0
3,3.556519,0.015574,1.15165,0.84442,0.00000,0.00000,0.00000,0.00000,0,0,1,694268,1,-0.115361,0.042020,-0.035799,0.102042,0.018447,-0.066859,0.000000,0.000000,-0.243906,-0.905926,0.346133,0.208350,-0.975867,0.065379,Swing,Swing,0.000000,0.000000,-1269438207,34.436230,0,0,0.000000,XBot Walk Neutral,0.553823,Walking,0.446177,0
4,3.573174,0.016656,1.43452,0.87049,0.00000,0.00000,0.00000,0.00000,0,0,1,694268,1,-0.115728,0.038078,-0.031848,0.103006,0.022358,-0.080719,0.000000,0.000000,-0.239675,-0.907516,0.344921,0.225242,-0.966489,0.123151,Swing,Swing,0.000000,0.000000,-1269438207,34.457820,0,0,0.000000,XBot Walk Neutral,0.424174,Walking,0.575826,0
5,3.588624,0.015450,1.71659,0.89592,0.00000,0.00000,0.00000,0.00000,0,0,1,694268,1,-0.115490,0.038065,-0.032541,0.103560,0.022350,-0.079954,0.000000,0.000000,-0.241915,-0.907475,0.343464,0.242613,-0.949901,0.197046,Swing,Swing,0.000000,0.000000,-1269438207,34.477130,0,0,0.000000,XBot Walk Neutral,0.282741,Walking,0.717259,0
6,3.603827,0.015204,2.01510,0.92202,0.00000,0.00000,0.00000,0.00000,0,0,1,694268,1,-0.115224,0.038055,-0.033294,0.104182,0.022336,-0.079061,0.000000,0.000000,-0.244446,-0.907401,0.341863,0.257725,-0.927513,0.270735,Swing,Swing,0.000000,0.000000,-1269438207,34.492660,0,0,0.000000,XBot Walk Neutral,0.141705,Walking,0.858296,0
7,3.620127,0.016299,2.35270,0.95092,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.115007,0.038041,-0.033890,0.104693,0.022319,-0.078285,0.000000,0.000000,-0.246559,-0.907312,0.340579,0.273338,-0.898800,0.342702,Swing,Swing,0.000000,0.000000,-1269438207,34.506220,0,0,0.000000,Walking,0.996226,Walking,0.003774,0
8,3.635140,0.015013,2.65054,0.97729,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.097335,0.022394,-0.057194,0.114746,0.042392,-0.052604,0.000000,0.000000,-0.184242,-0.973923,0.132396,0.238472,-0.925862,0.293106,Swing,Swing,0.000000,0.000000,-1269438207,34.521220,0,0,0.000000,Walking,0.911825,Walking,0.088175,0
9,3.648557,0.013417,2.89954,1.00018,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.090434,0.018880,-0.065485,0.118711,0.048910,-0.042117,0.000000,0.000000,-0.163173,-0.984653,0.061907,0.225846,-0.896819,0.380407,Swing,Swing,0.000000,0.000000,-1269438207,34.535420,0,0,0.000000,Walking,0.837366,Walking,0.162634,0
10,3.666005,0.017448,3.21404,1.02932,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.090155,0.018864,-0.065768,0.118892,0.048902,-0.041518,0.000000,0.000000,-0.163432,-0.984641,0.061420,0.228556,-0.856733,0.462354,Swing,Swing,0.000000,0.000000,-1269438207,34.548400,0,0,0.000000,Walking,0.775115,Walking,0.224885,0
11,3.680150,0.014145,3.45733,1.05223,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.089538,0.018833,-0.066405,0.119291,0.048884,-0.040205,0.000000,0.000000,-0.163998,-0.984615,0.060308,0.229869,-0.817440,0.528159,Swing,Swing,0.000000,0.000000,-1269438207,34.565780,0,0,0.000000,Walking,0.696491,Walking,0.303509,0
12,3.693740,0.013589,3.67255,1.07327,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.084449,0.024326,-0.103659,0.117673,0.039127,0.021919,0.000000,0.000000,-0.149889,-0.987263,-0.053332,0.213148,-0.871564,0.441524,Swing,Swing,0.000000,0.000000,-1269438207,34.580190,0,0,0.000000,Walking,0.635667,Walking,0.364333,0
13,3.712302,0.018563,3.93436,1.10016,0.03775,0.00000,0.07550,-0.00195,0,1,1,1785933915,1,-0.080628,0.026824,-0.121333,0.115415,0.039252,0.052904,0.000000,0.695413,-0.141494,-0.984241,-0.106062,0.182972,-0.857750,0.480402,Swing,Capture,0.000000,0.000000,-1269438207,34.594300,0,0,0.000000,Walking,0.581862,Walking,0.418138,0
14,3.726144,0.013842,4.02084,1.11282,0.08931,0.00000,0.17862,-0.00547,0,1,1,1785933915,1,-0.079435,0.026770,-0.121898,0.114893,0.039278,0.054247,0.000000,0.821731,-0.140447,-0.984290,-0.106994,0.165287,-0.826806,0.537654,Swing,Stance,0.000000,0.000000,-1269438207,34.614070,0,0,0.000000,Walking,0.516411,Walking,0.483589,0
