frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime
0,0.859843,0.046119,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108650,0.065152,-0.057586,0.101000,0.005508,0.012647,-0.270773,-0.898579,0.345309,0.173185,-0.977286,0.122145,Stance,Stance,-1269438207,8.828801
1,0.881439,0.021596,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108387,0.065462,-0.058692,0.100914,0.005573,0.013207,-0.270970,-0.899622,0.342425,0.172993,-0.977252,0.122691,Stance,Stance,-1269438207,10.212360
2,0.899963,0.018524,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108388,0.065585,-0.058490,0.100865,0.005526,0.012981,-0.271123,-0.899173,0.343483,0.172846,-0.977333,0.122247,Stance,Stance,-1269438207,10.860250
3,0.917338,0.017374,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065634,-0.058499,0.100851,0.005569,0.013056,-0.271125,-0.899187,0.343445,0.172811,-0.977337,0.122263,Stance,Stance,-1269438207,11.415980
4,0.935469,0.018131,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108387,0.065456,-0.058631,0.100911,0.005527,0.013089,-0.271009,-0.899494,0.342731,0.172981,-0.977270,0.122562,Stance,Stance,-1269438207,11.937200
5,0.952463,0.016994,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065678,-0.058443,0.100836,0.005563,0.013003,-0.271169,-0.899061,0.343741,0.172765,-0.977361,0.122140,Stance,Stance,-1269438207,12.481140
6,0.969465,0.017002,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108385,0.065335,-0.058767,0.100955,0.005529,0.013198,-0.270900,-0.899801,0.342012,0.173107,-0.977210,0.122862,Stance,Stance,-1269438207,12.990970
7,0.987314,0.017849,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065688,-0.058428,0.100831,0.005561,0.012989,-0.271179,-0.899027,0.343819,0.172752,-0.977367,0.122106,Stance,Stance,-1269438207,13.501030
8,1.005318,0.018004,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108386,0.065330,-0.058790,0.100958,0.005542,0.013235,-0.270886,-0.899850,0.341895,0.173118,-0.977201,0.122913,Stance,Stance,-1269438207,14.036500
9,1.021904,0.016585,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065717,-0.058382,0.100820,0.005551,0.012939,-0.271213,-0.898926,0.344059,0.172716,-0.977387,0.122003,Stance,Stance,-1269438207,14.576620
10,1.042862,0.020958,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108386,0.065352,-0.058780,0.100950,0.005551,0.013242,-0.270895,-0.899825,0.341953,0.173096,-0.977209,0.122887,Stance,Stance,-1269438207,15.074180
11,1.057740,0.014879,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065718,-0.058363,0.100819,0.005540,0.012902,-0.271223,-0.898887,0.344151,0.172714,-0.977392,0.121965,Stance,Stance,-1269438207,15.702920
12,1.072875,0.015135,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108386,0.065409,-0.058740,0.100932,0.005568,0.013234,-0.270933,-0.899730,0.342172,0.173044,-0.977229,0.122797,Stance,Stance,-1269438207,16.149280
13,1.090556,0.017681,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065725,-0.058371,0.100817,0.005550,0.012926,-0.271224,-0.898900,0.344119,0.172711,-0.977390,0.121981,Stance,Stance,-1269438207,16.603330
14,1.106294,0.015738,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108386,0.065397,-0.058750,0.100936,0.005565,0.013238,-0.270924,-0.899753,0.342118,0.173057,-0.977224,0.122821,Stance,Stance,-1269438207,17.133770
15,1.121212,0.014918,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065724,-0.058370,0.100817,0.005548,0.012925,-0.271224,-0.898898,0.344123,0.172709,-0.977391,0.121979,Stance,Stance,-1269438207,17.605900
16,1.138330,0.017118,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108386,0.065340,-0.058787,0.100955,0.005545,0.013239,-0.270889,-0.899841,0.341916,0.173109,-0.977204,0.122904,Stance,Stance,-1269438207,18.053430
17,1.157442,0.019113,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065717,-0.058386,0.100821,0.005555,0.012945,-0.271211,-0.898935,0.344036,0.172719,-0.977385,0.122014,Stance,Stance,-1269438207,18.566960
18,1.175307,0.017865,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108386,0.065400,-0.058746,0.100934,0.005563,0.013236,-0.270926,-0.899745,0.342138,0.173052,-0.977226,0.122812,Stance,Stance,-1269438207,19.140340
19,1.191772,0.016465,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108390,0.065725,-0.058360,0.100817,0.005542,0.012904,-0.271228,-0.898878,0.344171,0.172708,-0.977394,0.121957,Stance,Stance,-1269438207,19.676290
20,1.205767,0.013996,0.00000,1.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108387,0.065427,-0.058725,0.100926,0.005570,0.013227,-0.270943,-0.899698,0.342247,0.173029,-0.977236,0.122765,Stance,Stance,-1269438207,20.170220
