frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,18.609550,0.073873,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.106716,0.064473,-0.056380,0.104313,0.005458,0.012454,-0.265127,-0.899075,0.348385,0.180913,-0.975694,0.123662,Stance,Stance,-1269438207,0.000000,HitRecoil,DefaultContact,1.16205,0.00304,0.47285
1,18.653180,0.043628,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.107816,0.064606,-0.057768,0.102008,0.005038,0.013346,-0.269256,-0.899644,0.343718,0.175330,-0.976780,0.123131,Stance,Stance,-1269438207,0.000000,HitRecoil,DefaultContact,1.04671,0.00038,0.44279
2,18.689580,0.036402,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108044,0.064633,-0.058057,0.101530,0.004951,0.013530,-0.270112,-0.899757,0.342750,0.174174,-0.977000,0.123020,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.00459,0.00000,0.41803
3,18.728790,0.039205,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.010672,0.102968,0.048102,0.211956,0.095880,-0.066292,0.264132,-0.601392,0.754030,0.750534,-0.655773,0.081614,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.99827,0.00000,0.40373
4,18.766390,0.037608,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.115631,0.187374,0.102208,0.255714,0.241152,-0.156326,0.566331,-0.233340,0.790457,0.953464,-0.299595,-0.033924,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.00492,0.00000,0.39409
5,18.813110,0.046713,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.147843,0.235771,0.102130,0.225935,0.342015,-0.197766,0.689110,-0.003422,0.724649,0.989567,-0.079378,-0.120233,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.01528,0.00000,0.38855
6,18.848690,0.035581,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.164521,0.269149,0.095967,0.189686,0.369710,-0.195572,0.748818,0.153302,0.644803,0.979931,0.071420,-0.186108,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.02743,0.00000,0.38461
7,18.890060,0.041371,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.170363,0.282746,0.091856,0.173998,0.378705,-0.192068,0.768176,0.216386,0.602564,0.967283,0.133195,-0.215923,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.03429,0.00000,0.38291
8,18.930850,0.040785,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.173821,0.291947,0.088573,0.163237,0.384216,-0.188818,0.778836,0.258661,0.571410,0.955727,0.174687,-0.236792,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.03988,0.00000,0.38191
9,18.967840,0.036997,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.176107,0.296020,0.085884,0.157597,0.385969,-0.187550,0.787006,0.277511,0.551007,0.948292,0.193529,-0.251571,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.04428,0.00000,0.38156
10,19.000720,0.032875,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.177735,0.297260,0.083747,0.154904,0.385857,-0.187697,0.793755,0.283404,0.538179,0.944008,0.199700,-0.262621,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.04826,0.00000,0.38159
11,19.036790,0.036069,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.179072,0.297425,0.082249,0.153725,0.385174,-0.188339,0.798855,0.284151,0.530178,0.941557,0.200884,-0.270400,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.05219,0.00000,0.38179
12,19.079000,0.042211,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.180376,0.296645,0.080527,0.153044,0.383764,-0.189674,0.804887,0.280836,0.522771,0.939564,0.198096,-0.279246,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.05650,0.00000,0.38202
13,19.116880,0.037883,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.181835,0.295110,0.078542,0.152694,0.381665,-0.191672,0.812031,0.274129,0.515227,0.937736,0.191803,-0.289592,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.06144,0.00000,0.38222
14,19.152590,0.035708,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.183183,0.293523,0.076785,0.152643,0.379675,-0.193699,0.818148,0.266968,0.509277,0.936201,0.185247,-0.298683,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.06589,0.00000,0.38235
15,19.187760,0.035176,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.184517,0.292002,0.075128,0.152680,0.377829,-0.195724,0.823653,0.259878,0.504043,0.934678,0.178917,-0.307192,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.07000,0.00000,0.38243
16,19.225260,0.037499,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.185843,0.290624,0.073486,0.152802,0.376169,-0.197736,0.828613,0.253208,0.499286,0.933094,0.173216,-0.315169,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,1.07369,0.00000,0.38245
17,19.271880,0.046623,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.201195,0.250159,0.058687,0.221576,0.371794,-0.218044,0.898962,0.077784,0.431064,0.940240,0.201676,-0.274365,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,0.27553,0.10781,-0.79655
18,19.314140,0.042253,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.164773,0.152773,0.003971,0.304543,0.340387,-0.227651,0.910487,-0.330764,0.248210,0.946845,0.083361,-0.310704,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.43885,0.28066,-1.84162
19,19.351240,0.037105,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.098080,0.097184,-0.045554,0.376121,0.311989,-0.211586,0.798249,-0.595941,0.087479,0.924112,-0.074284,-0.374833,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.41422,0.35824,-1.77869
20,19.388380,0.037133,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.037749,0.073613,-0.079095,0.389057,0.291195,-0.198516,0.670224,-0.741628,-0.028060,0.905552,-0.156251,-0.394414,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.31193,0.37583,-1.53357
21,19.427110,0.038739,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.014892,0.071432,-0.099879,0.354042,0.246483,-0.210802,0.572615,-0.812663,-0.108125,0.865680,-0.255205,-0.430662,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.27162,0.37093,-1.26004
22,19.469840,0.042720,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.048334,0.102254,-0.096850,0.292334,0.190393,-0.228393,0.601035,-0.788270,-0.131863,0.766858,-0.404549,-0.498266,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.31362,0.36191,-0.98335
23,19.506460,0.036630,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.026657,0.178653,-0.058208,0.200041,0.140864,-0.238418,0.823104,-0.565830,-0.048332,0.619531,-0.555040,-0.555078,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.42749,0.36041,-0.71089
24,19.544410,0.037945,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.021734,0.218423,-0.036858,0.073473,0.126342,-0.226576,0.953996,-0.296067,0.047283,0.463361,-0.669439,-0.580645,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.62063,0.36995,-0.52999
