schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.214130,56.412270,-0.148438,0.293342,56.427140,0.026119,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.219045,56.447100,-0.149139,0.286703,56.461310,0.021009,1785933915,1785933915,1,1,1.176462,0.243796,0.578467,0.670714,0.413944,0.592677,1.171139,0.244457,1.026943,0.663802,0.419031,0.881619,-0.213721,56.895570,-0.148478,0.293615,56.750250,0.026096,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449700,91.160670,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,5.406278,0,Walking Backwards,0.406278,0.906278,0.098133,54.318920,5.848666,-0.330399,54.228540,5.652868,-0.002212,0.994509,0.104631,-0.002212,0.994509,0.104631,0.103047,54.320070,5.824900,-0.328137,54.226450,5.634847,0,0,0,0,0.103047,54.320070,5.824900,-0.328137,54.226450,5.634847,0.098134,54.318920,5.848666,-0.330399,54.228540,5.652868,0.098134,54.318920,5.848666,-0.330399,54.228540,5.652868,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.304400,164.175500,124.517900,89.334240,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.211021,56.412400,-0.147858,0.296989,57.017380,0.026655,-0.041233,0.999141,-0.004026,-0.227608,0.251914,-0.940603,-0.216032,56.447220,-0.148628,0.289023,57.026200,-0.006266,1785933915,4360978,1,1,1.173449,0.244307,0.578593,-0.043711,0.140984,-0.189371,1.168000,0.245043,1.025696,-0.015714,-0.119055,-0.091395,-0.210583,56.894330,-0.147892,0.296744,56.748970,0.026681,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449700,91.160640,NaN,NaN,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,5.569414,0,Walking Backwards,0.569414,0.069414,0.100129,54.320410,5.854969,-0.331258,54.226620,5.729909,-0.002220,0.994448,0.105209,-0.002220,0.994448,0.105209,0.101015,54.319890,5.841363,-0.329738,54.226990,5.670679,0,0,0,0,0.101015,54.319890,5.841363,-0.329738,54.226990,5.670679,0.100129,54.320410,5.854969,-0.331258,54.226620,5.729909,0.100129,54.320410,5.854969,-0.331258,54.226620,5.729909,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.183400,161.818800,124.518500,93.403240,NaN,NaN,0.004769,0.012847,0.000000,0.000000,0.212142,2.100030,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.207759,56.412540,-0.147191,0.300274,57.019760,0.027326,-0.041233,0.999141,-0.004026,-0.215003,0.253153,-0.943232,-0.212913,56.447350,-0.148049,0.291450,57.027220,-0.005387,1785933915,4360978,1,1,1.170330,0.244886,0.578724,-0.043108,0.141690,-0.189691,1.164723,0.245713,1.024586,-0.013031,-0.119935,-0.090458,-0.207305,56.893220,-0.147222,0.300017,56.747840,0.027350,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449600,91.160680,NaN,NaN,0.000003,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,5.731069,0,Walking Backwards,0.731069,0.231069,0.109214,54.319580,5.861884,-0.330678,54.219220,5.780376,-0.002224,0.994417,0.105500,-0.002224,0.994417,0.105500,0.103458,54.319850,5.851843,-0.330432,54.224370,5.719941,0,0,0,0,0.103458,54.319850,5.851843,-0.330432,54.224370,5.719941,0.109214,54.319580,5.861884,-0.330678,54.219220,5.780376,0.109214,54.319580,5.861884,-0.330678,54.219220,5.780376,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.048600,163.087100,124.802300,93.476670,NaN,NaN,0.005745,0.005826,0.000000,0.000000,0.634890,0.175829,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.204454,56.412680,-0.146514,0.303619,57.018020,0.028012,-0.041233,0.999141,-0.004026,-0.208053,0.256158,-0.943979,-0.209700,56.447490,-0.147417,0.294642,57.027520,-0.004558,1785933915,4360978,1,1,1.167117,0.245517,0.578859,-0.041865,0.141859,-0.190045,1.161385,0.246397,1.023598,-0.010624,-0.120762,-0.090098,-0.203968,56.892230,-0.146538,0.303344,56.746810,0.028032,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160650,NaN,NaN,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,5.891219,0,Walking Backwards,0.891219,0.391219,0.107418,54.315180,5.885293,-0.330013,54.224650,5.781818,-0.002233,0.994355,0.106084,-0.002233,0.994355,0.106084,0.105895,54.318230,5.865594,-0.330391,54.223430,5.754486,0,0,0,0,0.105895,54.318230,5.865594,-0.330391,54.223430,5.754486,0.107418,54.315180,5.885293,-0.330012,54.224650,5.781818,0.107418,54.315180,5.885293,-0.330012,54.224650,5.781818,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.102300,162.484500,122.681900,90.894270,NaN,NaN,0.001268,0.006174,0.000000,0.000000,1.112411,1.276256,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.201054,56.412820,-0.145795,0.307061,57.016460,0.028740,-0.041233,0.999141,-0.004026,-0.201270,0.259089,-0.944650,-0.206402,56.447630,-0.146745,0.298166,57.026890,-0.003775,1785933915,4360978,1,1,1.163818,0.246190,0.578998,-0.040290,0.141114,-0.190267,1.157951,0.247123,1.022732,-0.008172,-0.121476,-0.089767,-0.200534,56.891360,-0.145812,0.306767,56.745910,0.028756,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769800,128.449700,91.160640,NaN,NaN,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,6.049781,0,Walking Backwards,0.049781,0.549781,0.100683,54.326350,5.959561,-0.328320,54.226720,5.787127,-0.002243,0.994292,0.106674,-0.002243,0.994292,0.106674,0.104592,54.320350,5.901507,-0.329631,54.224640,5.772780,0,0,0,0,0.104592,54.320350,5.901507,-0.329631,54.224640,5.772780,0.100683,54.326350,5.959561,-0.328320,54.226720,5.787127,0.100683,54.326350,5.959561,-0.328320,54.226720,5.787127,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,117.860600,162.501200,127.478000,90.897180,NaN,NaN,0.012298,0.005214,0.000000,0.000000,2.632770,0.158259,0.000000,0,0,none,0,0,0,DefaultContact
