frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,1.028665,0.099507,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.187310,0.288951,0.071283,0.152835,0.374163,-0.200297,0.834743,0.245205,0.493030,0.930816,0.166288,-0.325469,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.21557,0.00000,0.13509
1,1.052112,0.023448,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.099263,0.204833,-0.013757,0.059951,0.358557,-0.140231,0.944331,-0.177002,0.277327,0.863385,-0.126907,-0.488325,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.02661,-0.00027,0.26555
2,1.068406,0.016294,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.075318,0.173973,-0.039228,0.043015,0.347058,-0.137198,0.921782,-0.347535,0.171865,0.809921,-0.237383,-0.536357,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.95546,-0.00049,0.30396
3,1.085918,0.017512,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.060305,0.152164,-0.057449,0.034486,0.340594,-0.135401,0.883539,-0.458307,0.096513,0.778814,-0.292056,-0.555115,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.57096,-0.00067,0.33052
4,1.104019,0.018101,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.044811,0.129209,-0.077735,0.028307,0.334649,-0.134023,0.823713,-0.566762,0.016672,0.754683,-0.333205,-0.565180,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.18551,-0.00090,0.34475
5,1.122661,0.018642,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.034237,0.106986,-0.098930,0.034743,0.330391,-0.134927,0.750632,-0.658106,-0.058719,0.776788,-0.316362,-0.544533,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.74676,-0.00119,0.34196
6,1.140414,0.017753,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.025974,0.087395,-0.120304,0.049597,0.328502,-0.136650,0.667230,-0.733666,-0.128601,0.824442,-0.262075,-0.501609,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-4.15081,-0.00150,0.33295
7,1.165390,0.024976,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.021570,0.072302,-0.139466,0.077760,0.324575,-0.144686,0.584889,-0.789481,-0.186078,0.888590,-0.161935,-0.429167,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-4.20621,-0.00182,0.32267
8,1.184701,0.019310,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.014753,0.058282,-0.162625,0.127569,0.325949,-0.153669,0.469203,-0.845758,-0.254051,0.951744,-0.002019,-0.306888,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.85102,-0.00228,0.30485
9,1.201939,0.017238,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.007169,0.052756,-0.176566,0.171639,0.331701,-0.158222,0.388465,-0.872917,-0.295148,0.970401,0.110699,-0.214634,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.48172,-0.00262,0.29130
10,1.217883,0.015945,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.001093,0.049700,-0.187178,0.207523,0.339936,-0.158562,0.315721,-0.890916,-0.326481,0.971325,0.185983,-0.148114,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.17557,-0.00291,0.28236
11,1.232385,0.014502,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.061799,0.051019,-0.196134,0.240775,0.329187,-0.170666,0.184158,-0.914124,-0.361197,0.973769,0.157895,-0.163840,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.94886,-0.00317,0.27071
12,1.248850,0.016465,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.101747,0.054426,-0.201359,0.266017,0.330215,-0.172573,0.070610,-0.921380,-0.382194,0.973979,0.164709,-0.155678,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.80638,-0.00339,0.26053
13,1.265040,0.016190,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.147335,0.062067,-0.204228,0.286193,0.333576,-0.171859,-0.063926,-0.915739,-0.396656,0.973704,0.174252,-0.146755,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.53983,-0.00363,0.22956
14,1.279859,0.014820,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.186935,0.072118,-0.204069,0.302785,0.335530,-0.171523,-0.185521,-0.897330,-0.400475,0.973664,0.174909,-0.146238,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.36522,-0.00326,0.19831
15,1.294578,0.014719,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.214686,0.081190,-0.202647,0.312131,0.332808,-0.173483,-0.275706,-0.874993,-0.397962,0.974311,0.159220,-0.159272,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.40853,-0.00223,0.17997
16,1.312562,0.017984,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1,1,-0.239711,0.091627,-0.199044,0.322686,0.328730,-0.176142,-0.339813,-0.854587,-0.392692,0.974493,0.136197,-0.178366,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.53773,-0.00041,0.01202
17,1.334308,0.021746,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1,1,-0.256316,0.107063,-0.186038,0.342714,0.312031,-0.185095,-0.273669,-0.876290,-0.396513,0.968459,0.052650,-0.243547,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.99242,0.00302,-0.17120
