frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,1.768155,0.066852,0.00000,0.00000,0.00000,0.11854,-0.00772,0,0,1,1,-0.075253,0.032027,0.205765,0.065652,-0.010397,-0.134263,0.017398,-0.752848,0.657965,0.258115,-0.953622,-0.154858,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.23203,0.00000,0.07014
1,1.789509,0.021353,0.00000,0.00000,0.00000,0.23854,-0.00935,0,1,1,1,-0.074932,0.032796,0.205923,0.077841,-0.000053,-0.171398,0.017398,-0.752848,0.657965,0.268535,-0.932580,-0.241214,Swing,Capture,-1269438207,0.000000,Locomotion,DefaultContact,0.24656,-0.00054,0.20100
2,1.804261,0.014752,0.00000,0.00000,0.00000,0.29193,-0.00800,0,1,1785933915,1,-0.072777,0.035398,0.208790,0.075554,0.001489,-0.178018,0.025078,-0.749494,0.661536,0.250901,-0.931992,-0.261609,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.10096,-0.00083,0.25019
3,1.821561,0.017300,0.00000,0.00000,0.00000,0.32881,-0.00771,0,1,1785933915,1,-0.082338,0.030055,0.189265,0.074854,0.003257,-0.183538,-0.003140,-0.768958,0.639292,0.212854,-0.936069,-0.280121,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.07660,-0.00097,0.27812
4,1.834599,0.013038,0.00000,0.00000,0.00000,0.37206,-0.00943,0,1,1785933915,1,-0.093823,0.024936,0.162178,0.072002,0.008377,-0.189795,-0.035272,-0.787442,0.615379,0.193796,-0.938936,-0.284328,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.33059,-0.00106,0.30541
5,1.847848,0.013250,0.00000,0.00000,0.00000,0.40465,-0.01254,0,1,1785933915,1,-0.100396,0.021512,0.141907,0.070480,0.011864,-0.195254,-0.057875,-0.799922,0.597307,0.178703,-0.939558,-0.292055,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.45344,-0.00108,0.32182
6,1.863164,0.015316,0.00000,0.00000,0.00000,0.43778,-0.01748,0,1,1785933915,1,-0.105275,0.016301,0.122403,0.069954,0.014770,-0.200457,-0.083734,-0.817561,0.569722,0.166193,-0.939174,-0.300553,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.55781,-0.00106,0.33495
7,1.885843,0.022679,0.00000,0.00000,0.00000,0.47607,-0.02534,0,1,1785933915,1,-0.108789,0.009718,0.101440,0.069452,0.017427,-0.206970,-0.110461,-0.837544,0.535087,0.151676,-0.936968,-0.314778,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.73277,-0.00101,0.34637
8,1.897365,0.011522,0.00000,0.00000,0.00000,0.53276,-0.03977,0,1,1785933915,1,-0.110325,-0.001987,0.073712,0.068483,0.020833,-0.219340,-0.142071,-0.869795,0.472517,0.129017,-0.927189,-0.351675,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.94329,-0.00085,0.35812
9,1.908668,0.011303,0.00000,0.00000,0.00000,0.56157,-0.04739,0,1,1785933915,1,-0.109849,-0.008085,0.060816,0.067937,0.022675,-0.226612,-0.153861,-0.885833,0.437751,0.117954,-0.919362,-0.375315,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.97438,-0.00076,0.36267
10,1.920817,0.012149,0.00000,0.00000,0.00000,0.58982,-0.05474,0,1,1785933915,1,-0.108736,-0.014006,0.049232,0.067466,0.024488,-0.234174,-0.163341,-0.900700,0.402565,0.107681,-0.909868,-0.400681,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-1.00456,-0.00067,0.36614
11,1.932945,0.012128,0.00000,0.00000,0.00000,0.00000,-0.05871,0,0,1785933915,1,-0.106961,-0.018507,0.038112,0.112292,0.023134,-0.143053,-0.172138,-0.915833,0.362792,0.304906,-0.952255,0.015598,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.10184,-0.00057,0.36800
12,1.944159,0.011214,0.00000,0.00000,0.03032,0.00000,-0.05733,1,0,1785933915,1,-0.104977,-0.020847,0.029730,0.117409,0.023516,-0.128675,-0.176391,-0.930580,0.320792,0.303991,-0.950678,0.061645,Capture,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.15644,-0.00047,0.36913
13,1.957381,0.013222,0.00000,0.00000,0.00000,0.00000,-0.05342,0,0,1785933915,1,-0.108027,-0.003159,-0.111429,0.120469,0.048191,-0.118675,-0.208414,-0.977936,-0.014303,0.308765,-0.936121,0.168353,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.18989,-0.00039,0.36939
14,1.969711,0.012330,0.00000,0.00000,0.00000,0.00000,-0.04724,0,0,1785933915,1,-0.094849,0.009653,-0.182102,0.153932,0.027932,0.099221,-0.180867,-0.912754,-0.366287,0.318466,-0.744487,0.586787,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.20091,-0.00031,0.36931
15,1.982725,0.013014,0.00000,0.00000,0.00000,0.00000,-0.04100,0,0,1,1,-0.079274,0.043926,-0.239205,0.147136,0.124603,0.291965,-0.085926,-0.771313,-0.630630,0.260604,-0.426177,0.866290,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.19801,-0.00024,0.36869
16,1.995106,0.012380,0.00000,0.00000,0.00000,0.00000,-0.03458,0,0,1785933915,1,-0.066852,0.063444,-0.261043,0.122373,0.157434,0.349597,-0.034758,-0.719398,-0.693728,0.224236,-0.516850,0.826187,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.25223,-0.00017,0.36571
17,2.006730,0.011624,0.00000,0.00000,0.00000,0.00000,-0.02897,0,0,1785933915,1,-0.054839,0.080457,-0.277564,0.095212,0.190621,0.375433,0.006093,-0.675975,-0.736900,0.117404,-0.570250,0.813038,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.26254,-0.00012,0.36312
18,2.018816,0.012086,0.00000,0.00000,0.00000,0.00000,-0.02428,0,0,1785933915,1,-0.043668,0.094846,-0.289973,0.074041,0.213912,0.390838,0.037178,-0.639889,-0.767568,0.096923,-0.494558,0.863724,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.25652,-0.00007,0.36040
19,2.030530,0.011715,0.00000,0.00000,0.00000,0.00000,-0.02002,0,0,1785933915,1,-0.034163,0.101816,-0.295356,0.065186,0.206842,0.386820,0.039714,-0.635447,-0.771122,0.057464,-0.553355,0.830961,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.23323,-0.00002,0.35773
20,2.042909,0.012379,0.00000,0.00000,0.00000,0.00000,-0.01648,0,0,1785933915,1,-0.025110,0.108223,-0.300585,0.059671,0.199849,0.384331,0.043154,-0.637459,-0.769275,0.079611,-0.488253,0.869064,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.25686,0.00002,0.34830
21,2.055471,0.012562,0.00000,0.00000,0.00000,0.00000,-0.01334,0,0,1785933915,1,-0.015892,0.113988,-0.305940,0.056115,0.191613,0.375725,0.046264,-0.645827,-0.762081,0.048366,-0.410177,0.910723,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.19494,0.00007,0.32787
22,2.066888,0.011417,0.00000,0.00000,0.00000,0.00000,-0.01069,0,0,1785933915,1,-0.006976,0.118539,-0.310090,0.053744,0.179285,0.363644,0.046586,-0.658980,-0.750717,0.016073,-0.385829,0.922430,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.97537,0.00011,0.30492
23,2.079406,0.012518,0.00000,0.00000,0.00000,0.00000,-0.00871,0,0,1785933915,1,0.000937,0.125097,-0.314255,0.052449,0.173208,0.350885,0.055644,-0.673048,-0.737503,-0.014059,-0.362787,0.931766,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.82388,0.00014,0.28245
24,2.090745,0.011339,0.00000,0.00000,0.00000,0.00000,-0.00692,0,0,1785933915,1,0.008447,0.130995,-0.320059,0.048853,0.161551,0.341186,0.061103,-0.689879,-0.721342,-0.030617,-0.390479,0.920103,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.69565,0.00017,0.25718
25,2.104058,0.013313,0.00000,0.00000,0.00000,0.00000,-0.00561,0,0,1785933915,1,0.014578,0.135230,-0.323225,0.044378,0.147769,0.336785,0.065070,-0.704993,-0.706223,-0.037179,-0.436390,0.898989,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.59187,0.00019,0.23456
26,2.116098,0.012040,0.00000,0.00000,0.00000,0.00000,-0.00436,0,0,1785933915,1,0.021217,0.143261,-0.325225,0.039207,0.135176,0.332910,0.070028,-0.721474,-0.688892,-0.043026,-0.487628,0.871991,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.48320,0.00021,0.20759
27,2.127912,0.011813,0.00000,0.00000,0.00000,0.00000,-0.00346,0,0,1785933915,1,0.026431,0.155047,-0.328588,0.031535,0.127318,0.333830,0.072539,-0.734741,-0.674458,-0.034852,-0.557831,0.829223,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.37007,0.00022,0.18599
28,2.139793,0.011882,0.00000,0.00000,0.00000,0.00000,-0.00275,0,0,1785933915,1,0.031177,0.169259,-0.331322,0.024220,0.124106,0.333376,0.074578,-0.746708,-0.660958,-0.026138,-0.622590,0.782112,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.25320,0.00023,0.16708
29,2.151077,0.011284,0.00000,0.00000,0.00000,0.00000,-0.00218,0,0,1785933915,1,0.035573,0.180781,-0.334728,0.018324,0.120404,0.330152,0.076427,-0.757093,-0.648822,-0.019537,-0.676385,0.736289,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.13653,0.00023,0.15044
