frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.487626,0.040985,0.50340,0.78783,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.108142,0.065746,-0.060645,0.101179,0.005585,0.014353,0.000000,0.000000,-0.270782,-0.901315,0.338095,0.173442,-0.976682,0.126529,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,34.983970,0,0,0.000000,XBot Walk Neutral,0.917005,Walking,0.082995,0
1,3.507525,0.019900,0.76245,0.80934,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.111744,0.049334,-0.026424,0.098616,0.004369,-0.008005,0.000000,0.000000,-0.262723,-0.889353,0.374204,0.172168,-0.982990,0.063944,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.097250,0,0,0.000000,XBot Walk Neutral,0.748298,Walking,0.251702,0
2,3.521913,0.014388,0.98172,0.82848,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.115437,0.033980,0.009352,0.096796,0.002882,-0.031668,0.000000,0.000000,-0.253414,-0.881015,0.399493,0.172746,-0.984960,0.003441,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.136100,0,0,0.000000,XBot Walk Neutral,0.618775,Walking,0.381225,0
3,3.539010,0.017097,1.25302,0.85350,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.118672,0.024039,0.041143,0.095101,0.001463,-0.053636,0.000000,0.000000,-0.244108,-0.872752,0.422746,0.172716,-0.983748,-0.049085,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.158840,0,0,0.000000,XBot Walk Neutral,0.509142,Walking,0.490858,0
4,3.552202,0.013192,1.46366,0.87359,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.121593,0.017274,0.084654,0.091968,-0.000226,-0.083895,0.000000,0.000000,-0.231256,-0.852314,0.469128,0.170291,-0.978342,-0.117681,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.180950,0,0,0.000000,XBot Walk Neutral,0.373488,Walking,0.626512,0
5,3.566617,0.014415,1.71513,0.89664,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.121495,0.015749,0.120309,0.088413,-0.001204,-0.109580,0.000000,0.000000,-0.219533,-0.828918,0.514491,0.166050,-0.970540,-0.174586,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.196010,0,0,0.000000,XBot Walk Neutral,0.268170,Walking,0.731830,0
6,3.584230,0.017613,2.05121,0.92618,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.117987,0.016317,0.160491,0.082501,-0.001703,-0.140542,0.000000,0.000000,-0.204514,-0.799199,0.565204,0.157113,-0.957075,-0.243565,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.210520,0,0,0.000000,XBot Walk Neutral,0.142433,Walking,0.857567,0
7,3.598325,0.014096,2.31262,0.94977,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.110566,0.017788,0.202403,0.073572,-0.001080,-0.177416,0.000000,0.000000,-0.184832,-0.765156,0.616744,0.142737,-0.934875,-0.325014,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.226300,0,0,0.000000,Walking,0.987198,Walking,0.012802,0
8,3.613720,0.015395,2.58302,0.97492,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.109705,0.014070,0.199986,0.072595,0.002654,-0.187591,0.000000,0.000000,-0.183586,-0.767716,0.613928,0.143360,-0.928532,-0.342455,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.239260,0,0,0.000000,Walking,0.921845,Walking,0.078155,0
9,3.629658,0.015938,2.85561,1.00043,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.108957,0.013465,0.194526,0.071970,0.012105,-0.198138,0.000000,0.000000,-0.183594,-0.774813,0.604945,0.145050,-0.921618,-0.359973,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.253780,0,0,0.000000,Walking,0.854245,Walking,0.145756,0
10,3.647187,0.017530,3.14548,1.02776,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.109216,0.013767,0.186586,0.071586,0.022599,-0.207828,0.000000,0.000000,-0.184858,-0.780407,0.597321,0.145645,-0.914658,-0.377078,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.269210,0,0,0.000000,Walking,0.786098,Walking,0.213903,0
11,3.664362,0.017175,3.31624,1.04772,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.110264,0.014484,0.174998,0.071867,0.034344,-0.216866,0.000000,0.000000,-0.187604,-0.787050,0.587671,0.146598,-0.908009,-0.392464,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.286650,0,0,0.000000,Walking,0.713629,Walking,0.286371,0
12,3.681307,0.016945,3.34121,1.05804,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.111156,0.014969,0.163038,0.072723,0.044819,-0.222987,0.000000,0.000000,-0.190101,-0.797461,0.572641,0.150009,-0.905525,-0.396891,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.304060,0,0,0.000000,Walking,0.670941,Walking,0.329059,0
13,3.697219,0.015912,3.29119,1.06221,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.112073,0.014700,0.150060,0.074400,0.053069,-0.226297,0.000000,0.000000,-0.192595,-0.808498,0.556092,0.155567,-0.906878,-0.391627,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.321410,0,0,0.000000,Walking,0.664697,Walking,0.335303,0
14,3.712994,0.015775,3.21192,1.06351,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.112743,0.014631,0.135995,0.076730,0.059270,-0.227799,0.000000,0.000000,-0.194633,-0.813439,0.548120,0.162031,-0.910736,-0.379876,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.337770,0,0,0.000000,Walking,0.677202,Walking,0.322798,0
15,3.730817,0.017823,3.10530,1.06267,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.113086,0.014626,0.121117,0.080386,0.063535,-0.225820,0.000000,0.000000,-0.196735,-0.819469,0.538299,0.171545,-0.918546,-0.356153,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,35.354000,0,0,0.000000,Walking,0.697020,Walking,0.302980,0
