schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,17.724780,0,XBot Walk Neutral,0.075499,57.833790,0.035924,0.001265,0.999999,0.000577,0.167778,-0.026965,0.237094,0.000000,0.000000,1,0.724775,0.224775,-0.182502,56.413630,-0.135361,0.325044,56.975540,0.107663,-0.041233,0.999141,-0.004026,-0.343264,0.473929,-0.810902,-0.194146,56.448250,-0.116829,0.308940,56.912910,0.037108,1785933915,4422694,1,1,1.151563,0.276106,0.579625,-0.053065,0.011003,-0.185524,1.139493,0.257780,0.881897,0.006403,-0.218677,0.006618,-0.182076,56.750530,-0.135155,0.324590,56.616240,0.107456,0.000000,0.000000,0,0,Swing,Swing,0.000000,119.843700,164.321700,127.340100,88.426450,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,4.021366,0,XBot Walk Neutral,-0.296778,55.940730,5.112055,-0.005266,0.995836,0.091013,-0.029266,0.003365,-0.044295,0.000000,0.000000,1,0.021366,0.521366,-0.064784,54.862480,5.110121,-0.488397,54.872630,4.976553,-0.001176,0.995689,0.092743,-0.008864,0.995874,0.090319,-0.063791,54.896290,5.124560,-0.488974,54.907800,4.976054,4423004,4423004,1,1,-0.063791,54.896290,5.124560,-0.488974,54.907800,4.976054,-0.065756,55.046420,5.126931,-0.488741,54.937550,4.982487,-0.065756,55.046420,5.126931,-0.488741,54.937550,4.982487,0.000000,0.000000,0,0,Stance,Stance,0.000000,117.031600,163.871500,126.700700,90.321270,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,17.910100,0,XBot Walk Neutral,0.081232,57.831410,0.042249,0.001363,0.999999,0.000685,0.174563,0.002943,0.248021,0.000000,0.000000,1,0.910105,0.410105,-0.180024,56.413750,-0.130595,0.329263,56.947120,0.094497,-0.041233,0.999141,-0.004026,-0.299203,0.480845,-0.824176,-0.187548,56.448490,-0.125212,0.316152,56.943740,0.054655,1785933915,4422694,1,1,1.144965,0.267723,0.579863,-0.056729,0.045152,-0.184430,1.136955,0.262596,0.901161,0.010449,-0.219206,-0.005971,-0.179538,56.769790,-0.130339,0.328817,56.620450,0.094274,0.000000,0.000000,0,0,Swing,Swing,0.000000,116.297700,163.094300,132.075300,91.281430,NaN,NaN,0.004510,0.004233,0.000000,0.000000,2.475674,1.428481,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,4.338087,0,XBot Walk Neutral,-0.299160,55.940820,5.110782,-0.005308,0.995838,0.090988,-0.029744,0.003247,-0.043147,0.000000,0.000000,1,0.338087,0.838087,-0.063792,54.864290,5.090726,-0.493626,54.869730,5.007905,-0.001158,0.995722,0.092391,-0.008959,0.995821,0.090888,-0.064242,54.897380,5.112855,-0.490760,54.906770,4.987274,4423004,4423004,1,1,-0.064242,54.897380,5.112855,-0.490760,54.906770,4.987274,-0.064720,55.038510,5.106644,-0.493964,54.933150,5.013699,-0.064720,55.038510,5.106644,-0.493964,54.933150,5.013699,0.000000,0.000000,0,0,Stance,Stance,0.000000,118.681000,162.910500,125.065800,95.556260,NaN,NaN,0.005015,0.008298,0.000000,0.000000,0.946881,2.660651,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,18.084500,0,XBot Walk Neutral,0.087167,57.830140,0.048938,0.001464,0.999999,0.000796,0.183318,0.016033,0.264443,0.000000,0.000000,1,0.084501,0.584501,-0.180806,56.413970,-0.066672,0.328376,56.881610,0.061773,-0.041233,0.999141,-0.004026,-0.232194,0.484917,-0.843174,-0.184237,56.448700,-0.107141,0.322437,56.934580,0.052191,1785933915,4422694,1,1,1.141654,0.285794,0.580071,-0.054531,0.034443,-0.184946,1.137731,0.326543,0.881767,0.010610,-0.236985,-0.035411,-0.180314,56.750400,-0.066392,0.327991,56.618100,0.061564,0.000000,0.000000,0,0,Swing,Swing,0.000000,119.062100,164.148500,124.830900,91.713850,NaN,NaN,0.012488,0.008217,0.000000,0.000000,3.639756,0.484972,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,4.699176,0,XBot Walk Neutral,-0.301562,55.940880,5.109832,-0.005351,0.995839,0.090969,-0.030161,0.003164,-0.042438,0.000000,0.000000,1,0.699176,0.199176,-0.074219,54.861140,5.124361,-0.497734,54.875190,4.947299,-0.001347,0.995665,0.093001,-0.009033,0.995920,0.089788,-0.067596,54.897280,5.113876,-0.493864,54.907450,4.979528,4423004,4423004,1,1,-0.067596,54.897280,5.113876,-0.493864,54.907450,4.979528,-0.075164,55.037150,5.140440,-0.498072,54.938030,4.953039,-0.075164,55.037150,5.140440,-0.498072,54.938030,4.953039,0.000000,0.000000,0,0,Stance,Stance,0.000000,118.764300,164.375500,126.295800,88.129970,NaN,NaN,0.008983,0.014687,0.000000,0.000000,0.735153,3.726307,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,18.250080,0,XBot Walk Neutral,0.093370,57.829240,0.056035,0.001569,0.999999,0.000918,0.191594,0.024647,0.268846,0.000000,0.000000,1,0.250082,0.750082,-0.182471,56.414040,-0.032999,0.338158,56.820110,0.028732,-0.041233,0.999141,-0.004026,-0.100418,0.476983,-0.873157,-0.183526,56.448860,-0.074400,0.329864,56.895090,0.032323,1785933915,4422694,1,1,1.140942,0.318535,0.580232,-0.043291,-0.009411,-0.187632,1.139392,0.360238,0.861191,0.021983,-0.257103,-0.063001,-0.181975,56.729820,-0.032697,0.337829,56.610370,0.028540,0.000000,0.000000,0,0,Swing,Swing,0.000000,121.242300,163.434100,121.857700,95.002200,NaN,NaN,0.007036,0.008400,0.000000,0.000000,1.623653,1.664716,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,5.108245,0,XBot Walk Neutral,-0.303984,55.940910,5.109110,-0.005394,0.995841,0.090955,-0.030535,0.003109,-0.042052,0.000000,0.000000,1,0.108245,0.608245,-0.071333,54.863670,5.097294,-0.495875,54.872480,4.977409,-0.001295,0.995711,0.092510,-0.009000,0.995871,0.090334,-0.070195,54.897490,5.111581,-0.495569,54.907870,4.974720,4423004,4423004,1,1,-0.070195,54.897490,5.111581,-0.495569,54.907870,4.974720,-0.072298,55.042010,5.113583,-0.496225,54.937050,4.983306,-0.072298,55.042010,5.113583,-0.496225,54.937050,4.983306,0.000000,0.000000,0,0,Stance,Stance,0.000000,118.109500,163.964400,125.337500,90.409620,NaN,NaN,0.006581,0.007879,0.000000,0.000000,0.561626,1.174365,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,18.408730,0,XBot Walk Neutral,0.099845,57.828320,0.063319,0.001679,0.999998,0.001042,0.199960,0.021066,0.274371,0.000000,0.000000,1,0.408732,0.908732,-0.169187,56.414540,-0.047101,0.349242,56.831130,0.032444,-0.041233,0.999141,-0.004026,-0.052334,0.479625,-0.875912,-0.179178,56.449120,-0.055978,0.338879,56.866510,0.015339,1785933915,4422694,1,1,1.136594,0.336957,0.580487,-0.030757,-0.040715,-0.190979,1.126053,0.346188,0.874268,0.029824,-0.244220,-0.063745,-0.168636,56.742900,-0.046747,0.348887,56.619750,0.032224,0.000000,0.000000,0,0,Swing,Swing,0.000000,119.799000,160.727500,124.092100,100.777700,NaN,NaN,0.005430,0.002449,0.000000,0.000000,1.135566,2.918328,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,5.568162,0,XBot Walk Neutral,-0.306425,55.940930,5.108552,-0.005437,0.995841,0.090944,-0.030878,0.003067,-0.041776,0.000000,0.000000,1,0.568162,0.068162,-0.077496,54.862440,5.110402,-0.500839,54.873680,4.963720,-0.001406,0.995689,0.092748,-0.009090,0.995893,0.090086,-0.073086,54.897600,5.110375,-0.497700,54.908050,4.972542,4423004,4423004,1,1,-0.073086,54.897600,5.110375,-0.497700,54.908050,4.972542,-0.078475,55.041640,5.126768,-0.501203,54.940380,4.969812,-0.078475,55.041640,5.126768,-0.501203,54.940380,4.969812,0.000000,0.000000,0,0,Stance,Stance,0.000000,118.405400,163.258000,125.909600,90.396550,NaN,NaN,0.003635,0.003253,0.000000,0.000000,0.383084,0.219397,0.000000,0,0,none,0,0,0,DefaultContact
