frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
0,3.564994,0.017364,0.69560,0.80319,0.50000,0.50000,0.50000,-0.08000,0,0,1,1785933915,1,0.013381,-0.025098,0.259107,-0.148049,-0.074603,-0.071387,0.000000,0.000000,0.157002,-0.848181,0.505904,-0.389256,-0.920649,-0.029772,Swing,Swing,0.000000,0.000000
1,3.603015,0.015429,1.33777,0.85891,0.05603,0.05603,0.05603,-0.08000,0,0,1,506564,1,0.251567,-0.057284,0.052485,0.038617,-0.190059,-0.020970,0.000000,0.000000,0.482467,-0.875627,-0.022421,0.267648,-0.951016,-0.154703,Swing,Swing,0.000000,0.000000
2,3.637873,0.017061,2.00239,0.91822,0.00000,0.00000,0.00000,-0.06721,0,0,1,508300,1,-0.092048,0.014990,-0.122404,0.144350,-0.031388,0.077633,0.000000,0.000000,-0.306128,-0.938923,0.157193,0.280122,-0.891682,0.355576,Swing,Swing,0.000000,0.000000
3,3.667553,0.013989,2.51815,0.96741,0.00000,0.00000,0.00000,-0.04605,0,0,1,508300,1,-0.174840,0.015235,-0.137787,0.131526,-0.039863,0.048282,0.000000,0.000000,-0.427862,-0.852759,0.299559,0.248216,-0.931821,0.264760,Swing,Swing,0.000000,0.000000
4,3.699132,0.015978,3.05762,1.01831,0.16439,0.00000,0.32878,-0.04055,0,1,1,1785933915,1,-0.116608,0.051283,-0.075479,0.123859,0.009761,-0.137764,0.000000,0.452788,-0.277684,-0.889770,0.362218,0.215923,-0.954380,-0.206245,Swing,Stance,0.000000,0.000000
5,3.728776,0.015955,3.42999,1.05823,0.32920,0.00000,0.65841,-0.03791,0,1,1,1785933915,1,-0.112821,0.073532,-0.132882,0.132849,0.028602,-0.148159,0.000000,0.441016,-0.283269,-0.894052,0.347029,0.239480,-0.930908,-0.275790,Swing,Stance,0.000000,0.000000
6,3.762981,0.015703,3.42355,1.07501,0.50000,0.00000,1.00000,-0.02687,0,1,1,1785933915,1,-0.101206,0.092234,-0.200083,0.150464,0.067572,-0.163326,0.000000,0.390078,-0.307442,-0.900544,0.307409,0.370580,-0.784460,-0.497286,Swing,Stance,0.000000,0.000000
7,3.810091,0.015937,3.13799,1.07239,0.50000,0.00000,1.00000,-0.01344,0,1,1,1785933915,1,-0.115565,0.021502,0.049435,0.158972,0.036953,-0.297101,0.000000,0.305191,-0.236432,-0.842169,0.484614,0.217978,-0.767505,-0.602845,Swing,Stance,0.000000,0.000000
8,3.842300,0.017662,3.00610,1.06995,0.50000,0.00000,1.00000,-0.00800,0,1,1,1785933915,1,-0.108163,0.041170,0.008414,0.230943,0.101230,-0.400884,0.000000,0.263655,-0.245903,-0.848364,0.468840,0.343485,-0.504285,-0.792284,Swing,Stance,0.000000,0.000000
9,3.888010,0.018184,2.97494,1.07300,0.50000,0.00000,1.00000,-0.00350,0,1,1,1785933915,1,-0.117968,0.041575,0.126113,0.166127,0.045329,-0.337703,0.000000,0.232887,-0.207928,-0.774736,0.597119,0.229747,-0.700498,-0.675662,Swing,Stance,0.000000,0.000000
