frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.572940,0.048606,0.55623,0.79594,0.00000,0.00000,0.00000,0.00000,0,0,1,1004632,1,-0.106460,0.059326,-0.070691,0.102988,0.003511,0.025966,0.000000,0.000000,-0.268709,-0.918156,0.291178,0.176194,-0.972590,0.151736,Stance,Stance,0.000000,0.000000,-1269438207,34.760930,0,0,0.000000,XBot Walk Neutral,0.924904,Walking,0.075097,0
1,3.599060,0.026119,0.88058,0.82463,0.00000,0.00000,0.00000,0.00000,0,0,1,1004632,1,-0.102756,0.068699,-0.100208,0.107048,0.005388,0.042186,0.000000,0.000000,-0.271580,-0.934676,0.229404,0.181519,-0.961314,0.207188,Swing,Swing,0.000000,0.000000,-1269438207,34.885150,0,0,0.000000,XBot Walk Neutral,0.721887,Walking,0.278114,0
2,3.618738,0.019678,1.15829,0.85065,0.00000,0.00000,0.00000,0.00000,0,0,1,1004632,1,-0.102045,0.073694,-0.103410,0.106901,0.006471,0.044604,0.000000,0.000000,-0.269806,-0.933672,0.235501,0.180484,-0.959328,0.217063,Swing,Swing,0.000000,0.000000,-1269438207,34.930620,0,0,0.000000,XBot Walk Neutral,0.559712,Walking,0.440288,0
3,3.640416,0.021678,1.54622,0.88400,0.00000,0.00000,0.00000,0.00000,0,0,1,1004632,1,-0.102876,0.073736,-0.096267,0.105483,0.006626,0.038150,0.000000,0.000000,-0.267785,-0.928437,0.257482,0.178694,-0.963393,0.199854,Swing,Swing,0.000000,0.000000,-1269438207,34.957950,0,0,0.000000,XBot Walk Neutral,0.420853,Walking,0.579147,0
4,3.659578,0.019163,1.90320,0.91519,0.00000,0.00000,0.00000,0.00000,0,0,1,1004632,1,-0.105483,0.070173,-0.079378,0.103324,0.006271,0.026085,0.000000,0.000000,-0.268783,-0.916078,0.297586,0.176324,-0.970642,0.163597,Swing,Swing,0.000000,0.000000,-1269438207,34.981720,0,0,0.000000,XBot Walk Neutral,0.226890,Walking,0.773110,0
5,3.675974,0.016396,2.19012,0.94151,0.00000,0.00000,0.00000,0.00000,0,0,1,1004632,1,-0.108335,0.065382,-0.059168,0.101010,0.005536,0.013455,0.000000,0.000000,-0.270851,-0.900171,0.341075,0.173205,-0.977092,0.123661,Swing,Swing,0.000000,0.000000,-1269438207,34.999520,0,0,0.000000,XBot Walk Neutral,0.048399,Walking,0.951601,0
6,3.695024,0.019050,2.51862,0.97179,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.110402,0.057672,-0.037519,0.098429,0.004868,-0.000513,0.000000,0.000000,-0.267692,-0.887941,0.374033,0.169219,-0.982003,0.083877,Swing,Swing,0.000000,0.000000,-1269438207,35.014460,0,0,0.000000,Walking,0.952469,Walking,0.047531,0
7,3.712656,0.017633,2.81422,0.99923,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.112208,0.049202,-0.010768,0.095138,0.004322,-0.017035,0.000000,0.000000,-0.261969,-0.873894,0.409489,0.163672,-0.985814,0.037181,Swing,Swing,0.000000,0.000000,-1269438207,35.032380,0,0,0.000000,Walking,0.870345,Walking,0.129655,0
8,3.730171,0.017514,3.00088,1.02210,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.113383,0.041281,0.014149,0.092721,0.004124,-0.030675,0.000000,0.000000,-0.254561,-0.864665,0.433074,0.159896,-0.987133,-0.001625,Swing,Swing,0.000000,0.000000,-1269438207,35.049430,0,0,0.000000,Walking,0.796445,Walking,0.203555,0
9,3.747960,0.017790,3.05245,1.03693,0.02919,0.05838,0.00000,-0.00245,1,0,1,1785933915,1,-0.114472,0.033334,0.040439,0.090801,0.002974,-0.044632,0.332773,0.000000,-0.247441,-0.856287,0.453371,0.157393,-0.986728,-0.039949,Capture,Swing,0.000000,0.000000,-1269438207,35.066750,0,0,0.000000,Walking,0.749780,Walking,0.250220,0
10,3.764235,0.016275,3.03176,1.04437,0.05884,0.11768,0.00000,-0.00654,1,0,1,1785933915,1,-0.114699,0.025615,0.061332,0.089012,0.001444,-0.060119,0.426035,0.000000,-0.240457,-0.855469,0.458644,0.155680,-0.984439,-0.081505,Stance,Swing,0.000000,0.000000,-1269438207,35.084600,0,0,0.000000,Walking,0.736889,Walking,0.263112,0
11,3.783558,0.019322,2.97501,1.04921,0.08597,0.17193,0.00000,-0.00935,1,0,1,1785933915,1,-0.114480,0.019576,0.074511,0.087327,0.000464,-0.074704,0.507086,0.000000,-0.235672,-0.859149,0.454227,0.154017,-0.980857,-0.119156,Stance,Swing,0.000000,0.000000,-1269438207,35.101050,0,0,0.000000,Walking,0.742061,Walking,0.257939,0
12,3.800354,0.016796,2.91173,1.05097,0.05376,0.10752,0.00000,-0.01121,0,0,1,1785933915,1,-0.114018,0.018282,0.112966,0.085197,-0.000375,-0.091643,0.000000,0.000000,-0.225126,-0.842839,0.488815,0.151727,-0.975357,-0.160178,Swing,Swing,0.120000,0.000000,-1269438207,35.120670,0,0,0.000000,Walking,0.756247,Walking,0.243753,0
13,3.817622,0.017268,2.83843,1.05090,0.02577,0.05154,0.00000,-0.01211,0,0,1,1785933915,1,-0.113846,0.020167,0.144003,0.083574,-0.001143,-0.105763,0.000000,0.000000,-0.216271,-0.829046,0.515665,0.150490,-0.969906,-0.191402,Swing,Swing,0.103204,0.000000,-1269438207,35.137750,0,0,0.000000,Walking,0.772069,Walking,0.227931,0
14,3.835449,0.017828,2.76837,1.05007,0.00000,0.00000,0.00000,-0.01186,0,0,1,1785933915,1,-0.113417,0.022619,0.167514,0.082046,-0.001725,-0.119832,0.000000,0.000000,-0.208147,-0.818008,0.536225,0.150069,-0.963994,-0.219532,Swing,Swing,0.085936,0.000000,-1269438207,35.155320,0,0,0.000000,Walking,0.790392,Walking,0.209609,0
15,3.852666,0.017216,2.73038,1.05005,0.00000,0.00000,0.00000,-0.01037,0,0,1,1785933915,1,-0.112622,0.024425,0.183769,0.080175,-0.001981,-0.134546,0.000000,0.000000,-0.200378,-0.803918,0.559969,0.149203,-0.957532,-0.246723,Swing,Swing,0.068108,0.000000,-1269438207,35.173430,0,0,0.000000,Walking,0.807908,Walking,0.192092,0
16,3.868176,0.015511,2.73938,1.05171,0.00000,0.00000,0.00000,-0.00858,0,0,1,1785933915,1,-0.112050,0.024835,0.194680,0.078154,-0.002064,-0.148937,0.000000,0.000000,-0.192955,-0.787158,0.585791,0.147777,-0.950658,-0.272784,Swing,Swing,0.050892,0.000000,-1269438207,35.190930,0,0,0.000000,Walking,0.817405,Walking,0.182595,0
17,3.884206,0.016030,2.77361,1.05468,0.00000,0.00000,0.00000,-0.00699,0,0,1,1785933915,1,-0.111442,0.022507,0.200028,0.076090,-0.002322,-0.161695,0.000000,0.000000,-0.188363,-0.774741,0.603569,0.145462,-0.943916,-0.296418,Swing,Swing,0.035381,0.000000,-1269438207,35.206710,0,0,0.000000,Walking,0.815156,Walking,0.184844,0
18,3.901227,0.017021,2.80560,1.05798,0.00000,0.00000,0.00000,-0.00553,0,0,1,1785933915,1,-0.110738,0.017154,0.202486,0.073919,-0.003106,-0.174847,0.000000,0.000000,-0.185346,-0.765767,0.615831,0.142947,-0.936432,-0.320408,Swing,Swing,0.019352,0.000000,-1269438207,35.223070,0,0,0.000000,Walking,0.806599,Walking,0.193401,0
19,3.915760,0.014533,2.82428,1.06055,0.00000,0.00000,0.00000,-0.00423,0,0,1,1785933915,1,-0.109620,0.012259,0.199604,0.072529,0.001671,-0.188546,0.000000,0.000000,-0.183539,-0.768256,0.613267,0.143500,-0.927924,-0.344042,Swing,Swing,0.002331,0.000000,-1269438207,35.240500,0,0,0.000000,Walking,0.798601,Walking,0.201399,0
20,3.932187,0.016427,2.85990,1.06395,0.00000,0.00000,0.00000,-0.00332,0,0,1,1785933915,1,-0.108924,0.012087,0.193798,0.071911,0.011840,-0.199237,0.000000,0.000000,-0.183655,-0.775543,0.603990,0.145186,-0.920877,-0.361809,Swing,Swing,0.000000,0.000000,-1269438207,35.255410,0,0,0.000000,Walking,0.793929,Walking,0.206071,0
