schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,14.990040,0,XBot Walk Neutral,-0.222862,57.123100,-0.179037,-0.003903,0.999988,-0.003133,0.056225,-0.014542,-0.026680,0.000000,0.000000,1,0.990043,0.490043,-0.478912,55.553750,-0.315840,0.028171,55.575380,-0.140675,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.482547,55.588630,-0.314397,0.024574,55.610270,-0.139174,1785933915,1785933915,1,1,1.440142,0.078551,0.566918,0.933021,0.253774,0.588553,1.438462,0.075556,1.032726,0.930738,0.251235,0.890282,-0.480866,56.054440,-0.317392,0.026858,55.911990,-0.141713,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.639800,163.771400,128.449700,91.163190,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293921978,4293921978,1,1,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,15.990040,0,XBot Walk Neutral,-0.220873,57.122240,-0.180421,-0.003869,0.999988,-0.003157,0.057662,-0.011256,-0.027186,0.000000,0.000000,1,0.990040,0.490040,-0.476982,55.553820,-0.317190,0.030100,55.575450,-0.142026,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.480654,55.588700,-0.315751,0.026443,55.610340,-0.140566,1785933915,1785933915,1,1,1.438250,0.077197,0.566991,0.931153,0.252382,0.588625,1.436511,0.074197,1.031868,0.928794,0.249879,0.889408,-0.478915,56.053580,-0.318751,0.028801,55.911120,-0.143068,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.639500,163.771400,128.449700,91.163220,NaN,NaN,0.000001,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293921978,4293921978,1,1,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,16.990040,0,XBot Walk Neutral,-0.218838,57.121480,-0.181827,-0.003833,0.999988,-0.003182,0.059146,-0.008209,-0.027882,0.000000,0.000000,1,0.990038,0.490038,-0.475005,55.553900,-0.318560,0.032078,55.575530,-0.143396,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.478725,55.588780,-0.317109,0.028362,55.610410,-0.141937,1785933915,1785933915,1,1,1.436321,0.075839,0.567066,0.929233,0.251010,0.588699,1.434513,0.072817,1.031113,0.926802,0.248503,0.888641,-0.476917,56.052830,-0.320131,0.030794,55.910350,-0.144444,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.639700,163.771400,128.449700,91.163240,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293921978,4293921978,1,1,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,17.990040,0,XBot Walk Neutral,-0.216753,57.120820,-0.183261,-0.003797,0.999988,-0.003207,0.060735,-0.005579,-0.028843,0.000000,0.000000,1,0.990036,0.490036,-0.472980,55.553970,-0.319957,0.034103,55.575610,-0.144793,-0.041233,0.999141,-0.004026,-0.041233,0.999141,-0.004026,-0.476754,55.588860,-0.318482,0.030331,55.610490,-0.143316,1785933915,1785933915,1,1,1.434349,0.074466,0.567141,0.927264,0.249632,0.588775,1.432467,0.071410,1.030483,0.924761,0.247100,0.887997,-0.474872,56.052200,-0.321537,0.032835,55.909710,-0.145847,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.639600,163.771400,128.449700,91.163250,NaN,NaN,0.000006,0.000006,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293921978,4293921978,1,1,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,18.990040,0,XBot Walk Neutral,-0.214617,57.120240,-0.184729,-0.003759,0.999988,-0.003233,0.062370,-0.003135,-0.029933,0.000000,0.000000,1,0.990036,0.490036,-0.470905,55.554050,-0.321386,0.036180,55.575630,-0.146223,-0.041233,0.999141,-0.004026,-0.015190,0.999581,-0.024631,-0.474735,55.588930,-0.319879,0.032657,55.610550,-0.144958,1785933915,1785933915,1,1,1.432330,0.073068,0.567219,0.924939,0.247990,0.588838,1.430371,0.069970,1.029903,0.922670,0.245663,0.887405,-0.472776,56.051620,-0.322977,0.034926,55.909120,-0.147284,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.639700,163.771400,128.449700,91.163220,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.000000,0.500000,-0.043809,56.899560,3.600526,-0.466696,56.908800,3.455351,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,-0.043809,56.934490,3.602749,-0.466696,56.943730,3.457574,4293921978,4293921978,1,1,0.223706,0.285003,0.120467,-0.199180,0.285002,-0.025001,0.222754,0.456923,0.119964,-0.199566,0.333863,-0.025205,-0.044762,57.106090,3.613167,-0.467082,56.992500,3.460474,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769800,128.449600,91.160710,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
