frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.467850,0.019451,0.77559,0.81120,0.12183,0.24366,0.00000,0.00000,1,0,1,653868,1,-0.111051,0.064808,-0.056362,0.097571,0.006877,0.010322,0.050940,0.000000,-0.273904,-0.897557,0.345498,0.224982,-0.961946,0.155056,Capture,Swing,0.000000,0.000000,-1269438207,34.936840,0,0,0.000000,XBot Walk Neutral,0.602644,Walking,0.215319,0
1,3.505160,0.017285,1.38445,0.86521,0.23148,0.46297,0.00000,0.00000,1,0,1,653868,1,-0.110632,0.064792,-0.057042,0.097524,0.006885,0.011094,0.126945,0.000000,-0.276230,-0.897507,0.343770,0.230263,-0.958480,0.168211,Stance,Swing,0.000000,0.000000,-1269438207,34.987610,0,0,0.000000,XBot Walk Neutral,0.317210,Walking,0.375330,0
2,3.540696,0.017483,2.07218,0.92536,0.22935,0.45870,0.00000,0.00000,0,0,1,653868,1,-0.110114,0.064765,-0.057851,0.097452,0.006892,0.012120,0.000000,0.000000,-0.279191,-0.897394,0.341669,0.244611,-0.955279,0.166157,Swing,Swing,0.120000,0.000000,-1269438207,35.024050,0,0,0.000000,XBot Walk Neutral,0.120221,Walking,0.681803,0
3,3.595253,0.020240,3.00619,1.01421,0.08546,0.17093,0.00000,-0.02476,0,0,1,1785933915,1,-0.119913,0.039028,-0.038406,0.099524,0.010391,-0.028174,0.000000,0.000000,-0.286595,-0.896654,0.337453,0.185325,-0.952012,0.243572,Swing,Swing,0.068201,0.000000,-1269438207,35.071870,0,0,0.000000,Walking,0.829893,Walking,0.170107,1
4,3.629660,0.017579,3.41267,1.05849,0.00000,0.00000,0.00000,-0.03829,0,0,1,1785933915,1,-0.119557,0.039011,-0.039297,0.099772,0.010382,-0.027103,0.000000,0.000000,-0.289565,-0.896539,0.335216,0.139761,-0.930165,0.339499,Swing,Swing,0.031133,0.000000,-1269438207,35.108660,0,0,0.000000,Walking,0.684797,Walking,0.315203,0
5,3.670011,0.020107,3.31657,1.07096,0.00000,0.00000,0.00000,-0.02893,0,0,1,1785933915,1,-0.119574,0.039007,-0.039225,0.099756,0.010377,-0.027075,0.000000,0.000000,-0.289508,-0.896501,0.335367,0.079805,-0.919496,0.384915,Swing,Swing,0.000000,0.000000,-1269438207,35.147590,0,0,0.000000,Walking,0.647898,Walking,0.352103,0
6,3.703009,0.017183,3.10559,1.06781,0.00000,0.00000,0.00000,-0.01781,0,0,1,1785933915,1,-0.119141,0.039002,-0.040442,0.100049,0.010368,-0.025802,0.000000,0.000000,-0.293325,-0.896389,0.332336,0.010643,-0.918618,0.395004,Swing,Swing,0.000000,0.000000,-1269438207,35.184810,0,0,0.000000,Walking,0.695387,Walking,0.304613,0
7,3.736152,0.015625,2.95496,1.06529,0.00000,0.00000,0.00000,-0.01017,0,0,1,1785933915,1,-0.117325,0.012251,0.137430,0.080018,-0.004316,-0.164068,0.000000,0.000000,-0.208532,-0.798317,0.564982,0.090847,-0.992988,-0.075647,Swing,Swing,0.000000,0.000000,-1269438207,35.220640,0,0,0.000000,Walking,0.746780,Walking,0.253220,1
8,3.778094,0.022784,2.92712,1.06857,0.09662,0.19324,0.00000,-0.00817,1,0,1,1785933915,1,-0.112265,0.015963,0.179725,0.073940,-0.005260,-0.195003,0.900499,0.000000,-0.187619,-0.766501,0.614228,0.150916,-0.982466,-0.109473,Stance,Swing,0.000000,0.000000,-1269438207,35.256520,0,0,0.000000,Walking,0.767805,Walking,0.232195,0
9,3.819984,0.021311,2.94697,1.07321,0.00000,0.00000,0.00000,-0.00757,0,0,1,1785933915,1,-0.111721,0.015944,0.180021,0.073354,-0.005240,-0.195282,0.000000,0.000000,-0.185756,-0.766546,0.614737,0.157575,-0.976057,0.149940,Swing,Swing,0.099421,0.000000,-1269438207,35.301390,0,0,0.000000,Walking,0.769558,Walking,0.230442,1
10,3.860586,0.019864,3.17479,1.08733,0.00000,0.00000,0.00000,-0.00475,0,0,1,1785933915,1,-0.117356,0.016154,0.176979,0.079374,-0.005464,-0.192318,0.000000,0.000000,-0.204996,-0.765849,0.609469,0.147806,-0.863834,0.481606,Swing,Swing,0.057372,0.000000,-1269438207,35.345190,0,0,0.000000,Walking,0.734859,Walking,0.265141,1
11,3.917151,0.017598,3.32579,1.10318,0.00000,0.00000,0.00000,-0.00187,0,0,1,1785933915,1,-0.114561,0.015910,0.083780,0.084688,0.066730,-0.245730,0.000000,0.000000,-0.200792,-0.828566,0.522648,0.206062,-0.974269,-0.091318,Swing,Swing,0.000000,0.000000,-1269438207,35.407440,0,0,0.000000,Walking,0.676662,Walking,0.323338,1
12,3.954984,0.019049,3.39151,1.11073,0.00000,0.00000,0.00000,-0.00097,0,0,1,1785933915,1,-0.114854,0.015920,0.083436,0.085542,0.066701,-0.245374,0.000000,0.000000,-0.202624,-0.828508,0.522033,0.259777,-0.948679,0.180343,Swing,Swing,0.000000,0.000000,-1269438207,35.446340,0,0,0.000000,Walking,0.662376,Walking,0.337624,1
13,3.986963,0.016009,3.49683,1.11897,0.00000,0.00000,0.00000,-0.00050,0,0,1,1785933915,1,-0.115939,0.015966,0.082180,0.088702,0.066574,-0.244025,0.000000,0.000000,-0.209400,-0.828247,0.519768,0.374066,-0.796780,0.474569,Swing,Swing,0.000000,0.000000,-1269438207,35.484040,0,0,0.000000,Walking,0.641025,Walking,0.358975,1
14,4.020745,0.017141,3.65711,1.13037,0.04622,0.00000,0.09245,-0.00314,0,1,1,1785933915,1,-0.116778,0.016003,0.081233,0.091153,0.066467,-0.242937,0.000000,0.573225,-0.214643,-0.827992,0.518032,0.539317,-0.526675,0.657077,Swing,Capture,0.000000,0.000000,-1269438207,35.519480,0,0,0.000000,Walking,0.606880,Walking,0.393120,1
15,4.072512,0.016365,3.89889,1.14961,0.00000,0.00000,0.00000,-0.01509,0,0,1,1785933915,1,-0.084624,0.005506,-0.080567,0.123662,0.029876,-0.041919,0.000000,0.000000,-0.157197,-0.987486,0.012634,0.210028,-0.859752,0.465527,Swing,Swing,0.000000,0.103462,-1269438207,35.577300,0,0,0.000000,Walking,0.543493,Walking,0.456507,1
16,4.118545,0.027667,4.13233,1.16830,0.00000,0.00000,0.00000,-0.01216,0,0,1,1785933915,1,-0.085405,0.005540,-0.079941,0.123264,0.029898,-0.043309,0.000000,0.000000,-0.157061,-0.987493,0.013773,0.211336,-0.778967,0.590379,Swing,Swing,0.000000,0.068731,-1269438207,35.616060,0,0,0.000000,Walking,0.503870,Walking,0.496130,0
17,4.156642,0.018288,4.33765,1.18501,0.00000,0.00000,0.00000,-0.00643,0,0,1,1785933915,1,-0.085158,0.005530,-0.080129,0.123390,0.029893,-0.042861,0.000000,0.000000,-0.157104,-0.987491,0.013434,0.224776,-0.739813,0.634155,Swing,Swing,0.000000,0.021255,-1269438207,35.669900,0,0,0.000000,Walking,0.440553,Walking,0.559447,0
18,4.185435,0.014311,4.50727,1.19859,0.00000,0.00000,0.00000,-0.00376,0,0,1,1785933915,1,-0.083706,0.005459,-0.081213,0.124127,0.029851,-0.040197,0.000000,0.000000,-0.157351,-0.987476,0.011463,0.250411,-0.731941,0.633685,Swing,Swing,0.000000,0.000000,-1269438207,35.707580,0,0,0.000000,Walking,0.394849,Walking,0.605151,0
19,4.220092,0.013733,4.59418,1.20478,0.00000,0.00000,0.00000,-0.00201,0,0,1,1785933915,1,-0.083014,0.005418,-0.081688,0.124477,0.029830,-0.038881,0.000000,0.000000,-0.157462,-0.987468,0.010598,0.297332,-0.730215,0.615126,Swing,Swing,0.000000,0.000000,-1269438207,35.748660,0,0,0.000000,Walking,0.338845,Walking,0.661155,0
20,4.267847,0.015291,3.30902,1.10528,0.00000,0.00000,0.00000,-0.00084,0,0,1,1785933915,1,-0.055031,0.024339,-0.215876,0.089365,0.009012,0.230699,0.000000,0.000000,-0.110513,-0.918515,-0.379629,0.203738,-0.818775,0.536749,Swing,Swing,0.000000,0.000000,-1269438207,35.801060,0,0,0.000000,Walking,0.548012,Walking,0.451988,1
21,4.306497,0.021643,2.17584,1.05186,0.00000,0.00000,0.00000,-0.00045,0,0,1,1785933915,1,-0.054658,0.024184,-0.215627,0.088758,0.009173,0.231279,0.000000,0.000000,-0.109872,-0.918782,-0.379166,0.353214,-0.793510,0.495562,Swing,Swing,0.000000,0.000000,-1269438207,35.835150,0,0,0.000000,Walking,0.805927,Walking,0.194073,0
22,4.337050,0.014091,1.50326,1.02954,0.00000,0.00000,0.00000,-0.00021,0,0,1,648862,1,-0.064961,0.053296,-0.178178,0.118360,0.015766,0.153212,0.000000,0.000000,-0.240576,-0.967726,-0.075037,0.217348,-0.858811,0.463900,Swing,Swing,0.000000,0.000000,-1269438207,35.875410,0,0,0.000000,XBot Walk Neutral,0.095732,Walking,0.681678,1
23,4.368327,0.016163,1.00744,1.01655,0.00000,0.00000,0.00000,-0.00011,0,0,1,648862,1,-0.063598,0.058581,-0.172657,0.121180,0.017904,0.141466,0.000000,0.000000,-0.260435,-0.965121,-0.026747,0.176482,-0.860896,0.477192,Swing,Swing,0.000000,0.000000,-1269438207,35.910080,0,0,0.000000,XBot Walk Neutral,0.170538,Walking,0.446117,0
24,4.395401,0.013189,0.70342,1.01000,0.00000,0.00000,0.00000,-0.00006,0,0,1,1785933915,1,-0.077589,0.036627,-0.127440,0.123176,0.021665,0.147482,0.000000,0.000000,-0.341932,-0.938002,0.056872,0.174756,-0.863170,0.473706,Swing,Swing,0.000000,0.000000,-1269438207,35.945240,0,0,0.000000,XBot Walk Neutral,0.162640,Walking,0.313531,0
25,4.426792,0.016516,0.45922,1.00555,0.07795,0.15591,0.00000,-0.00124,1,0,1,1785933915,1,-0.081681,0.031491,-0.114626,0.121112,0.022799,0.151384,0.030223,0.000000,-0.366920,-0.927247,0.074715,0.160128,-0.861877,0.481173,Stance,Swing,0.000000,0.000000,-1269438207,35.977430,0,0,0.000000,XBot Walk Neutral,0.151541,Walking,0.225573,0
26,4.458640,0.014757,0.29622,1.00304,0.17131,0.34261,0.00000,-0.00155,1,0,1,1785933915,1,-0.087235,0.017625,-0.112343,0.110603,0.020375,0.161398,0.054342,0.000000,-0.374250,-0.927144,0.018450,0.126739,-0.861916,0.490956,Stance,Swing,0.000000,0.000000,-1269438207,36.015510,0,0,0.000000,XBot Walk Neutral,0.146141,Walking,0.153221,0
27,4.486781,0.015212,0.20130,1.00178,0.24821,0.49643,0.00000,-0.00123,1,0,1,1785933915,1,-0.085474,0.016707,-0.114066,0.106484,0.020187,0.164285,0.060791,0.000000,-0.374824,-0.927073,0.006547,0.114876,-0.858690,0.499454,Stance,Swing,0.000000,0.000000,-1269438207,36.047030,0,0,0.000000,XBot Walk Neutral,0.151785,Walking,0.110293,0
28,4.519157,0.014991,0.13222,1.00095,0.33876,0.67752,0.00000,-0.00080,1,0,1,1785933915,1,-0.075369,0.019430,-0.125387,0.094325,0.019855,0.169616,0.071757,0.000000,-0.337092,-0.941338,0.015875,0.065760,-0.860536,0.505127,Stance,Swing,0.000000,0.000000,-1269438207,36.083730,0,0,0.000000,XBot Walk Neutral,0.143192,Walking,0.073954,0
29,4.551386,0.017573,0.11202,0.97521,0.42111,0.84223,0.00000,-0.00050,1,0,1,1785933915,1,-0.073177,0.019573,-0.126870,0.091498,0.019835,0.171060,0.079985,0.000000,-0.335558,-0.941946,0.011772,0.069372,-0.857913,0.509091,Stance,Swing,0.000000,0.000000,-1269438207,36.117230,0,0,0.000000,XBot Walk Neutral,0.152460,Walking,0.053925,0
30,4.583455,0.016386,0.14291,0.92814,0.50000,1.00000,0.00000,-0.00150,1,0,1,1785933915,1,-0.071533,0.019566,-0.127785,0.089316,0.019843,0.172242,0.107874,0.000000,-0.335665,-0.941952,0.007497,0.084360,-0.857788,0.507034,Stance,Swing,0.000000,0.000000,-1269438207,36.153740,0,0,0.000000,XBot Walk Neutral,0.155311,Walking,0.060070,0
31,4.631572,0.017880,0.13797,0.88710,0.50000,1.00000,0.00000,-0.00612,1,0,1,1785933915,1,-0.052382,0.024532,-0.139930,0.090694,0.014170,0.158699,0.155144,0.000000,-0.255992,-0.965741,0.042581,0.052313,-0.878355,0.475137,Stance,Swing,0.000000,0.000000,-1269438207,36.202390,0,0,0.000000,XBot Walk Neutral,0.167752,Walking,0.068945,0
32,4.663588,0.015631,0.10987,0.90055,0.50000,1.00000,0.00000,-0.00851,1,0,1,1785933915,1,-0.050573,0.024532,-0.140594,0.088643,0.014172,0.159867,0.200073,0.000000,-0.256528,-0.965738,0.039279,0.063569,-0.892638,0.446270,Stance,Swing,0.000000,0.000000,-1269438207,36.237770,0,0,0.000000,XBot Walk Neutral,0.174187,Walking,0.058498,0
33,4.711571,0.014328,0.07455,0.92686,0.40651,0.81303,0.00000,-0.00763,0,0,1,1785933915,1,-0.034790,0.024668,-0.146647,0.092870,0.010843,0.152626,0.000000,0.000000,-0.206584,-0.976820,0.056095,0.040423,-0.883811,0.466094,Swing,Swing,0.102326,0.000000,-1269438207,36.290780,0,0,0.000000,XBot Walk Neutral,0.194145,Walking,0.038742,0
34,4.744052,0.015067,0.09488,0.90624,0.31834,0.63668,0.00000,-0.00539,0,0,1,1785933915,1,-0.033003,0.024663,-0.147051,0.091015,0.010847,0.153759,0.000000,0.000000,-0.207249,-0.976819,0.053601,0.045380,-0.894169,0.445423,Swing,Swing,0.070583,0.000000,-1269438207,36.325460,0,0,0.000000,XBot Walk Neutral,0.185458,Walking,0.038161,0
35,4.778616,0.018559,0.17235,0.87025,0.23203,0.46406,0.00000,-0.00343,0,0,1,1785933915,1,-0.101312,0.020542,-0.091219,0.095119,0.013810,0.144503,0.000000,0.000000,-0.328170,-0.917433,0.224993,0.040748,-0.887161,0.459657,Swing,Swing,0.039512,0.000000,-1269438207,36.357950,0,0,0.000000,XBot Walk Neutral,0.170767,Walking,0.059398,1
36,4.808408,0.014336,0.26540,0.84292,0.13754,0.27509,0.00000,-0.00195,0,0,1,1785933915,1,-0.104330,0.020464,-0.088248,0.092787,0.014042,0.145549,0.000000,0.000000,-0.340829,-0.911287,0.231067,0.045065,-0.878343,0.475902,Swing,Swing,0.005496,0.000000,-1269438207,36.391930,0,0,0.000000,XBot Walk Neutral,0.169213,Walking,0.097365,0
37,4.843279,0.017255,0.40735,0.82330,0.04879,0.09757,0.00000,-0.00110,0,0,1,1785933915,1,-0.103589,0.020456,-0.089077,0.091593,0.014056,0.146353,0.000000,0.000000,-0.342726,-0.911271,0.228306,0.052286,-0.870899,0.488673,Swing,Swing,0.000000,0.000000,-1269438207,36.422360,0,0,0.000000,XBot Walk Neutral,0.149221,Walking,0.145727,0
38,4.877595,0.015813,0.47893,0.80963,0.00000,0.00000,0.00000,-0.00056,0,0,1,1785933915,1,-0.119256,0.014833,-0.047826,0.113673,0.016502,0.119613,0.000000,0.000000,-0.330892,-0.902401,0.276014,0.064189,-0.895371,0.440670,Swing,Swing,0.000000,0.000000,-1269438207,36.455490,0,0,0.000000,XBot Walk Neutral,0.150513,Walking,0.184336,0
39,4.904243,0.013719,0.50179,0.80143,0.00000,0.00000,0.00000,-0.00032,0,0,1,1785933915,1,-0.119856,0.014360,-0.044821,0.113710,0.017029,0.118817,0.000000,0.000000,-0.336076,-0.900994,0.274341,0.066712,-0.883146,0.464330,Swing,Swing,0.000000,0.000000,-1269438207,36.481950,0,0,0.000000,XBot Walk Neutral,0.154338,Walking,0.197372,0
40,4.947317,0.013362,0.53498,0.79319,0.00000,0.00000,0.00000,-0.00014,0,0,1,1785933915,1,-0.108416,0.012682,-0.047309,0.109807,0.021670,0.128427,0.000000,0.000000,-0.317845,-0.915001,0.248493,0.043376,-0.877738,0.477173,Swing,Swing,0.000000,0.000000,-1269438207,36.520450,0,0,0.000000,XBot Walk Neutral,0.126986,Walking,0.206308,0
41,4.978132,0.015743,0.61136,0.79444,0.00000,0.00000,0.00000,-0.00008,0,0,1,1785933915,1,-0.098321,0.010515,-0.052336,0.102095,0.026607,0.145085,0.000000,0.000000,-0.299267,-0.928081,0.221596,0.027051,-0.871824,0.489073,Swing,Swing,0.000000,0.000000,-1269438207,36.544960,0,0,0.000000,XBot Walk Neutral,0.108641,Walking,0.224416,0
42,5.011063,0.016920,0.73325,0.80223,0.00000,0.00000,0.00000,-0.00004,0,0,1,1785933915,1,-0.096554,0.010295,-0.054061,0.099322,0.027179,0.148145,0.000000,0.000000,-0.300122,-0.929366,0.214955,0.023946,-0.850290,0.525770,Swing,Swing,0.000000,0.000000,-1269438207,36.572270,0,0,0.000000,XBot Walk Neutral,0.109798,Walking,0.257728,0
43,5.045179,0.017683,0.95488,0.82127,0.00000,0.00000,0.00000,-0.00002,0,0,1,1785933915,1,-0.096038,0.010288,-0.054911,0.097910,0.027199,0.149151,0.000000,0.000000,-0.302159,-0.929334,0.212221,0.012876,-0.828174,0.560324,Swing,Swing,0.000000,0.000000,-1269438207,36.601640,0,0,0.000000,XBot Walk Neutral,0.121271,Walking,0.315224,0
44,5.081563,0.017686,1.25840,0.85265,0.00000,0.00000,0.00000,-0.00001,0,0,1,1785933915,1,-0.095726,0.010279,-0.055398,0.097035,0.027219,0.149800,0.000000,0.000000,-0.303418,-0.929293,0.210599,-0.016909,-0.810209,0.585898,Swing,Swing,0.000000,0.000000,-1269438207,36.635170,0,0,0.000000,XBot Walk Neutral,0.138647,Walking,0.408695,0
45,5.146065,0.023626,1.85824,0.92143,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.068792,0.004056,-0.098853,0.100724,0.028174,0.170116,0.000000,0.000000,-0.215501,-0.974581,0.061253,0.136606,-0.824830,0.548630,Swing,Swing,0.000000,0.000000,-1269438207,36.693150,0,0,0.000000,XBot Walk Neutral,0.143900,Walking,0.586006,0
46,5.172792,0.008350,2.07657,0.94890,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.059330,-0.000956,-0.158327,0.097240,0.023886,0.201369,0.000000,0.000000,-0.170929,-0.978629,-0.114315,0.136031,-0.804583,0.578050,Swing,Swing,0.000000,0.000000,-1269438207,36.732390,0,0,0.000000,Walking,0.831738,Walking,0.003617,0
47,5.188286,0.005390,2.17749,0.96306,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.050577,0.003752,-0.202399,0.093515,0.018881,0.220452,0.000000,0.000000,-0.129696,-0.957387,-0.258050,0.138195,-0.781322,0.608637,Swing,Swing,0.000000,0.000000,-1269438207,36.749400,0,0,0.000000,Walking,0.857253,Walking,0.034729,0
48,5.209373,0.005888,2.29418,0.98030,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.049298,0.018030,-0.225295,0.094634,0.015430,0.210183,0.000000,0.000000,-0.114880,-0.936735,-0.330651,0.133912,-0.788183,0.600696,Swing,Swing,0.000000,0.000000,-1269438207,36.768720,0,0,0.000000,Walking,0.878582,Walking,0.061869,0
49,5.227891,0.006224,2.38569,0.99377,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.049169,0.031448,-0.241621,0.095310,0.014049,0.198349,0.000000,0.000000,-0.116934,-0.928678,-0.351973,0.131132,-0.787166,0.602640,Swing,Swing,0.000000,0.000000,-1269438207,36.786050,0,0,0.000000,Walking,0.887847,Walking,0.086614,0
50,5.248121,0.007816,2.48097,1.00707,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.052968,0.051102,-0.253423,0.098068,0.013601,0.184631,0.000000,0.000000,-0.142072,-0.934445,-0.326539,0.133644,-0.794141,0.592858,Swing,Swing,0.000000,0.000000,-1269438207,36.804050,0,0,0.000000,Walking,0.888984,Walking,0.111016,0
51,5.274072,0.010270,2.60488,1.02264,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.060395,0.070918,-0.253400,0.104427,0.013252,0.164947,0.000000,0.000000,-0.174639,-0.947612,-0.267458,0.149255,-0.820654,0.551588,Swing,Swing,0.000000,0.000000,-1269438207,36.827060,0,0,0.000000,Walking,0.861415,Walking,0.138585,0
52,5.287229,0.006773,2.67494,1.03028,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.059838,0.076422,-0.254892,0.104157,0.013107,0.154436,0.000000,0.000000,-0.181404,-0.952453,-0.244798,0.148025,-0.811466,0.565343,Swing,Swing,0.000000,0.000000,-1269438207,36.843560,0,0,0.000000,Walking,0.840569,Walking,0.159431,0
53,5.306909,0.006194,2.78972,1.04169,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.065134,0.086040,-0.243595,0.107083,0.013068,0.137941,0.000000,0.000000,-0.204802,-0.961368,-0.183922,0.154010,-0.833096,0.531256,Swing,Swing,0.000000,0.000000,-1269438207,36.863830,0,0,0.000000,Walking,0.812085,Walking,0.187915,0
54,5.327285,0.005608,2.92248,1.05374,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.072069,0.093273,-0.223875,0.109010,0.013446,0.120415,0.000000,0.000000,-0.229763,-0.967991,-0.101007,0.158077,-0.861002,0.483413,Swing,Swing,0.000000,0.000000,-1269438207,36.885050,0,0,0.000000,Walking,0.779268,Walking,0.220732,0
55,5.346075,0.005035,3.06554,1.06560,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.077524,0.095306,-0.207571,0.109274,0.012795,0.102617,0.000000,0.000000,-0.243667,-0.969450,-0.028171,0.162072,-0.878548,0.449317,Swing,Swing,0.000000,0.000000,-1269438207,36.904870,0,0,0.000000,Walking,0.743493,Walking,0.256508,0
56,5.367938,0.004841,3.23494,1.07971,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.085496,0.092714,-0.182344,0.109174,0.010897,0.079711,0.000000,0.000000,-0.255003,-0.965002,0.061192,0.170344,-0.909808,0.378459,Swing,Swing,0.000000,0.000000,-1269438207,36.927730,0,0,0.000000,Walking,0.700633,Walking,0.299367,0
57,5.385239,0.004551,3.36752,1.09094,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.090207,0.088226,-0.164347,0.107469,0.009784,0.061644,0.000000,0.000000,-0.261076,-0.957325,0.123969,0.171361,-0.921827,0.347664,Swing,Swing,0.000000,0.000000,-1269438207,36.946180,0,0,0.000000,Walking,0.666901,Walking,0.333099,0
58,5.408344,0.005660,3.53837,1.10582,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.098451,0.079453,-0.131571,0.104761,0.007798,0.035011,0.000000,0.000000,-0.267232,-0.939682,0.213504,0.174724,-0.949903,0.259143,Swing,Swing,0.000000,0.000000,-1269438207,36.969520,0,0,0.000000,Walking,0.625394,Walking,0.374607,0
59,5.426945,0.005399,3.66151,1.11722,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.104374,0.070829,-0.102203,0.101688,0.006438,0.012052,0.000000,0.000000,-0.274167,-0.917948,0.286713,0.173534,-0.963595,0.203396,Swing,Swing,0.000000,0.000000,-1269438207,36.989780,0,0,0.000000,Walking,0.593617,Walking,0.406383,0
