frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown,animatorState,normalizedTime,inTransition,nextState,nextNormalizedTime,primaryClip,primaryClipWeight,secondaryClip,secondaryClipWeight,discontinuity
0,3.460855,0.039241,0.34144,0.78349,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.105575,0.065811,-0.062487,0.103009,0.007960,0.012844,0.000000,0.000000,-0.266565,-0.904017,0.334211,0.224165,-0.965656,0.131375,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.362730,0,0,0.000000,XBot Walk Neutral,1.000000,none,0.000000,0
1,3.480317,0.019462,0.61301,0.80384,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.105256,0.065803,-0.062955,0.102966,0.007968,0.013383,0.000000,0.000000,-0.268131,-0.903999,0.333005,0.229319,-0.963609,0.137370,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.513400,0,0,0.000000,XBot Walk Neutral,0.829281,Walking,0.170719,0
2,3.495135,0.014818,0.82699,0.82223,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.104571,0.048426,-0.073600,0.103068,0.012676,0.012044,0.000000,0.000000,-0.243354,-0.936799,0.251369,0.201738,-0.962663,0.180507,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.559440,0,0,0.000000,XBot Walk Neutral,0.693497,Walking,0.306503,0
3,3.511935,0.016800,1.07748,0.84508,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.103560,0.043251,-0.077573,0.103006,0.014227,0.012553,0.000000,0.000000,-0.236820,-0.945677,0.222735,0.210238,-0.945352,0.249217,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.586700,0,0,0.000000,XBot Walk Neutral,0.586504,Walking,0.413496,0
4,3.525893,0.013958,1.30740,0.86576,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.102876,0.043231,-0.078362,0.102928,0.014233,0.013498,0.000000,0.000000,-0.238619,-0.945656,0.220897,0.221286,-0.928404,0.298493,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.611520,0,0,0.000000,XBot Walk Neutral,0.461260,Walking,0.538740,0
5,3.539312,0.013419,1.53410,0.88639,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.088022,0.023521,-0.114104,0.106052,0.014196,0.090546,0.000000,0.000000,-0.198421,-0.980116,-0.000971,0.193570,-0.925859,0.324525,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.629110,0,0,0.000000,XBot Walk Neutral,0.346298,Walking,0.653702,0
6,3.555808,0.016496,1.81610,0.91217,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.086860,0.022838,-0.115757,0.105623,0.014426,0.093882,0.000000,0.000000,-0.196648,-0.980425,-0.009775,0.198907,-0.907182,0.370752,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.643970,0,0,0.000000,XBot Walk Neutral,0.232950,Walking,0.767050,0
7,3.569868,0.014060,2.06743,0.93460,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.085835,0.022807,-0.116389,0.104842,0.014455,0.094887,0.000000,0.000000,-0.196493,-0.980441,-0.011240,0.197543,-0.894126,0.401891,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.659960,0,0,0.000000,XBot Walk Neutral,0.091951,Walking,0.908049,0
8,3.585454,0.015586,2.36162,0.96003,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.085008,0.022776,-0.116866,0.104201,0.014483,0.095730,0.000000,0.000000,-0.196374,-0.980451,-0.012369,0.196139,-0.887428,0.417135,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.672680,0,0,0.000000,Walking,0.983144,Walking,0.016856,0
9,3.600625,0.015171,2.65546,0.98510,0.00000,0.00000,0.00000,0.00000,0,0,1,0,0,-0.084089,0.022738,-0.117377,0.103473,0.014516,0.096696,0.000000,0.000000,-0.196257,-0.980458,-0.013594,0.196278,-0.884249,0.423766,InvalidSurface,InvalidSurface,0.000000,0.000000,-1269438207,38.687160,0,0,0.000000,Walking,0.909596,Walking,0.090404,0
