schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,5,0.166667,0.033333,-1269438207,18.769990,0,XBot Walk Neutral,0.769993,0.269993,-0.172587,56.414100,-0.120953,0.335697,57.019840,0.156742,-0.041233,0.999141,-0.004026,-0.429267,0.511335,-0.744491,-0.181312,56.448880,-0.092945,0.316473,56.933700,0.064393,1785933915,4391836,1,1,1.138729,0.299990,0.580250,-0.085598,0.034982,-0.173425,1.129553,0.272385,0.867069,0.010732,-0.199500,0.054821,-0.172136,56.735700,-0.120550,0.335116,56.605720,0.156239,0.000000,0.000000,0,0,Swing,Swing,0.000000,121.467000,163.585800,128.069900,89.126360,NaN,NaN,0.007236,0.003026,0.000000,0.000000,2.055475,0.981583,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,5,0.166667,0.033333,-1269438207,6.366649,0,Walking Backwards,0.366649,0.866649,0.114682,54.320670,6.011113,-0.317119,54.231640,5.798522,-0.001903,0.994217,0.107373,-0.001903,0.994217,0.107373,0.119173,54.321340,5.981855,-0.314297,54.230270,5.787209,0,0,0,0,0.119173,54.321340,5.981855,-0.314297,54.230270,5.787209,0.114682,54.320670,6.011113,-0.317119,54.231640,5.798522,0.114682,54.320670,6.011113,-0.317119,54.231640,5.798522,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.125100,164.095800,124.020500,88.017200,NaN,NaN,0.005557,0.003630,0.000000,0.000000,1.815315,1.590532,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,6,0.200000,0.033333,-1269438207,18.916910,0,XBot Walk Neutral,0.916906,0.416906,-0.171158,56.414240,-0.099557,0.338356,56.986770,0.139510,-0.041233,0.999141,-0.004026,-0.393977,0.522181,-0.756379,-0.176496,56.449040,-0.101385,0.322007,56.970650,0.090749,1785933915,4391836,1,1,1.133913,0.291550,0.580415,-0.092131,0.077792,-0.169750,1.128054,0.293860,0.895081,0.009355,-0.201812,0.035536,-0.170637,56.763710,-0.099075,0.337798,56.612820,0.139007,0.000000,0.000000,0,0,Swing,Swing,0.000000,116.136100,162.896400,133.051800,91.279470,NaN,NaN,0.006529,0.005343,0.000000,0.000000,2.612020,1.102517,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,6,0.200000,0.033333,-1269438207,6.520595,0,Walking Backwards,0.520595,0.020595,0.113434,54.319830,6.019161,-0.317138,54.232540,5.873082,-0.001911,0.994163,0.107871,-0.001911,0.994163,0.107871,0.116305,54.320640,6.002052,-0.315899,54.231390,5.818655,0,0,0,0,0.116305,54.320640,6.002052,-0.315899,54.231390,5.818655,0.113434,54.319830,6.019161,-0.317138,54.232540,5.873082,0.113434,54.319830,6.019161,-0.317138,54.232540,5.873082,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.791600,161.855900,124.083800,92.509080,NaN,NaN,0.004879,0.011600,0.000000,0.000000,0.000000,2.246725,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,7,0.233333,0.033333,-1269438207,19.060490,0,XBot Walk Neutral,0.060488,0.560488,-0.173091,56.414450,-0.027798,0.335570,56.923450,0.103984,-0.041233,0.999141,-0.004026,-0.338320,0.531507,-0.776556,-0.174805,56.449210,-0.077143,0.326752,56.969900,0.094405,1785933915,4391836,1,1,1.132221,0.315792,0.580582,-0.092318,0.076320,-0.169510,1.129983,0.365639,0.877338,0.004911,-0.221797,0.004291,-0.172566,56.745970,-0.027296,0.335077,56.611600,0.103523,0.000000,0.000000,0,0,Swing,Swing,0.000000,118.699300,164.161600,125.629600,91.679240,NaN,NaN,0.013750,0.009109,0.000000,0.000000,3.749410,0.521521,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,7,0.233333,0.033333,-1269438207,6.672876,0,Walking Backwards,0.672876,0.172876,0.120883,54.322620,6.025541,-0.315914,54.223520,5.943018,-0.001919,0.994108,0.108374,-0.001919,0.994108,0.108374,0.117149,54.321120,6.014405,-0.316218,54.229160,5.868604,0,0,0,0,0.117149,54.321120,6.014405,-0.316218,54.229160,5.868604,0.120883,54.322620,6.025541,-0.315914,54.223520,5.943018,0.120883,54.322620,6.025541,-0.315914,54.223520,5.943018,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.905400,162.444500,124.244900,94.222580,NaN,NaN,0.005748,0.010641,0.000000,0.000000,0.583498,1.019524,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,8,0.266667,0.033333,-1269438207,19.200240,0,XBot Walk Neutral,0.200243,0.700243,-0.178886,56.414420,0.022723,0.342819,56.863750,0.071752,-0.041233,0.999141,-0.004026,-0.245571,0.555990,-0.794084,-0.176472,56.449320,-0.033820,0.336449,56.938140,0.080200,1785933915,4391836,1,1,1.133889,0.359115,0.580688,-0.085120,0.035778,-0.172467,1.135793,0.416162,0.848984,0.010384,-0.246163,-0.021965,-0.178376,56.717610,0.023227,0.342384,56.604760,0.071332,0.000000,0.000000,0,0,Swing,Swing,0.000000,122.860300,163.875800,120.420100,94.035870,NaN,NaN,0.010685,0.008490,0.000000,0.000000,2.688754,1.215953,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,8,0.266667,0.033333,-1269438207,6.823487,0,Walking Backwards,0.823487,0.323487,0.127110,54.315530,6.040406,-0.317227,54.225110,5.956511,-0.001928,0.994053,0.108880,-0.001928,0.994053,0.108880,0.121153,54.319510,6.025983,-0.316654,54.227120,5.913190,0,0,0,0,0.121153,54.319510,6.025983,-0.316654,54.227120,5.913190,0.127110,54.315530,6.040406,-0.317227,54.225110,5.956511,0.127110,54.315530,6.040406,-0.317227,54.225110,5.956511,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.120700,162.524000,122.120700,90.857050,NaN,NaN,0.004117,0.003673,0.000000,0.000000,1.112059,1.759475,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,9,0.300000,0.033333,-1269438207,19.335800,0,XBot Walk Neutral,0.335796,0.835796,-0.168210,56.414840,0.019289,0.354759,56.832080,0.048475,-0.041233,0.999141,-0.004026,-0.126300,0.543355,-0.829948,-0.174917,56.449500,-0.003429,0.345682,56.896820,0.053834,1785933915,4391836,1,1,1.132334,0.389506,0.580876,-0.072569,-0.012147,-0.178272,1.125069,0.412790,0.858257,0.018036,-0.251040,-0.046230,-0.167653,56.726890,0.019855,0.354362,56.609410,0.048079,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.975300,162.014000,123.629200,101.512700,NaN,NaN,0.003517,0.006895,0.000000,0.000000,1.672106,3.749671,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,9,0.300000,0.033333,-1269438207,6.972424,0,Walking Backwards,0.972424,0.472424,0.118454,54.324460,6.096814,-0.312934,54.228460,5.960914,-0.001936,0.993997,0.109391,-0.001936,0.993997,0.109391,0.121518,54.320420,6.053097,-0.315528,54.227080,5.939921,0,0,0,0,0.121518,54.320420,6.053097,-0.315528,54.227080,5.939921,0.118454,54.324460,6.096814,-0.312934,54.228460,5.960914,0.118454,54.324460,6.096814,-0.312934,54.228460,5.960914,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.679400,162.748200,125.112500,90.778190,NaN,NaN,0.007513,0.006139,0.000000,0.000000,1.922645,0.174713,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,10,0.333333,0.033333,-1269438207,19.467700,0,XBot Walk Neutral,0.467699,0.967699,-0.149768,56.415520,-0.002967,0.364881,56.912810,0.101527,-0.041233,0.999141,-0.004026,-0.227174,0.556587,-0.799127,-0.165984,56.449900,0.002875,0.351967,56.896020,0.051328,1785933915,4391836,1,1,1.123401,0.395810,0.581270,-0.069746,-0.009605,-0.180485,1.106592,0.390586,0.858749,0.025212,-0.213159,-0.005567,-0.149175,56.727380,-0.002349,0.364317,56.615960,0.100951,0.000000,0.000000,0,0,Swing,Swing,0.000000,121.956300,159.152500,122.764300,99.793990,NaN,NaN,0.006961,0.009220,0.000000,0.000000,0.553908,1.267023,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,10,0.333333,0.033333,-1269438207,7.119687,0,Walking Backwards,0.119687,0.619687,0.116202,54.324420,6.171934,-0.316319,54.231590,5.967493,-0.001945,0.993940,0.109906,-0.001945,0.993940,0.109906,0.119290,54.322470,6.102274,-0.315295,54.228810,5.954833,0,0,0,0,0.119290,54.322470,6.102274,-0.315295,54.228810,5.954833,0.116202,54.324420,6.171934,-0.316320,54.231590,5.967493,0.116202,54.324420,6.171934,-0.316320,54.231590,5.967493,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.776300,161.920400,128.227100,90.888310,NaN,NaN,0.011473,0.005589,0.000000,0.000000,1.651853,0.362077,0.000000,0,0,none,1,0,0,DefaultContact
