frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
0,3.526365,0.017000,0.63274,0.80035,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.203590,0.102096,-0.127200,-0.005770,0.020649,-0.017185,0.000000,0.000000,-0.502370,-0.852275,0.145782,-0.156528,-0.985841,0.060132,Swing,Swing,0.000000,0.000000
1,3.567735,0.020168,1.35304,0.86121,0.05890,0.11779,0.00000,-0.00135,1,0,1,564736,1,-0.241788,0.126163,0.099249,-0.163001,0.099686,-0.069553,0.077871,0.000000,-0.040195,-0.820466,0.570280,-0.508316,-0.860190,-0.041097,Capture,Swing,0.000000,0.000000
2,3.603724,0.018415,2.07606,0.92392,0.06610,0.13220,0.00000,-0.00732,0,0,1,1785933915,1,0.022857,0.093898,0.140647,-0.169811,0.156606,0.141808,0.000000,0.000000,0.641838,-0.761540,-0.090008,-0.495845,-0.709737,0.500411,SupportSwap,Swing,0.120000,0.000000
3,3.642318,0.019836,2.86209,0.99340,0.00000,0.00000,0.00000,-0.01265,0,0,1,1785933915,1,-0.031998,0.214238,-0.126397,0.033258,0.224958,0.207764,0.000000,0.000000,0.185890,-0.301884,-0.935046,-0.053406,-0.470360,0.880857,Swing,Swing,0.082826,0.000000
4,3.678030,0.016106,3.49671,1.05372,0.00000,0.00000,0.00000,-0.00902,0,0,1,1785933915,1,-0.128673,0.064103,0.109513,0.089302,0.041391,-0.130604,0.000000,0.000000,-0.236096,-0.823803,0.515372,0.152678,-0.975764,-0.156763,Swing,Swing,0.043384,0.000000
5,3.713428,0.018212,3.98247,1.10524,0.00000,0.00000,0.00000,-0.00568,0,0,1,1785933915,1,-0.126829,0.134218,-0.063100,0.082143,0.104559,-0.267546,0.000000,0.000000,-0.394491,-0.917930,0.042200,0.171849,-0.795517,-0.581051,Swing,Swing,0.010093,0.000000
6,3.746754,0.015576,3.95359,1.11879,0.09990,0.19979,0.00000,-0.00315,1,0,1,1785933915,1,-0.078198,0.398778,-0.402029,0.157198,0.306440,-0.469820,0.888838,0.000000,-0.091385,0.244494,-0.965335,0.290710,-0.104555,-0.951082,Stance,Swing,0.000000,0.000000
7,3.783111,0.018747,3.51231,1.09959,0.00772,0.01543,0.00000,-0.00175,0,0,1,1785933915,1,0.127715,0.766838,-0.863175,0.376436,0.488989,-0.793154,0.000000,0.000000,0.204580,0.504372,-0.838902,0.432754,0.103104,-0.895597,Swing,Swing,0.102391,0.000000
8,3.833522,0.018588,3.06996,1.07842,0.00000,0.00000,0.00000,-0.00067,0,0,1,1785933915,1,-0.105813,0.000149,0.068911,0.043209,0.058992,-0.360065,0.000000,0.000000,-0.177681,-0.891925,0.415811,0.080052,-0.784991,-0.614314,Swing,Swing,0.051821,0.000000
9,3.865050,0.015643,2.94323,1.07317,0.00000,0.00000,0.00000,-0.00034,0,0,1,1785933915,1,-0.083260,-0.048961,0.035541,-0.152488,0.166063,-0.595716,0.000000,0.000000,-0.118221,-0.978054,0.171565,-0.265262,-0.359936,-0.894473,Swing,Swing,0.017347,0.000000
10,3.901502,0.017311,2.98916,1.07593,0.00000,0.00000,0.00000,-0.00017,0,0,1,1785933915,1,-0.040062,-0.163878,0.046781,-0.625623,0.497244,-0.525372,0.000000,0.000000,-0.118747,-0.988561,0.092989,-0.780824,0.201945,-0.591213,Swing,Swing,0.000000,0.000000
11,3.954371,0.015565,3.29754,1.09556,0.00000,0.00000,0.00000,-0.00006,0,0,1,1785933915,1,-0.122784,0.004132,-0.032036,0.065247,0.088572,-0.342802,0.000000,0.000000,-0.229072,-0.959955,0.161282,0.147631,-0.876643,-0.457934,Swing,Swing,0.000000,0.000000
12,3.991371,0.020030,3.40766,1.10767,0.09037,0.00000,0.18075,-0.01145,0,1,1,1785933915,1,-0.142195,0.016533,0.032875,-0.224991,0.214573,-0.609356,0.000000,0.593338,-0.323128,-0.931384,0.167667,-0.365124,-0.362969,-0.857286,Swing,Stance,0.000000,0.000000
13,4.037252,0.028047,3.51226,1.11978,0.00000,0.00000,0.00000,-0.02310,0,0,1,1785933915,1,-0.016397,0.163481,0.088205,-0.795498,0.499728,-0.372493,0.000000,0.000000,-0.302040,-0.832441,0.464557,-0.932568,0.117038,-0.341495,Swing,Swing,0.000000,0.102166
14,4.076153,0.018184,3.67461,1.13252,0.00000,0.00000,0.00000,-0.01590,0,0,1,1785933915,1,-0.015151,0.365232,-0.209912,-0.477973,0.612034,0.606528,0.000000,0.000000,-0.106974,-0.641901,0.759289,-0.586501,0.237599,0.774315,Swing,Swing,0.000000,0.053402
15,4.111674,0.016812,3.73949,1.14106,0.00000,0.00000,0.00000,-0.00940,0,0,1,1785933915,1,-0.438364,0.398738,-0.071230,0.489504,0.624812,-0.223846,0.000000,0.000000,-0.918126,0.161189,0.362027,0.901974,0.302098,0.308511,Swing,Swing,0.000000,0.016509
16,4.146352,0.017496,3.82164,1.14892,0.00000,0.00000,0.00000,-0.00535,0,0,1,1785933915,1,-0.268420,0.946252,0.080467,-0.773043,1.298319,0.014900,0.000000,0.000000,-0.434542,0.639326,0.634379,-0.552173,0.820011,0.150622,Swing,Swing,0.000000,0.000000
17,4.178747,0.014761,3.93720,1.15782,0.00000,0.00000,0.00000,-0.00285,0,0,1,1785933915,1,-0.093941,0.140714,-0.245410,0.111203,0.102225,0.162477,0.000000,0.000000,-0.300780,-0.936306,-0.181284,0.215105,-0.601510,0.769361,Swing,Swing,0.000000,0.000000
18,4.211123,0.014881,4.07148,1.16786,0.00000,0.00000,0.00000,-0.00155,0,0,1,1785933915,1,-0.024812,0.122077,-0.468135,0.062379,-0.021882,0.057584,0.000000,0.000000,-0.090448,-0.713737,-0.694549,0.045076,-0.957498,0.284898,Swing,Swing,0.000000,0.000000
19,4.245121,0.019568,4.26500,1.18133,0.00000,0.00000,0.00000,-0.00088,0,0,1,564488,1,0.212218,0.419909,-0.748623,-0.033737,-0.130414,-0.087525,0.000000,0.000000,0.283767,0.012862,-0.958807,-0.101649,-0.973836,-0.203251,Swing,Swing,0.000000,0.000000
20,4.292039,0.017536,4.54060,1.20239,0.00000,0.00000,0.00000,-0.00033,0,0,1,1785933915,1,-0.038160,0.117145,-0.383356,0.110745,0.002362,-0.004113,0.000000,0.000000,-0.153151,-0.880277,-0.449063,0.175074,-0.973558,0.146744,Swing,Swing,0.000000,0.000000
21,4.325716,0.016792,4.75874,1.21929,0.09561,0.19123,0.00000,-0.00839,1,0,1,1785933915,1,0.252754,0.319899,-0.670096,0.115401,0.024635,0.012125,0.658879,0.000000,0.364381,-0.246417,-0.898056,0.296983,-0.954709,0.018216,Stance,Swing,0.000000,0.000000
22,4.362746,0.016282,5.00368,1.23913,0.00000,0.00000,0.00000,-0.01231,0,0,1,1785933915,1,0.758432,0.871287,-0.298800,0.059522,0.139181,-0.004916,0.000000,0.000000,0.847782,0.474841,-0.236202,0.532041,-0.806508,0.257833,Swing,Swing,0.099252,0.000000
