frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,1.107327,0.124855,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.187316,0.288940,0.071272,0.152836,0.374145,-0.200309,0.834769,0.245169,0.493004,0.930808,0.166233,-0.325521,Stance,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.21638,0.00000,0.13510
1,1.135503,0.028176,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.072650,0.174322,-0.038519,0.043854,0.349217,-0.135920,0.920456,-0.350301,0.173350,0.814105,-0.229674,-0.533370,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.05139,-0.00030,0.28154
2,1.155022,0.019519,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.048667,0.135187,-0.071057,0.031482,0.337866,-0.133879,0.841264,-0.539027,0.041537,0.767559,-0.313074,-0.559320,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.19284,-0.00059,0.33370
3,1.177910,0.022888,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.035675,0.110603,-0.094099,0.034888,0.332579,-0.134326,0.764172,-0.643609,-0.042539,0.778329,-0.311611,-0.545072,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.93971,-0.00082,0.34644
4,1.204649,0.026739,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.025585,0.085980,-0.120675,0.052644,0.330010,-0.136383,0.661710,-0.738432,-0.129840,0.834483,-0.246142,-0.493004,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.71559,-0.00112,0.33582
5,1.247631,0.042982,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.019682,0.064937,-0.149002,0.099805,0.326014,-0.148390,0.535888,-0.816675,-0.214166,0.924885,-0.081308,-0.371453,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-4.21824,-0.00151,0.32137
6,1.271447,0.023816,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,0.003382,0.050667,-0.181873,0.194029,0.338328,-0.157827,0.350012,-0.883690,-0.310779,0.971576,0.167200,-0.167587,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.92684,-0.00220,0.29596
7,1.294596,0.023149,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.009655,0.047925,-0.195082,0.238526,0.349962,-0.156304,0.248470,-0.903113,-0.350214,0.965226,0.242912,-0.096603,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.56036,-0.00256,0.27989
8,1.323512,0.028915,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112958,0.058268,-0.203621,0.271988,0.330352,-0.172239,0.031180,-0.918954,-0.393130,0.974635,0.164419,-0.151832,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-3.28074,-0.00287,0.26546
9,1.350816,0.027304,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.187817,0.074928,-0.206574,0.299624,0.331522,-0.172878,-0.175815,-0.895628,-0.408582,0.975057,0.160914,-0.152878,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.95613,-0.00161,0.22756
10,1.372953,0.022137,0.00000,0.00000,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.234072,0.092965,-0.200795,0.319917,0.322127,-0.179010,-0.287348,-0.867936,-0.405116,0.974878,0.112845,-0.192039,Swing,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-2.96236,0.00237,-0.19357
