frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,1.803253,0.066212,0.00000,0.00000,0.00000,0.14263,-0.00955,0,0,1,1,-0.075256,0.031131,0.205767,0.061113,-0.012197,-0.132304,0.017398,-0.752849,0.657964,0.245277,-0.957798,-0.149873,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.24983,0.00000,0.10430
1,1.825136,0.021882,0.00000,0.00000,0.00000,0.26263,-0.01347,0,1,1785933915,1,-0.074904,0.030889,0.205916,0.077808,-0.003030,-0.174683,0.017398,-0.752848,0.657965,0.248220,-0.933993,-0.256990,Swing,Capture,-1269438207,0.000000,Locomotion,DefaultContact,0.22536,-0.00054,0.19737
2,1.840347,0.015212,0.00000,0.00000,0.00000,0.31733,-0.01288,0,1,1785933915,1,-0.073422,0.032828,0.207834,0.072869,0.000129,-0.181884,0.024345,-0.750165,0.660803,0.243044,-0.931660,-0.270074,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.20224,-0.00084,0.20897
3,1.854732,0.014385,0.00000,0.00000,0.00000,0.35536,-0.01264,0,1,1785933915,1,-0.084866,0.027551,0.185424,0.071696,0.002376,-0.185657,-0.004080,-0.768482,0.639858,0.213834,-0.936695,-0.277270,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.15460,-0.00100,0.20530
4,1.868186,0.013454,0.00000,0.00000,0.00000,0.39132,-0.01362,0,1,1785933915,1,-0.094733,0.023070,0.161589,0.070286,0.005020,-0.189747,-0.031795,-0.784914,0.618788,0.189039,-0.939628,-0.285244,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.09838,-0.00110,0.19700
5,1.883817,0.015632,0.00000,0.00000,0.00000,0.42496,-0.01618,0,1,1785933915,1,-0.101848,0.018399,0.139498,0.069043,0.007867,-0.193272,-0.058906,-0.802294,0.594015,0.175162,-0.941744,-0.287117,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,0.01422,-0.00115,0.18715
6,1.903053,0.019236,0.00000,0.00000,0.00000,0.46404,-0.02150,0,1,1785933915,1,-0.107457,0.011524,0.115282,0.068247,0.010485,-0.197660,-0.090883,-0.825951,0.556368,0.159925,-0.942759,-0.292627,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.18293,-0.00116,0.17434
7,1.931107,0.028054,0.00000,0.00000,0.00000,0.51212,-0.03122,0,1,1785933915,1,-0.110773,0.002354,0.088305,0.067228,0.012837,-0.204931,-0.123467,-0.853886,0.505604,0.139679,-0.939998,-0.311276,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.45031,-0.00111,0.15787
8,1.946425,0.015318,0.00000,0.00000,0.00000,0.58226,-0.04872,0,1,1785933915,1,-0.110295,-0.012809,0.054257,0.065733,0.015950,-0.219143,-0.156699,-0.895001,0.417636,0.110382,-0.926643,-0.359373,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.71646,-0.00097,0.13646
9,1.961439,0.015014,0.00000,0.00000,0.00000,0.62056,-0.05782,0,1,1785933915,1,-0.108188,-0.020834,0.039093,0.065019,0.018087,-0.228035,-0.169681,-0.914895,0.366299,0.095497,-0.914793,-0.392471,Swing,Stance,-1269438207,0.000000,Locomotion,DefaultContact,-0.84036,-0.00087,0.12647
10,1.975090,0.013651,0.00000,0.00000,0.03754,0.00000,-0.06087,1,0,1785933915,1,-0.105684,-0.026158,0.027747,0.118796,0.017759,-0.123994,-0.175805,-0.933373,0.312901,0.312519,-0.946671,0.078400,Capture,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-0.99282,-0.00077,0.11704
11,1.987695,0.012605,0.00000,0.00000,0.07166,0.00000,-0.06198,1,0,1785933915,1,-0.103790,-0.029604,0.016054,0.124244,0.014630,-0.105810,-0.179230,-0.948655,0.260637,0.307665,-0.943325,0.124420,Stance,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.06182,-0.00068,0.10972
12,2.000714,0.013018,0.00000,0.00000,0.10318,0.00000,-0.06547,1,0,1785933915,1,-0.102295,-0.033339,0.004918,0.128295,0.010483,-0.088044,-0.180293,-0.960473,0.212099,0.301687,-0.938697,0.166830,Stance,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.10277,-0.00059,0.10386
13,2.014294,0.013580,0.00000,0.00000,0.13572,0.00000,-0.06993,1,0,1785933915,1,-0.101228,-0.036754,-0.006729,0.131704,0.005426,-0.068618,-0.180466,-0.969925,0.163335,0.294538,-0.932637,0.208414,Stance,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.20075,-0.00051,0.09757
14,2.026648,0.012354,0.00000,0.00000,0.16967,0.00000,-0.07460,1,0,1785933915,1,-0.100674,-0.039396,-0.019489,0.134598,-0.000916,-0.046685,-0.179901,-0.977082,0.113779,0.285132,-0.926112,0.247015,Stance,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.24567,-0.00043,0.09224
15,2.040822,0.014174,0.00000,0.00000,0.20056,0.00000,-0.07848,1,0,1785933915,1,-0.100223,-0.041045,-0.031731,0.136168,-0.005752,-0.026056,-0.178631,-0.981560,0.068055,0.275660,-0.918864,0.282312,Stance,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.26350,-0.00036,0.08807
16,2.055032,0.014210,0.00000,0.00000,0.23599,0.00000,-0.08240,1,0,1785933915,1,-0.100225,-0.041595,-0.046431,0.137202,-0.011640,-0.001779,-0.177730,-0.983952,0.015858,0.264436,-0.911649,0.314595,Stance,Swing,-1269438207,0.000000,Locomotion,DefaultContact,-1.33524,-0.00028,0.08265
