schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.035278,57.980110,-0.009233,0.000598,1.000000,-0.000159,0.068431,-0.010208,0.015853,0.000000,0.000000,1,0.000000,0.500000,-0.228386,56.411670,-0.151511,0.279082,56.425420,0.023046,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.232158,56.446540,-0.151664,0.277289,56.460320,0.020633,1785933915,1785933915,1,1,1.189574,0.241270,0.577915,0.680128,0.413568,0.591690,1.185502,0.241356,1.045933,0.678129,0.415938,0.900745,-0.228085,56.914560,-0.151579,0.279288,56.769370,0.023003,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449700,91.160680,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,3.821395,0,Walking Backwards,-0.138958,55.227290,5.837667,-0.002499,0.994471,0.104980,-0.005014,0.023717,0.205520,0.000000,0.000000,1,0.821395,0.321395,0.093680,54.314950,5.818811,-0.348545,54.222900,5.727551,-0.002499,0.994471,0.104980,-0.002499,0.994471,0.104980,0.088002,54.318430,5.805762,-0.347928,54.224810,5.687349,0,0,0,0,0.088002,54.318430,5.805762,-0.347928,54.224810,5.687349,0.093681,54.314950,5.818811,-0.348545,54.222900,5.727551,0.093681,54.314950,5.818811,-0.348545,54.222900,5.727551,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.711700,162.690800,122.804100,90.777340,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.037412,57.979310,-0.009173,0.000635,1.000000,-0.000159,0.070110,-0.007015,0.016770,0.000000,0.000000,1,0.000000,0.500000,-0.226309,56.411760,-0.151453,0.281159,56.425620,0.023104,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.230139,56.446630,-0.151639,0.277305,56.460190,0.019496,1785933915,1785933915,1,1,1.187556,0.241296,0.577999,0.680112,0.412431,0.591566,1.183407,0.241415,1.045128,0.676040,0.415997,0.899921,-0.225990,56.913760,-0.151520,0.281377,56.768550,0.023062,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449700,91.160640,NaN,NaN,0.000003,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,3.984554,0,Walking Backwards,-0.139645,55.227290,5.864573,-0.002511,0.994421,0.105458,-0.005060,0.023850,0.208427,0.000000,0.000000,1,0.984554,0.484554,0.085643,54.323970,5.874645,-0.344394,54.225960,5.730899,-0.002511,0.994421,0.105458,-0.002511,0.994421,0.105458,0.088389,54.319640,5.831957,-0.346861,54.224690,5.711982,0,0,0,0,0.088389,54.319640,5.831957,-0.346861,54.224690,5.711982,0.085643,54.323970,5.874645,-0.344394,54.225960,5.730899,0.085643,54.323970,5.874645,-0.344394,54.225960,5.730899,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.276800,162.858800,125.788800,90.717440,NaN,NaN,0.007734,0.005977,0.000000,0.000000,1.848750,0.174713,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.039601,57.978600,-0.009091,0.000672,1.000000,-0.000157,0.071815,-0.004395,0.017365,0.000000,0.000000,1,0.000000,0.500000,-0.224177,56.411850,-0.151372,0.283292,56.425830,0.023184,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.228069,56.446710,-0.151587,0.278345,56.460240,0.018949,1785933915,1785933915,1,1,1.185486,0.241348,0.578085,0.679072,0.411884,0.591613,1.181257,0.241496,1.044430,0.673896,0.416077,0.899204,-0.223841,56.913060,-0.151439,0.283522,56.767830,0.023143,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160700,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,4.146051,0,Walking Backwards,-0.140329,55.227300,5.891718,-0.002523,0.994369,0.105940,-0.005111,0.023999,0.211385,0.000000,0.000000,1,0.146051,0.646051,0.084860,54.321050,5.942752,-0.348581,54.228760,5.735761,-0.002523,0.994369,0.105940,-0.002523,0.994369,0.105940,0.086814,54.320890,5.878185,-0.346966,54.226250,5.725109,0,0,0,0,0.086814,54.320890,5.878185,-0.346966,54.226250,5.725109,0.084860,54.321050,5.942752,-0.348581,54.228760,5.735761,0.084860,54.321050,5.942752,-0.348581,54.228760,5.735761,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.083900,162.081600,128.243800,90.840640,NaN,NaN,0.010185,0.005606,0.000000,0.000000,1.292406,0.419181,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.041848,57.977970,-0.008993,0.000711,1.000000,-0.000156,0.073610,-0.002018,0.017773,0.000000,0.000000,1,0.000000,0.500000,-0.221990,56.411940,-0.151278,0.285480,56.426040,0.023279,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.225946,56.446800,-0.151515,0.280032,56.460390,0.018768,1785933915,1785933915,1,1,1.183363,0.241420,0.578173,0.677385,0.411703,0.591757,1.179052,0.241591,1.043789,0.671695,0.416173,0.898541,-0.221635,56.912420,-0.151344,0.285722,56.767170,0.023238,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449600,91.160680,NaN,NaN,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,4.305860,0,Walking Backwards,-0.141013,55.227320,5.919101,-0.002535,0.994317,0.106426,-0.005168,0.024157,0.214408,0.000000,0.000000,1,0.305860,0.805860,0.080967,54.316760,5.957989,-0.352139,54.228680,5.738498,-0.002535,0.994317,0.106426,-0.002535,0.994317,0.106426,0.084403,54.319640,5.919130,-0.348966,54.227590,5.732433,0,0,0,0,0.084403,54.319640,5.919130,-0.348966,54.227590,5.732433,0.080967,54.316760,5.957989,-0.352139,54.228680,5.738498,0.080967,54.316760,5.957989,-0.352139,54.228680,5.738498,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.555200,163.457400,124.193100,88.825880,NaN,NaN,0.003270,0.006115,0.000000,0.000000,2.186059,1.069726,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.044154,57.977400,-0.008885,0.000750,1.000000,-0.000154,0.075453,0.000200,0.018135,0.000000,0.000000,1,0.000000,0.500000,-0.219745,56.412030,-0.151172,0.287724,56.426260,0.023384,-0.041233,0.999141,-0.004026,-0.091435,0.987216,-0.130557,-0.223767,56.446890,-0.151425,0.282042,56.460580,0.018758,1785933915,1785933915,1,1,1.181184,0.241509,0.578263,0.675375,0.411693,0.591946,1.176788,0.241698,1.043255,0.669438,0.416279,0.897987,-0.219371,56.911880,-0.151237,0.287980,56.766620,0.023344,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449700,91.160680,NaN,NaN,0.000004,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,4.463968,0,Walking Backwards,-0.141698,55.227330,5.946725,-0.002547,0.994265,0.106917,-0.005228,0.024324,0.217473,0.000000,0.000000,1,0.463968,0.963968,0.076802,54.316880,5.963821,-0.353021,54.231460,5.791080,-0.002547,0.994265,0.106917,-0.002547,0.994265,0.106917,0.081098,54.318150,5.943828,-0.350999,54.229180,5.753778,0,0,0,0,0.081098,54.318150,5.943828,-0.350999,54.229180,5.753778,0.076802,54.316880,5.963821,-0.353021,54.231460,5.791080,0.076802,54.316880,5.963821,-0.353021,54.231460,5.791080,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.898000,162.857500,124.124400,90.820200,NaN,NaN,0.005437,0.006249,0.000000,0.000000,0.088469,1.135911,0.000000,0,0,none,0,0,0,DefaultContact
