frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
0,3.584502,0.025806,0.92164,0.82102,0.00000,0.00000,0.00000,0.00000,0,0,1,591918,1,-0.111295,0.063061,-0.054327,0.097188,0.006656,0.009129,0.000000,0.000000,-0.275069,-0.896857,0.346389,0.186647,-0.973890,0.129235,Swing,Swing,0.000000,0.000000
1,3.639028,0.021943,1.94037,0.91125,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.112177,0.063082,-0.052671,0.097267,0.006643,0.007519,0.000000,0.000000,-0.269742,-0.896892,0.350463,0.173990,-0.974366,0.142614,Swing,Swing,0.000000,0.000000
2,3.691840,0.029767,2.94679,1.00300,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.111565,0.063057,-0.053735,0.097198,0.006651,0.008746,0.000000,0.000000,-0.273461,-0.896799,0.347808,0.165075,-0.971060,0.172605,Swing,Swing,0.000000,0.000000
3,3.728026,0.015615,3.43470,1.05494,0.00000,0.00000,0.00000,0.00000,0,0,1,1785933915,1,-0.111225,0.063040,-0.054305,0.097136,0.006652,0.009516,0.000000,0.000000,-0.275666,-0.896691,0.346344,0.168629,-0.961949,0.214986,Swing,Swing,0.000000,0.000000
4,3.765470,0.017591,3.39302,1.07178,0.09852,0.00000,0.19705,-0.00423,0,1,1,1785933915,1,-0.110992,0.063022,-0.054637,0.097088,0.006654,0.010121,0.000000,0.567234,-0.277208,-0.896561,0.345447,0.178947,-0.950690,0.253311,Swing,Stance,0.000000,0.000000
5,3.796956,0.016752,3.18764,1.07017,0.00873,0.00000,0.01747,-0.00702,0,0,1,1785933915,1,-0.080928,0.011729,-0.126616,0.108252,0.013633,0.122853,0.000000,0.000000,-0.165430,-0.979708,-0.113165,0.188595,-0.891688,0.411490,Swing,Swing,0.000000,0.105266
6,3.831498,0.016471,2.97720,1.06487,0.00000,0.00000,0.00000,-0.00577,0,0,1,1785933915,1,-0.073956,0.004063,-0.139390,0.107794,0.016887,0.144441,0.000000,0.000000,-0.138230,-0.971262,-0.193757,0.169036,-0.829924,0.531651,Swing,Swing,0.000000,0.070443
7,3.866178,0.017455,2.91955,1.06587,0.00000,0.00000,0.00000,-0.00378,0,0,1,1785933915,1,-0.072767,0.004028,-0.139885,0.106534,0.016924,0.145500,0.000000,0.000000,-0.136585,-0.971311,-0.194678,0.148346,-0.818481,0.555052,Swing,Swing,0.000000,0.036746
8,3.897136,0.014887,2.88891,1.06730,0.00000,0.00000,0.00000,-0.00225,0,0,1,591918,1,-0.060408,0.010577,-0.222760,0.097719,0.009617,0.196959,0.000000,0.000000,-0.129554,-0.938609,-0.319734,0.145951,-0.803467,0.577182,Swing,Swing,0.000000,0.003220
9,3.932732,0.014797,2.95952,1.07291,0.00000,0.00000,0.00000,-0.00121,0,0,1,591918,1,-0.056157,0.013105,-0.236034,0.093910,0.008733,0.206539,0.000000,0.000000,-0.124517,-0.931773,-0.341019,0.146301,-0.665617,0.731813,Swing,Swing,0.000000,0.000000
