frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime,authoredAction,footPolicy,bodyPitch,bodyYaw,bodyRoll
0,1.240174,0.117931,0.71170,0.92122,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108387,0.065437,-0.058714,0.100922,0.005569,0.013221,-0.270954,-0.899671,0.342309,0.173015,-0.977242,0.122739,Stance,Stance,-1269438207,10.184810,HitRecoil,DefaultContact,2.15988,0.04230,-0.06810
1,1.268400,0.028226,0.90193,0.90543,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.109166,0.062430,-0.051261,0.100092,0.005261,0.008294,-0.269857,-0.895682,0.353456,0.171857,-0.979082,0.108918,Swing,Swing,-1269438207,0.014582,Locomotion,DefaultContact,0.71129,0.02303,0.04482
2,1.284774,0.016374,1.00801,0.89998,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112175,0.047451,-0.016673,0.096997,0.004318,-0.013013,-0.261116,-0.882925,0.390207,0.168475,-0.984501,0.048720,Swing,Swing,-1269438207,0.067352,Locomotion,DefaultContact,-0.01950,0.01359,0.07331
3,1.304447,0.019673,1.13794,0.89746,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.113756,0.037731,0.006778,0.095667,0.003879,-0.028152,-0.253820,-0.878279,0.405218,0.168596,-0.985655,0.007671,Swing,Swing,-1269438207,0.094776,Locomotion,DefaultContact,-0.36001,0.00892,0.07644
4,1.326460,0.022013,1.28873,0.89871,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.115769,0.027559,0.037812,0.093849,0.003087,-0.047982,-0.245612,-0.872152,0.423114,0.168143,-0.984836,-0.042733,Swing,Swing,-1269438207,0.124090,Locomotion,DefaultContact,-0.72630,0.00399,0.07486
5,1.347129,0.020669,1.43493,0.90241,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.118534,0.019791,0.073845,0.091923,0.001744,-0.071558,-0.235319,-0.862359,0.448287,0.167802,-0.981028,-0.097095,Swing,Swing,-1269438207,0.153281,Locomotion,DefaultContact,-1.03714,-0.00081,0.06952
6,1.364697,0.017568,1.56231,0.90679,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.120524,0.017275,0.109073,0.089475,0.000125,-0.096251,-0.224513,-0.841450,0.491483,0.166255,-0.974736,-0.149163,Swing,Swing,-1269438207,0.178124,Locomotion,DefaultContact,-1.24960,-0.00478,0.06358
7,1.382235,0.017538,1.69247,0.91194,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.120431,0.016411,0.135124,0.086568,-0.001080,-0.118818,-0.214474,-0.820002,0.530657,0.163188,-0.966869,-0.196301,Swing,Swing,-1269438207,0.197683,Locomotion,DefaultContact,-1.39702,-0.00784,0.05891
8,1.403758,0.021524,1.85445,0.91889,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.118283,0.014400,0.158055,0.082582,-0.002417,-0.142348,-0.205161,-0.798659,0.565732,0.157592,-0.956457,-0.245673,Swing,Swing,-1269438207,0.215866,Locomotion,DefaultContact,-1.51675,-0.01071,0.05490
9,1.427927,0.024168,2.03033,0.92668,0.05381,0.00000,-0.00629,1,0,1785933915,1,-0.114127,0.003974,0.172063,0.077121,-0.003828,-0.171600,-0.195175,-0.791460,0.579222,0.150763,-0.939756,-0.306804,Capture,Swing,-1269438207,0.236456,Locomotion,DefaultContact,-1.58411,-0.01410,0.05022
10,1.445306,0.017380,2.14745,0.93187,0.11423,0.00000,-0.02061,1,0,1785933915,1,-0.110322,-0.010737,0.158820,0.071789,0.004955,-0.199503,-0.192299,-0.817354,0.543096,0.145359,-0.919666,-0.364808,Stance,Swing,-1269438207,0.258130,Locomotion,DefaultContact,-1.50217,-0.01780,0.04620
11,1.461667,0.016361,2.24884,0.93631,0.15768,0.00000,-0.03173,1,0,1785933915,1,-0.112086,-0.022596,0.123923,0.071557,0.010208,-0.208112,-0.200407,-0.851769,0.484073,0.145740,-0.912644,-0.381890,Stance,Swing,-1269438207,0.273803,Locomotion,DefaultContact,-1.37050,-0.02040,0.04617
