schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,5,0.166667,0.033333,-1269438207,28.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.197445,56.412980,-0.144878,0.310687,56.995130,0.029668,-0.041233,0.999141,-0.004026,-0.182924,0.271367,-0.944933,-0.202842,56.447780,-0.145913,0.302257,57.005730,-0.002836,1785933915,4268402,1,1,1.160258,0.247022,0.579148,-0.036464,0.118235,-0.190958,1.154314,0.248049,1.018719,-0.005414,-0.126496,-0.091471,-0.196897,56.887350,-0.144886,0.310394,56.741860,0.029679,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160670,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,5,0.166667,0.033333,-1269438207,6.211513,0,Walking Backwards,0.211513,0.711513,0.101486,54.317460,6.012004,-0.334584,54.229490,5.791923,-0.002253,0.994228,0.107268,-0.002253,0.994228,0.107268,0.102683,54.320520,5.954007,-0.331120,54.226750,5.785304,0,0,0,0,0.102683,54.320520,5.954007,-0.331120,54.226750,5.785304,0.101486,54.317460,6.012004,-0.334584,54.229490,5.791923,0.101486,54.317460,6.012004,-0.334584,54.229490,5.791923,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.982500,162.383800,127.595000,90.925980,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,6,0.200000,0.033333,-1269438207,29.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.193841,56.413130,-0.144035,0.314316,56.997700,0.030516,-0.041233,0.999141,-0.004026,-0.169898,0.272107,-0.947150,-0.199389,56.447930,-0.145124,0.306110,57.006060,-0.002241,1785933915,4268402,1,1,1.156806,0.247811,0.579294,-0.034632,0.118500,-0.191403,1.150693,0.248896,1.017956,-0.002791,-0.126950,-0.090940,-0.193276,56.886590,-0.144039,0.314010,56.741070,0.030524,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652300,163.769800,128.449600,91.160680,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,6,0.200000,0.033333,-1269438207,6.366546,0,Walking Backwards,0.366546,0.866546,0.095396,54.318860,6.019332,-0.336370,54.229440,5.806484,-0.002259,0.994195,0.107568,-0.002259,0.994195,0.107568,0.099895,54.319500,5.989251,-0.333543,54.228260,5.794283,0,0,0,0,0.099895,54.319500,5.989251,-0.333543,54.228260,5.794283,0.095396,54.318860,6.019332,-0.336370,54.229440,5.806484,0.095396,54.318860,6.019332,-0.336370,54.229440,5.806484,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.136700,164.095900,124.074000,88.076640,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,7,0.233333,0.033333,-1269438207,29.969750,0,XBot Walk Neutral,0.969746,0.469746,-0.190193,56.413280,-0.142977,0.317946,56.997290,0.031217,-0.041233,0.999141,-0.004026,-0.163333,0.274277,-0.947678,-0.195837,56.448070,-0.144232,0.310046,57.006600,-0.001645,1785933915,4268402,1,1,1.153254,0.248703,0.579444,-0.032794,0.119041,-0.191807,1.147009,0.249963,1.017502,-0.000204,-0.127293,-0.090524,-0.189592,56.886130,-0.142972,0.317620,56.740390,0.031221,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.615600,163.774800,128.450100,91.167780,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,7,0.233333,0.033333,-1269438207,6.519968,0,Walking Backwards,0.519968,0.019968,0.093970,54.317930,6.026745,-0.336566,54.230540,5.880382,-0.002270,0.994130,0.108171,-0.002270,0.994130,0.108171,0.096958,54.318780,6.009665,-0.335213,54.229340,5.825966,0,0,0,0,0.096958,54.318780,6.009665,-0.335213,54.229340,5.825966,0.093970,54.317930,6.026745,-0.336566,54.230540,5.880382,0.093970,54.317930,6.026745,-0.336566,54.230540,5.880382,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.810300,161.853800,124.097900,92.534060,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,8,0.266667,0.033333,-1269438207,30.884090,0,XBot Walk Neutral,0.884092,0.384092,-0.186436,56.413440,-0.141644,0.321614,56.998140,0.031774,-0.041233,0.999141,-0.004026,-0.156169,0.278164,-0.947753,-0.192193,56.448230,-0.143156,0.313996,57.007160,-0.001116,1785933915,4268402,1,1,1.149609,0.249779,0.579598,-0.030992,0.119640,-0.192175,1.143216,0.251305,1.017300,0.002426,-0.127587,-0.090148,-0.185798,56.885930,-0.141630,0.321265,56.739750,0.031773,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.536200,163.787100,128.451000,91.181990,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,8,0.266667,0.033333,-1269438207,6.671719,0,Walking Backwards,0.671719,0.171719,0.101252,54.320720,6.032475,-0.335470,54.221580,5.949923,-0.002282,0.994063,0.108779,-0.002282,0.994063,0.108779,0.097682,54.319240,6.021804,-0.335632,54.227140,5.875916,0,0,0,0,0.097682,54.319240,6.021804,-0.335632,54.227140,5.875916,0.101252,54.320720,6.032475,-0.335470,54.221580,5.949923,0.101252,54.320720,6.032475,-0.335470,54.221580,5.949923,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.916600,162.428300,124.214900,94.224400,NaN,NaN,0,0,none,1,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,9,0.300000,0.033333,-1269438207,31.744860,0,XBot Walk Neutral,0.744856,0.244856,-0.182492,56.413610,-0.140325,0.325466,57.001530,0.032491,-0.041233,0.999141,-0.004026,-0.142401,0.277900,-0.949997,-0.188422,56.448390,-0.141943,0.318009,57.008790,-0.000939,1785933915,4268402,1,1,1.145838,0.250992,0.579758,-0.029157,0.121286,-0.192571,1.139253,0.252628,1.017048,0.005640,-0.127494,-0.088764,-0.181835,56.885680,-0.140307,0.325101,56.739140,0.032487,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.471300,163.801300,128.451800,91.190020,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,9,0.300000,0.033333,-1269438207,6.821816,0,Walking Backwards,0.821816,0.321816,0.107580,54.313610,6.048778,-0.336798,54.222810,5.965570,-0.002288,0.994030,0.109086,-0.002288,0.994030,0.109086,0.101629,54.317610,6.033619,-0.336150,54.225020,5.921091,0,0,0,0,0.101629,54.317610,6.033619,-0.336150,54.225020,5.921091,0.107580,54.313610,6.048778,-0.336798,54.222810,5.965570,0.107580,54.313610,6.048778,-0.336798,54.222810,5.965570,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.122500,162.542900,122.259700,90.932400,NaN,NaN,0,0,none,1,0,0,DefaultContact
