schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,5,0.166667,0.033333,-1269438207,28.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.201521,56.412810,-0.144681,0.306569,56.997140,0.029867,-0.041233,0.999141,-0.004026,-0.184994,0.272608,-0.944173,-0.206668,56.447620,-0.145713,0.298230,57.007710,-0.002730,1785933915,4206686,1,1,1.164085,0.247221,0.578991,-0.036821,0.120066,-0.190988,-0.201009,56.887110,-0.144687,0.306294,56.741660,0.029877,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652200,163.769700,128.449700,91.160690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,5,0.166667,0.033333,-1269438207,17.260400,0,XBot Walk Neutral,0.260405,0.760405,-0.090072,54.865890,5.073019,-0.513791,54.876290,4.933426,-0.001635,0.995751,0.092069,-0.009325,0.995940,0.089536,-0.087308,54.900720,5.076491,-0.511365,54.911110,4.937234,4206996,4206996,1,1,-0.087308,54.900720,5.076491,-0.511365,54.911110,4.937234,-0.091135,55.051770,5.089791,-0.514148,54.938750,4.939063,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588100,163.798700,128.828500,91.562910,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,6,0.200000,0.033333,-1269438207,29.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.198144,56.412950,-0.143823,0.309971,56.999540,0.030730,-0.041233,0.999141,-0.004026,-0.172747,0.273537,-0.946222,-0.203433,56.447760,-0.144920,0.301857,57.008060,-0.002013,1785933915,4206686,1,1,1.160850,0.248015,0.579127,-0.035139,0.120327,-0.191377,-0.197616,56.886370,-0.143825,0.309682,56.740900,0.030738,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769800,128.449600,91.160680,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,6,0.200000,0.033333,-1269438207,18.260400,0,XBot Walk Neutral,0.260403,0.760403,-0.091132,54.865830,5.073653,-0.515051,54.876120,4.935168,-0.001654,0.995750,0.092081,-0.009348,0.995937,0.089567,-0.089254,54.900710,5.076572,-0.513341,54.911080,4.937456,4206996,4206996,1,1,-0.089254,54.900710,5.076572,-0.513341,54.911080,4.937456,-0.092201,55.052070,5.090459,-0.515408,54.938380,4.940786,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588100,163.798900,128.795700,91.527500,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,7,0.233333,0.033333,-1269438207,30.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.194718,56.413090,-0.142946,0.313438,56.999620,0.031617,-0.041233,0.999141,-0.004026,-0.166627,0.275804,-0.946662,-0.200102,56.447900,-0.144085,0.305562,57.008720,-0.001312,1785933915,4206686,1,1,1.157519,0.248850,0.579267,-0.033443,0.120962,-0.191747,-0.194157,56.885750,-0.142940,0.313130,56.740230,0.031620,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,7,0.233333,0.033333,-1269438207,19.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.093751,54.865860,5.073311,-0.517581,54.876170,4.934318,-0.001701,0.995751,0.092075,-0.009393,0.995938,0.089552,-0.091261,54.900700,5.076613,-0.515370,54.911050,4.937605,4206996,4206996,1,1,-0.091261,54.900700,5.076613,-0.515370,54.911050,4.937605,-0.094828,55.051910,5.090099,-0.517942,54.938520,4.939944,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588000,163.798800,128.762800,91.492070,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,8,0.266667,0.033333,-1269438207,30.969750,0,XBot Walk Neutral,0.969746,0.469746,-0.191195,56.413250,-0.141837,0.316944,56.999640,0.032372,-0.041233,0.999141,-0.004026,-0.160744,0.277852,-0.947080,-0.196684,56.448040,-0.143147,0.309296,57.009120,-0.000630,1785933915,4206686,1,1,1.154101,0.249788,0.579413,-0.031740,0.121403,-0.191976,-0.190599,56.885370,-0.141821,0.316616,56.739630,0.032370,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.615800,163.774800,128.450100,91.167750,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,8,0.266667,0.033333,-1269438207,20.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.096391,54.865890,5.072968,-0.520129,54.876220,4.933461,-0.001749,0.995751,0.092068,-0.009440,0.995939,0.089537,-0.093581,54.900710,5.076462,-0.517657,54.911050,4.937254,4206996,4206996,1,1,-0.093581,54.900710,5.076462,-0.517657,54.911050,4.937254,-0.097475,55.051780,5.089742,-0.520493,54.938670,4.939096,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588200,163.798900,128.827900,91.562750,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,9,0.300000,0.033333,-1269438207,31.884090,0,XBot Walk Neutral,0.884092,0.384092,-0.187497,56.413400,-0.140431,0.320528,57.001540,0.032996,-0.041233,0.999141,-0.004026,-0.147937,0.278233,-0.949053,-0.193148,56.448190,-0.142016,0.313162,57.009940,-0.000018,1785933915,4206686,1,1,1.150564,0.250919,0.579563,-0.030006,0.122291,-0.192328,-0.186884,56.885200,-0.140411,0.320186,56.739040,0.032991,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.536300,163.787100,128.451000,91.181960,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,9,0.300000,0.033333,-1269438207,21.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.097472,54.865830,5.073587,-0.521414,54.876060,4.935206,-0.001769,0.995750,0.092080,-0.009463,0.995936,0.089568,-0.095562,54.900710,5.076524,-0.519670,54.911010,4.937488,4206996,4206996,1,1,-0.095562,54.900710,5.076524,-0.519670,54.911010,4.937488,-0.098563,55.052090,5.090394,-0.521779,54.938300,4.940823,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588100,163.798800,128.795000,91.527280,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,10,0.333333,0.033333,-1269438207,32.744850,0,XBot Walk Neutral,0.744854,0.244854,-0.183744,56.413560,-0.139114,0.324208,57.001600,0.033717,-0.041233,0.999141,-0.004026,-0.142024,0.280023,-0.949429,-0.189503,56.448350,-0.140763,0.317112,57.010730,0.000599,1785933915,4206686,1,1,1.146919,0.252172,0.579719,-0.028256,0.123175,-0.192641,-0.183093,56.885080,-0.139084,0.323845,56.738540,0.033707,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.471100,163.801300,128.451800,91.189960,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,10,0.333333,0.033333,-1269438207,22.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.100142,54.865850,5.073247,-0.523993,54.876110,4.934349,-0.001817,0.995751,0.092073,-0.009510,0.995937,0.089553,-0.097607,54.900700,5.076555,-0.521738,54.910980,4.937638,4206996,4206996,1,1,-0.097607,54.900700,5.076555,-0.521738,54.910980,4.937638,-0.101241,55.051930,5.090037,-0.524361,54.938440,4.939973,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.587800,163.798900,128.762200,91.491880,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,11,0.366667,0.033333,-1269438207,33.562380,0,XBot Walk Neutral,0.562382,0.062382,-0.179868,56.413730,-0.138154,0.328124,57.003250,0.034811,-0.041233,0.999141,-0.004026,-0.136468,0.281668,-0.949758,-0.185753,56.448510,-0.139587,0.321149,57.011710,0.001354,1785933915,4206686,1,1,1.143170,0.253347,0.579878,-0.026516,0.124326,-0.192827,-0.179179,56.884680,-0.138115,0.327736,56.738100,0.034796,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.475300,163.809200,128.451700,91.181300,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,11,0.366667,0.033333,-1269438207,23.260400,0,XBot Walk Neutral,0.260401,0.760401,-0.102834,54.865880,5.072908,-0.526592,54.876160,4.933488,-0.001866,0.995751,0.092067,-0.009557,0.995938,0.089537,-0.099972,54.900710,5.076402,-0.524069,54.910990,4.937286,4206996,4206996,1,1,-0.099972,54.900710,5.076402,-0.524069,54.910990,4.937286,-0.103941,55.051780,5.089683,-0.526964,54.938590,4.939121,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.588100,163.798700,128.827100,91.562560,NaN,NaN,0,0,none,0,0,0,DefaultContact
