frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
0,3.481841,0.017356,0.66609,0.80388,0.50000,0.50000,0.50000,-0.08000,0,0,1,0,0,-0.010970,-0.013755,0.249098,-0.023398,0.162332,0.406553,0.000000,0.000000,0.177943,-0.857117,0.483411,0.074564,-0.080128,0.993992,Swing,Swing,0.000000,0.000000
1,3.515738,0.014045,1.20336,0.85051,0.25000,0.50000,0.00000,-0.08000,0,0,1,0,0,-0.102876,-0.003601,0.169525,0.228279,0.018163,0.036464,0.000000,0.000000,-0.121062,-0.850935,0.511130,0.646619,-0.706168,0.288464,Swing,Swing,0.000000,0.000000
2,3.547921,0.017342,1.74149,0.90052,0.41000,0.82000,0.00000,-0.08000,0,0,1,0,0,-0.157218,0.005289,0.128378,0.166905,-0.021782,-0.072023,0.000000,0.000000,-0.216487,-0.769715,0.600560,0.426377,-0.904105,0.028210,Swing,Swing,0.000000,0.000000
3,3.578128,0.015139,2.28351,0.94967,0.42398,0.82000,0.02796,-0.08000,0,0,1,0,0,-0.169434,0.023818,0.035549,0.110065,-0.023331,0.012719,0.000000,0.000000,-0.384966,-0.752973,0.533698,0.192808,-0.961479,0.195918,Swing,Swing,0.000000,0.000000
4,3.610487,0.015674,2.81214,0.99981,0.56160,0.54000,0.58321,-0.07932,0,1,1,0,0,-0.177079,0.032058,-0.045243,-0.080928,0.183315,0.263242,0.000000,0.462707,-0.503518,-0.738151,0.449002,-0.342911,-0.501485,0.794308,Swing,Stance,0.000000,0.000000
5,3.644284,0.018638,3.06640,1.03418,0.56354,0.12708,1.00000,-0.07020,0,1,1,0,0,-0.160000,0.023324,-0.123660,-0.275401,0.434345,-0.210784,0.000000,0.433678,-0.597622,-0.734392,0.321740,-0.743041,-0.178691,-0.644949,Swing,Stance,0.000000,0.000000
6,3.690747,0.017984,2.93659,1.04587,0.71355,0.42710,1.00000,-0.04143,0,1,1,0,0,-0.140169,0.027884,-0.125580,0.164294,-0.009823,-0.247520,0.000000,0.353655,-0.373244,-0.903911,0.208890,0.241213,-0.847115,-0.473511,Swing,Stance,0.091521,0.000000
7,3.724058,0.017409,2.80060,1.04667,0.91000,0.82000,1.00000,-0.02461,0,1,1,0,0,-0.127053,0.017535,-0.169908,0.234927,-0.054597,-0.312581,0.000000,0.294945,-0.380499,-0.910490,0.161955,0.331367,-0.764238,-0.553296,Swing,Stance,0.057635,0.000000
8,3.757101,0.016170,2.71530,1.04770,0.77000,0.54000,1.00000,-0.01367,0,1,1,0,0,-0.124395,0.014441,-0.157886,0.168467,-0.000873,-0.243093,0.000000,0.248538,-0.305296,-0.951440,-0.039460,0.249710,-0.839559,-0.482478,Swing,Stance,0.023353,0.000000
9,3.788300,0.015888,2.73480,1.05214,0.76918,0.53837,1.00000,-0.00769,0,1,1,0,0,-0.116907,0.025225,-0.197676,0.159715,0.032013,-0.301942,0.000000,0.223369,-0.279483,-0.957127,-0.076143,0.220077,-0.761841,-0.609232,Swing,Stance,0.120000,0.000000
