schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,23.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.217220,56.412140,-0.148668,0.290701,56.991640,0.025839,-0.041233,0.999141,-0.004026,-0.241239,0.260878,-0.934744,-0.221859,56.446980,-0.149391,0.281310,57.003970,-0.006053,1785933915,4299262,1,1,1.179276,0.243544,0.578348,-0.047839,0.117022,-0.188465,1.174256,0.244227,1.021278,-0.020428,-0.124845,-0.092938,-0.216839,56.889910,-0.148708,0.290504,56.744610,0.025866,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160650,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,4.568273,0,Walking Backwards,0.568273,0.068273,0.095158,54.320420,5.856258,-0.336489,54.228260,5.730498,-0.002264,0.994443,0.105255,-0.002264,0.994443,0.105255,0.095602,54.319760,5.841328,-0.335672,54.229260,5.670609,0,0,0,0,0.095602,54.319760,5.841328,-0.335672,54.229260,5.670609,0.095158,54.320420,5.856258,-0.336489,54.228260,5.730498,0.095158,54.320420,5.856258,-0.336489,54.228260,5.730498,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.169600,161.832100,124.344100,93.143420,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,24.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.214321,56.412270,-0.148055,0.293618,56.991640,0.026455,-0.041233,0.999141,-0.004026,-0.229681,0.263048,-0.937045,-0.219073,56.447090,-0.148858,0.284094,57.002490,-0.005058,1785933915,4299262,1,1,1.176489,0.244077,0.578466,-0.046653,0.115143,-0.188887,1.171344,0.244842,1.019615,-0.018314,-0.126582,-0.092874,-0.213927,56.888240,-0.148093,0.293412,56.742930,0.026481,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651900,163.769700,128.449600,91.160660,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,4.730753,0,Walking Backwards,0.730753,0.230753,0.103972,54.319580,5.862883,-0.336144,54.220660,5.780900,-0.002271,0.994412,0.105542,-0.002271,0.994412,0.105542,0.098204,54.319800,5.852462,-0.336052,54.226210,5.720219,0,0,0,0,0.098204,54.319800,5.852462,-0.336052,54.226210,5.720219,0.103972,54.319580,5.862883,-0.336144,54.220660,5.780900,0.103972,54.319580,5.862883,-0.336144,54.220660,5.780900,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.028500,163.089500,124.617700,93.249570,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,25.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.211383,56.412390,-0.147381,0.296588,56.987660,0.027138,-0.041233,0.999141,-0.004026,-0.222583,0.267292,-0.937556,-0.216210,56.447220,-0.148258,0.287174,57.000430,-0.004358,1785933915,4299262,1,1,1.173627,0.244676,0.578586,-0.045143,0.112700,-0.189340,1.168378,0.245523,1.018265,-0.016174,-0.127996,-0.092760,-0.210961,56.886890,-0.147412,0.296369,56.741540,0.027160,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.651800,163.769800,128.449600,91.160720,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,4.891551,0,Walking Backwards,0.891552,0.391552,0.102583,54.315270,5.887067,-0.334994,54.225830,5.783282,-0.002284,0.994351,0.106122,-0.002284,0.994351,0.106122,0.100798,54.318240,5.866719,-0.335743,54.224960,5.755232,0,0,0,0,0.100798,54.318240,5.866719,-0.335743,54.224960,5.755232,0.102583,54.315270,5.887067,-0.334994,54.225830,5.783282,0.102583,54.315270,5.887067,-0.334994,54.225830,5.783282,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,120.079200,162.492800,122.569200,90.728570,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,26.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.208366,56.412520,-0.146649,0.299639,56.985020,0.027878,-0.041233,0.999141,-0.004026,-0.215771,0.271034,-0.938074,-0.213278,56.447340,-0.147597,0.290371,56.997880,-0.003811,1785933915,4299262,1,1,1.170694,0.245338,0.578710,-0.043472,0.109836,-0.189614,1.165332,0.246262,1.017075,-0.013964,-0.129172,-0.092517,-0.207915,56.885700,-0.146673,0.299405,56.740320,0.027896,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652000,163.769700,128.449600,91.160680,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,5.050611,0,Walking Backwards,0.050612,0.550612,0.096245,54.326290,5.961945,-0.332991,54.227690,5.789242,-0.002297,0.994288,0.106707,-0.002297,0.994288,0.106707,0.099771,54.320350,5.903201,-0.334673,54.225900,5.774140,0,0,0,0,0.099771,54.320350,5.903201,-0.334673,54.225900,5.774140,0.096245,54.326290,5.961945,-0.332991,54.227690,5.789242,0.096245,54.326290,5.961945,-0.332991,54.227690,5.789242,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,117.855300,162.500500,127.386900,90.776890,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,27.000000,0,XBot Walk Neutral,0.000000,0.500000,-0.205218,56.412650,-0.145861,0.302808,56.986760,0.028671,-0.041233,0.999141,-0.004026,-0.203940,0.272442,-0.940311,-0.210253,56.447470,-0.146877,0.293726,56.996720,-0.003312,1785933915,4299262,1,1,1.167670,0.246058,0.578839,-0.041767,0.108423,-0.190105,1.162170,0.247054,1.016003,-0.011649,-0.130113,-0.092152,-0.204752,56.884630,-0.145881,0.302564,56.739230,0.028687,0.000000,0.000000,0,0,Stance,Stance,0.000000,116.652100,163.769700,128.449600,91.160690,NaN,NaN,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,5.207957,0,Walking Backwards,0.207957,0.707957,0.097515,54.317670,6.012239,-0.338881,54.230020,5.792931,-0.002303,0.994256,0.107002,-0.002303,0.994256,0.107002,0.098378,54.320550,5.952225,-0.335736,54.227650,5.784486,0,0,0,0,0.098378,54.320550,5.952225,-0.335736,54.227650,5.784486,0.097515,54.317670,6.012239,-0.338881,54.230020,5.792931,0.097515,54.317670,6.012239,-0.338881,54.230020,5.792931,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.948800,162.347100,127.694400,90.898930,NaN,NaN,0,0,none,0,0,0,DefaultContact
