frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime
0,0.896367,0.095471,0.68428,0.93328,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.107864,0.065234,-0.058743,0.101374,0.005682,0.013728,-0.270649,-0.899838,0.342113,0.173877,-0.976951,0.123831,Stance,Stance,-1269438207,10.127260
1,0.918468,0.022101,0.83337,0.91830,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108935,0.063292,-0.053578,0.100363,0.005344,0.009812,-0.270178,-0.896987,0.349883,0.172265,-0.978524,0.113208,Swing,Swing,-1269438207,0.010544
2,0.935641,0.017173,0.95253,0.91114,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.111403,0.051770,-0.026461,0.097693,0.004541,-0.007078,-0.263975,-0.885621,0.382089,0.168928,-0.983461,0.065324,Swing,Swing,-1269438207,0.055642
3,0.953258,0.017617,1.08788,0.90855,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.113177,0.041153,-0.002253,0.096225,0.004039,-0.022314,-0.256498,-0.880213,0.399292,0.168730,-0.985386,0.023358,Swing,Swing,-1269438207,0.086347
4,0.973020,0.019762,1.25477,0.91123,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.115017,0.030996,0.026206,0.094529,0.003411,-0.040645,-0.248641,-0.874484,0.416480,0.168390,-0.985416,-0.024516,Swing,Swing,-1269438207,0.114074
5,0.991138,0.018118,1.41595,0.91811,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.117360,0.022001,0.061346,0.092438,0.002401,-0.063159,-0.238908,-0.866894,0.437513,0.167451,-0.982695,-0.079187,Swing,Swing,-1269438207,0.141329
6,1.008593,0.017455,1.57712,0.92780,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.119205,0.018208,0.097754,0.090167,0.001143,-0.086154,-0.228649,-0.850934,0.472896,0.166020,-0.977502,-0.130105,Swing,Swing,-1269438207,0.163768
7,1.038335,0.029741,1.85482,0.94846,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.119699,0.018148,0.131981,0.087017,0.000009,-0.110602,-0.216969,-0.827565,0.517745,0.162720,-0.969715,-0.182139,Swing,Swing,-1269438207,0.183473
8,1.057992,0.019658,2.02414,0.96304,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.114968,0.018970,0.181004,0.078968,-0.001083,-0.154270,-0.196065,-0.784731,0.588011,0.151089,-0.949318,-0.275623,Swing,Swing,-1269438207,0.212834
9,1.077523,0.019530,2.18601,0.97778,0.10921,0.00000,-0.00539,1,0,1785933915,1,-0.110955,-0.003206,0.168037,0.073125,-0.004050,-0.180900,-0.190132,-0.808628,0.556750,0.142734,-0.932508,-0.331748,Capture,Swing,-1269438207,0.231154
