frame,time,dt,speed,gaitRate,ikWeight,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supported,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftAnchorError,rightAnchorError,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,leftReleaseCooldown,rightReleaseCooldown
0,3.571063,0.018906,0.42663,0.77443,0.75000,1.00000,0.50000,-0.05642,1,0,1,1785933915,1,0.030823,-0.000786,0.275022,0.024998,-0.096738,-0.134323,0.225152,0.000000,0.247415,-0.575853,0.779217,0.403462,-0.912070,-0.073124,Capture,Swing,0.000000,0.000000
1,3.610215,0.017215,0.88018,0.80933,0.57500,1.00000,0.15000,-0.04285,1,0,1,1785933915,1,0.282834,-0.045625,0.041836,0.069771,-0.285539,-0.052176,0.287475,0.000000,0.794917,-0.590737,-0.138336,0.087975,-0.995227,-0.042226,Stance,Swing,0.000000,0.000000
2,3.643975,0.016243,1.32425,0.85212,0.57500,1.00000,0.15000,-0.02793,1,0,1,1785933915,1,-0.019437,-0.145923,-0.196587,-0.148072,-0.565643,0.004385,0.148477,0.000000,-0.335167,-0.715581,-0.612868,-0.174712,-0.984388,0.021350,Stance,Swing,0.000000,0.000000
3,3.681118,0.017931,1.80339,0.90349,0.57500,1.00000,0.15000,-0.01612,1,0,1,1785933915,1,-0.132601,-0.202826,0.208565,0.280706,-0.601981,0.859675,0.067251,0.000000,-0.389667,-0.624658,0.676729,0.180723,-0.576422,0.796917,Stance,Swing,0.000000,0.000000
4,3.734472,0.016630,2.29434,0.96654,0.52248,1.00000,0.04495,-0.00735,1,0,1,1785933915,1,-0.185940,0.024694,0.013742,0.163265,-0.051973,-0.148562,0.329036,0.000000,-0.426935,-0.730218,0.533394,0.309068,-0.943872,-0.116545,Stance,Swing,0.000000,0.000000
5,3.768708,0.017187,2.49317,0.99706,0.50000,1.00000,0.00000,-0.00448,1,0,1,1785933915,1,-0.183456,0.013637,-0.020097,0.245316,-0.127110,-0.044565,0.416701,0.000000,-0.473381,-0.673999,0.567129,0.398233,-0.917116,-0.017573,Stance,Swing,0.000000,0.000000
6,3.805992,0.018053,2.63989,1.02210,0.50866,1.00000,0.01732,-0.00243,1,0,1,1785933915,1,-0.177437,-0.015979,-0.050141,0.315617,-0.221426,-0.013486,0.450751,0.000000,-0.495901,-0.624768,0.603115,0.435554,-0.899409,-0.036825,Stance,Swing,0.000000,0.000000
7,3.840835,0.017484,2.79763,1.04217,0.55219,1.00000,0.10439,-0.01586,1,0,1,1785933915,1,-0.178455,-0.057860,-0.076836,0.374668,-0.428759,-0.065203,0.496549,0.000000,-0.502190,-0.579997,0.641411,0.391595,-0.917524,-0.069311,Stance,Swing,0.000000,0.000000
8,3.878530,0.017142,2.96518,1.06132,0.57500,1.00000,0.15000,-0.03972,1,0,1,1785933915,1,-0.176851,0.016442,-0.224041,0.157331,-0.039730,-0.141099,0.532427,0.000000,-0.267577,-0.877303,-0.398424,0.277805,-0.959930,-0.036864,Stance,Swing,0.000000,0.000000
9,3.917835,0.019957,3.12043,1.07831,0.50058,1.00000,0.00115,-0.04021,1,0,1,1785933915,1,-0.185167,0.016626,-0.264085,0.041266,0.195341,-0.454552,0.567099,0.000000,-0.264027,-0.861416,-0.433881,0.091436,-0.604965,-0.790985,Stance,Swing,0.000000,0.000000
10,3.957413,0.020634,3.21448,1.09129,0.57500,1.00000,0.15000,-0.03002,1,0,1,1785933915,1,-0.204811,-0.006251,-0.271556,-0.256913,0.267612,-0.631500,0.607787,0.000000,-0.286930,-0.881058,-0.376042,-0.397047,-0.277205,-0.874935,Stance,Swing,0.000000,0.000000
11,3.996409,0.019201,3.19018,1.08809,0.57500,1.00000,0.15000,-0.03714,1,0,1,1785933915,1,-0.219418,-0.013505,-0.266221,-0.700916,0.071126,-0.424998,0.656816,0.000000,-0.285472,-0.908448,-0.305332,-0.802945,-0.426867,-0.416009,Stance,Swing,0.000000,0.000000
12,4.031325,0.018491,2.54818,1.02870,0.57500,1.00000,0.15000,-0.04870,1,0,1,1785933915,1,-0.237332,0.016495,-0.253524,-0.650854,0.005164,0.331718,0.568524,0.000000,-0.271427,-0.933783,-0.233190,-0.761522,-0.495461,0.417854,Stance,Swing,0.000000,0.000000
13,4.070410,0.017669,1.75165,0.94899,0.57500,1.00000,0.15000,-0.05765,1,0,1,1785933915,1,-0.280397,0.084405,-0.209140,0.301298,0.405530,0.266461,0.543519,0.000000,-0.269530,-0.952849,-0.139402,0.315874,-0.252252,0.914654,Stance,Swing,0.000000,0.000000
14,4.107757,0.019445,1.15239,0.91660,0.57500,1.00000,0.15000,-0.05956,1,0,1,1785933915,1,-0.289683,0.157174,-0.206966,-0.353684,0.923986,-0.509293,0.804375,0.000000,-0.198295,-0.964612,-0.173791,-0.249257,0.848326,-0.467134,Stance,Swing,0.000000,0.000000
15,4.151335,0.024902,0.66891,0.92803,0.57500,1.00000,0.15000,-0.06368,1,0,1,1785933915,1,-0.316881,0.230159,-0.191341,-0.531264,1.201149,0.868278,0.878537,0.000000,-0.152258,-0.947527,-0.281089,-0.326346,0.525276,0.785865,Stance,Swing,0.000000,0.000000
16,4.194542,0.017475,0.35452,0.90903,0.57500,1.00000,0.15000,-0.07170,1,0,1,1785933915,1,-0.359711,0.306172,-0.133588,0.482753,1.934856,0.089415,0.975094,0.000000,-0.165400,-0.880525,-0.444206,0.551595,0.805708,0.215819,Stance,Swing,0.000000,0.000000
17,4.233616,0.020343,0.16358,0.86709,0.57500,1.00000,0.15000,-0.07445,1,0,1,1785933915,1,-0.389837,0.364567,-0.064099,0.434274,2.055451,1.660611,1.036542,0.000000,-0.201741,-0.741718,-0.639652,0.311376,0.673342,0.670564,Stance,Swing,0.000000,0.000000
18,4.270662,0.019380,0.06280,0.84114,0.57500,1.00000,0.15000,-0.07136,1,0,1,1785933915,1,-0.406138,0.384121,0.027143,0.160572,2.964658,1.631842,1.073832,0.000000,-0.296775,-0.529621,-0.794624,0.244211,0.863378,0.441520,Stance,Swing,0.000000,0.000000
19,4.308117,0.019411,0.02725,0.86377,0.57500,1.00000,0.15000,-0.06331,1,0,1,1785933915,1,-0.392630,0.353800,0.128956,0.714374,3.481655,1.910431,1.084567,0.000000,-0.476837,-0.295334,-0.827891,0.338364,0.848636,0.406604,Stance,Swing,0.000000,0.000000
20,4.346022,0.018673,0.01217,0.90004,0.57500,1.00000,0.15000,-0.05335,1,0,1,1785933915,1,-0.338117,0.284181,0.206429,0.918010,3.605205,2.865135,1.100409,0.000000,-0.694112,-0.123601,-0.709177,0.290123,0.790764,0.539000,Stance,Swing,0.000000,0.000000
21,4.383194,0.018762,0.00556,0.93165,0.57500,1.00000,0.15000,-0.04479,1,0,1,1785933915,1,-0.251315,0.201281,0.233152,1.519419,2.937259,4.145767,1.119601,0.000000,-0.871211,-0.077911,-0.484688,0.292426,0.605872,0.739869,Stance,Swing,0.000000,0.000000
22,4.420666,0.016953,0.00012,0.95554,0.57500,1.00000,0.15000,-0.04115,1,0,1,1785933915,1,-0.149035,0.136573,0.207585,2.648888,3.243604,4.134470,1.144876,0.000000,-0.959332,-0.166297,-0.228094,0.425369,0.547386,0.720716,Stance,Swing,0.000000,0.000000
23,4.457871,0.015999,0.00096,0.97189,0.57500,1.00000,0.15000,-0.04546,1,0,1,1785933915,1,0.125090,0.047085,-0.242538,0.425941,0.234216,0.635521,1.166204,0.000000,0.325603,-0.716977,-0.616382,0.405089,0.096521,0.909168,Stance,Swing,0.000000,0.000000
24,4.493979,0.021264,0.00000,0.98236,0.57500,1.00000,0.15000,-0.05019,1,0,1,1785933915,1,0.145338,0.076558,-0.292212,0.173042,0.003079,0.129949,1.189780,0.000000,0.428116,-0.687349,-0.586743,0.267247,-0.796734,0.542028,Stance,Swing,0.000000,0.000000
25,4.529349,0.018532,0.00000,0.98900,0.57500,1.00000,0.15000,-0.05101,1,0,1,1785933915,1,0.108545,0.067006,-0.286269,0.189018,0.003425,0.127211,1.226102,0.000000,0.346637,-0.715931,-0.606042,0.391014,-0.761485,0.516961,Stance,Swing,0.000000,0.000000
26,4.567444,0.018190,0.00000,0.99348,0.57500,1.00000,0.15000,-0.04876,1,0,1,1785933915,1,0.060779,0.050839,-0.266718,0.204890,-0.013457,0.124771,1.277793,0.000000,0.234132,-0.756000,-0.611266,0.558073,-0.740808,0.373844,Stance,Swing,0.000000,0.000000
27,4.608615,0.021658,0.00000,0.99634,0.57500,1.00000,0.15000,-0.04554,1,0,1,1785933915,1,0.020778,0.031074,-0.229818,0.206924,-0.049766,0.164165,1.316708,0.000000,0.131960,-0.801149,-0.583736,0.576331,-0.794971,0.189377,Stance,Swing,0.000000,0.000000
28,4.642758,0.015448,0.00031,0.99775,0.54882,1.00000,0.09764,-0.04217,1,0,1,1785933915,1,0.000166,0.011205,-0.181931,0.221119,-0.076322,0.304046,1.337089,0.000000,0.076438,-0.846244,-0.527284,0.425483,-0.868063,0.255794,Stance,Swing,0.000000,0.000000
29,4.678031,0.017661,0.00084,0.99865,0.51635,1.00000,0.03270,-0.04208,1,0,1,1785933915,1,0.211613,0.076897,-0.222531,0.189856,-0.003472,0.161370,1.329262,0.000000,0.580403,-0.701061,-0.414301,0.206941,-0.831261,0.515926,Stance,Swing,0.000000,0.000000
