schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,0,0.000000,0.033333,-1269438207,18.089880,0,XBot Walk Neutral,0.065930,57.833110,0.036418,0.001113,0.999999,0.000593,0.141404,-0.088351,0.233053,0.000000,0.000000,1,0.089884,0.589884,-0.201169,56.413070,-0.082859,0.307829,56.856330,0.051868,-0.041233,0.999141,-0.004026,-0.286841,0.467874,-0.835953,-0.203957,56.447850,-0.116167,0.299003,56.901220,0.038283,1785933915,4453552,1,1,1.161374,0.276767,0.579222,-0.061660,-0.002324,-0.182460,1.158205,0.310290,0.886375,-0.008259,-0.243069,-0.048984,-0.200788,56.755000,-0.082644,0.307567,56.621270,0.051728,0.000000,0.000000,0,0,Swing,Swing,0.000000,118.763500,164.089500,125.337800,91.640240,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,0,0.000000,0.033333,-1269438207,4.759946,0,Walking Backwards,-0.091526,55.229550,5.666083,-0.001646,0.994793,0.101905,-0.003047,0.023363,0.188716,0.000000,0.000000,1,0.759946,0.259946,0.139102,54.320820,5.652489,-0.300652,54.223160,5.562787,-0.001646,0.994793,0.101905,-0.001646,0.994793,0.101905,0.133277,54.322430,5.643341,-0.300451,54.227760,5.511074,0,0,0,0,0.133277,54.322430,5.643341,-0.300451,54.227760,5.511074,0.139102,54.320820,5.652489,-0.300652,54.223160,5.562787,0.139102,54.320820,5.652489,-0.300652,54.223160,5.562787,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.074100,163.248300,124.799200,91.721310,NaN,NaN,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,1,0.033333,0.033333,-1269438207,18.278320,0,XBot Walk Neutral,0.070614,57.828880,0.042937,0.001193,0.999999,0.000703,0.146372,-0.051056,0.248012,0.000000,0.000000,1,0.278320,0.778320,-0.202175,56.413140,-0.056769,0.316632,56.803030,0.020086,-0.041233,0.999141,-0.004026,-0.171799,0.472833,-0.864242,-0.203393,56.447980,-0.089893,0.305854,56.868740,0.020149,1785933915,4453552,1,1,1.160810,0.303042,0.579351,-0.052738,-0.038984,-0.185897,1.159204,0.336406,0.869045,0.002144,-0.262325,-0.074009,-0.201787,56.737670,-0.056529,0.316405,56.613200,0.019953,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.186900,163.280100,123.498000,95.545600,NaN,NaN,0.005021,0.007959,0.000000,0.000000,1.121521,1.965629,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,1,0.033333,0.033333,-1269438207,4.934418,0,Walking Backwards,-0.091936,55.229530,5.691444,-0.001653,0.994747,0.102356,-0.003090,0.023412,0.191319,0.000000,0.000000,1,0.934418,0.434418,0.133770,54.322350,5.687510,-0.298185,54.228050,5.564065,-0.001653,0.994747,0.102356,-0.001653,0.994747,0.102356,0.134582,54.322100,5.660534,-0.299752,54.226910,5.540825,0,0,0,0,0.134582,54.322100,5.660534,-0.299752,54.226910,5.540825,0.133770,54.322350,5.687510,-0.298185,54.228050,5.564065,0.133770,54.322350,5.687510,-0.298185,54.228050,5.564065,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.970200,162.808800,124.192100,90.591570,NaN,NaN,0.002697,0.006143,0.000000,0.000000,0.901789,0.604903,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,2,0.066667,0.033333,-1269438207,18.455170,0,XBot Walk Neutral,0.075430,57.825850,0.049868,0.001276,0.999999,0.000821,0.149958,-0.017311,0.255941,0.000000,0.000000,1,0.455174,0.955174,-0.188945,56.413610,-0.073791,0.324636,56.846170,0.043798,-0.041233,0.999141,-0.004026,-0.190270,0.480817,-0.855928,-0.198996,56.448220,-0.077094,0.313411,56.856670,0.011594,1785933915,4453552,1,1,1.156413,0.315841,0.579584,-0.046415,-0.053068,-0.188178,1.145942,0.319426,0.873703,0.006365,-0.244613,-0.053989,-0.188526,56.742330,-0.073509,0.324346,56.619320,0.043612,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.045900,160.640500,124.541000,97.734760,NaN,NaN,0.005446,0.004015,0.000000,0.000000,0.582827,1.220451,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,2,0.066667,0.033333,-1269438207,5.107059,0,Walking Backwards,-0.092349,55.229530,5.717032,-0.001661,0.994700,0.102810,-0.003133,0.023493,0.193954,0.000000,0.000000,1,0.107060,0.607060,0.130889,54.326740,5.760167,-0.299377,54.230380,5.568671,-0.001661,0.994700,0.102810,-0.001661,0.994700,0.102810,0.133331,54.323670,5.699781,-0.299322,54.228180,5.556445,0,0,0,0,0.133331,54.323670,5.699781,-0.299322,54.228180,5.556445,0.130889,54.326740,5.760167,-0.299377,54.230380,5.568671,0.130889,54.326740,5.760167,-0.299377,54.230380,5.568671,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,118.169800,162.313400,127.952300,90.684010,NaN,NaN,0.011715,0.005232,0.000000,0.000000,1.973281,0.274112,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,3,0.100000,0.033333,-1269438207,18.623130,0,XBot Walk Neutral,0.080351,57.824160,0.057050,0.001361,0.999999,0.000944,0.156247,0.030863,0.262960,0.000000,0.000000,1,0.623131,0.123131,-0.173616,56.414130,-0.102065,0.329501,56.976380,0.124041,-0.041233,0.999141,-0.004026,-0.364089,0.497129,-0.787592,-0.189217,56.448590,-0.083918,0.318647,56.899310,0.038421,1785933915,4453552,1,1,1.146634,0.309017,0.579961,-0.055507,-0.004048,-0.184391,1.130596,0.291186,0.866917,0.006688,-0.212668,0.019750,-0.173179,56.735550,-0.101749,0.329007,56.613510,0.123699,0.000000,0.000000,0,0,Swing,Swing,0.000000,122.002800,163.893600,124.575500,90.285450,NaN,NaN,0.007669,0.015092,0.000000,0.000000,0.451542,3.749880,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,3,0.100000,0.033333,-1269438207,5.277890,0,Walking Backwards,-0.092766,55.229530,5.742846,-0.001668,0.994652,0.103269,-0.003176,0.023597,0.196630,0.000000,0.000000,1,0.277890,0.777890,0.129208,54.319370,5.784629,-0.303867,54.230750,5.569151,-0.001668,0.994652,0.103269,-0.001668,0.994652,0.103269,0.131455,54.322830,5.741157,-0.300823,54.229500,5.564005,0,0,0,0,0.131455,54.322830,5.741157,-0.300823,54.229500,5.564005,0.129208,54.319370,5.784629,-0.303868,54.230750,5.569151,0.129208,54.319370,5.784629,-0.303868,54.230750,5.569151,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.563400,163.428700,124.921200,90.108150,NaN,NaN,0.001881,0.006343,0.000000,0.000000,1.706168,0.578784,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,4,0.133333,0.033333,-1269438207,18.783850,0,XBot Walk Neutral,0.085476,57.823880,0.064483,0.001447,0.999998,0.001071,0.165828,0.055617,0.275280,0.000000,0.000000,1,0.783854,0.283854,-0.172449,56.414070,-0.128143,0.336666,56.997520,0.140167,-0.041233,0.999141,-0.004026,-0.376224,0.504352,-0.777229,-0.181003,56.448860,-0.102283,0.324632,56.942050,0.067160,1785933915,4453552,1,1,1.138420,0.290652,0.580225,-0.065524,0.044759,-0.180200,1.129393,0.265154,0.872387,0.012750,-0.209704,0.035563,-0.171976,56.741020,-0.127781,0.336101,56.607350,0.139750,0.000000,0.000000,0,0,Swing,Swing,0.000000,120.533700,163.417500,128.853600,89.975580,NaN,NaN,0.007019,0.002216,0.000000,0.000000,2.199003,0.584503,0.000000,0,0,none,1,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,4,0.133333,0.033333,-1269438207,5.446929,0,Walking Backwards,-0.093187,55.229530,5.768886,-0.001676,0.994604,0.103732,-0.003220,0.023724,0.199350,0.000000,0.000000,1,0.446929,0.946929,0.124936,54.320260,5.788772,-0.304134,54.233210,5.610365,-0.001676,0.994604,0.103732,-0.001676,0.994604,0.103732,0.128745,54.321360,5.767586,-0.302541,54.231060,5.581091,0,0,0,0,0.128745,54.321360,5.767586,-0.302541,54.231060,5.581091,0.124936,54.320260,5.788772,-0.304134,54.233210,5.610365,0.124936,54.320260,5.788772,-0.304134,54.233210,5.610365,0.000000,0.000000,0,0,InvalidSurface,InvalidSurface,0.000000,119.574200,163.309500,124.313800,90.209630,NaN,NaN,0.005491,0.003824,0.000000,0.000000,0.345484,0.627450,0.000000,0,0,none,0,0,0,DefaultContact
