frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime
0,0.911812,0.109945,0.90061,0.94128,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.107978,0.065354,-0.058585,0.101206,0.005665,0.013768,-0.271024,-0.899477,0.342763,0.173467,-0.977023,0.123838,Stance,Stance,-1269438207,10.243700
1,0.939156,0.027344,1.08661,0.92935,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.109440,0.061395,-0.048428,0.099758,0.005166,0.006455,-0.269442,-0.894097,0.357758,0.171350,-0.979737,0.103706,Swing,Swing,-1269438207,0.015810
2,0.957016,0.017860,1.20283,0.92591,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112311,0.046921,-0.013130,0.096375,0.004292,-0.015047,-0.260551,-0.880367,0.396317,0.167077,-0.985017,0.042752,Swing,Swing,-1269438207,0.059880
3,0.979003,0.021987,1.35866,0.92719,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.113815,0.036745,0.013302,0.094679,0.003940,-0.031402,-0.252227,-0.874658,0.413951,0.166355,-0.986063,-0.002190,Swing,Swing,-1269438207,0.085932
4,1.001640,0.022638,1.55240,0.93499,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.115391,0.026353,0.049603,0.092247,0.003491,-0.054233,-0.241996,-0.867433,0.434739,0.164789,-0.984395,-0.061742,Swing,Swing,-1269438207,0.114537
5,1.024648,0.023007,1.77175,0.94802,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.116993,0.020751,0.096805,0.089171,0.002678,-0.081051,-0.229949,-0.851573,0.471112,0.161802,-0.978761,-0.125888,Swing,Swing,-1269438207,0.140683
6,1.052310,0.027662,2.02822,0.96694,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.116356,0.022031,0.146103,0.084977,0.001857,-0.111439,-0.214392,-0.827663,0.518662,0.157008,-0.968449,-0.193534,Swing,Swing,-1269438207,0.164412
7,1.073533,0.021223,2.20686,0.98210,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112074,0.028442,0.194412,0.078229,0.001499,-0.148410,-0.193192,-0.787699,0.584985,0.147838,-0.950920,-0.271835,Swing,Swing,-1269438207,0.190297
8,1.096223,0.022690,2.38278,0.99823,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.111299,0.024334,0.200959,0.075562,0.000256,-0.164715,-0.187572,-0.772056,0.607245,0.144777,-0.942251,-0.301998,Swing,Swing,-1269438207,0.210468
9,1.125211,0.028988,2.56972,1.01738,0.07563,0.00000,-0.00688,1,0,1785933915,1,-0.110529,0.002532,0.184133,0.073026,-0.004632,-0.181710,-0.187120,-0.788217,0.586259,0.142787,-0.931902,-0.333422,Capture,Swing,-1269438207,0.232387
10,1.152048,0.026837,2.69448,1.03245,0.17226,0.00000,-0.02444,1,0,1785933915,1,-0.110587,-0.026378,0.113809,0.071678,0.004972,-0.201014,-0.197340,-0.869423,0.452947,0.145470,-0.918418,-0.367894,Stance,Swing,-1269438207,0.260927
11,1.181689,0.029641,2.78485,1.04575,0.08281,0.00000,-0.04084,0,0,1785933915,1,-0.110738,-0.013210,0.154874,0.071819,0.015131,-0.213880,-0.193079,-0.812248,0.550431,0.146738,-0.907722,-0.393076,Swing,Swing,-1269438207,0.287741
12,1.205309,0.023620,2.83000,1.05396,0.00000,0.00000,-0.04277,0,0,1785933915,1,-0.111965,-0.006132,0.156185,0.073879,0.030598,-0.222579,-0.192076,-0.806500,0.559165,0.154196,-0.906283,-0.393540,Swing,Swing,-1269438207,0.317738
13,1.230443,0.025134,2.86004,1.06070,0.00000,0.00000,-0.03478,0,0,1785933915,1,-0.112934,-0.002283,0.135146,0.077390,0.043620,-0.224960,-0.195121,-0.814366,0.546567,0.163926,-0.912171,-0.375596,Swing,Swing,-1269438207,0.341830
14,1.252259,0.021815,2.87562,1.06515,0.00000,0.00000,-0.02527,0,0,1785933915,1,-0.113088,0.001722,0.111353,0.085251,0.052806,-0.216752,-0.198569,-0.829984,0.521246,0.184927,-0.929783,-0.318286,Swing,Swing,-1269438207,0.367630
15,1.271678,0.019419,2.88586,1.06828,0.00000,0.00000,-0.01826,0,0,1785933915,1,-0.111735,0.003643,0.088750,0.094321,0.057616,-0.199537,-0.200147,-0.857293,0.474332,0.208172,-0.948979,-0.236861,Swing,Swing,-1269438207,0.390117
16,1.296312,0.024635,2.89341,1.07131,0.00000,0.00000,-0.01332,0,0,1785933915,1,-0.108917,0.004528,0.067857,0.101295,0.059583,-0.180150,-0.198026,-0.886794,0.417591,0.222720,-0.961669,-0.159967,Swing,Swing,-1269438207,0.410193
17,1.325063,0.028751,2.89751,1.07379,0.00000,0.00000,-0.00871,0,0,1785933915,1,-0.104678,0.005633,0.047865,0.109119,0.058755,-0.149154,-0.194815,-0.916778,0.348663,0.234898,-0.970868,-0.047312,Swing,Swing,-1269438207,0.435732
18,1.350165,0.025102,2.89995,1.07532,0.00000,0.00000,-0.00517,0,0,1785933915,1,-0.098230,0.005823,0.019505,0.116551,0.054279,-0.106057,-0.187103,-0.950859,0.246696,0.239749,-0.967212,0.083790,Swing,Swing,-1269438207,0.465609
19,1.372309,0.022144,2.90138,1.07632,0.00000,0.00000,-0.00322,0,0,1785933915,1,-0.091802,0.006631,-0.006478,0.121203,0.047504,-0.064378,-0.175235,-0.972184,0.155404,0.236545,-0.954341,0.182427,Swing,Swing,-1269438207,0.491730
20,1.391601,0.019292,2.90219,1.07697,0.00000,0.00000,-0.00210,0,0,1785933915,1,-0.086891,0.007849,-0.027764,0.123570,0.040296,-0.024881,-0.164623,-0.982830,0.083333,0.228896,-0.938859,0.257196,Swing,Swing,-1269438207,0.514795
21,1.412280,0.020679,2.90272,1.07750,0.00000,0.00000,-0.00144,0,0,1785933915,1,-0.083709,0.008857,-0.045249,0.123769,0.033713,0.011089,-0.158008,-0.987151,0.023798,0.220065,-0.924368,0.311633,Swing,Swing,-1269438207,0.534902
22,1.439214,0.026935,2.90305,1.07800,0.00000,0.00000,-0.00095,0,0,1785933915,1,-0.081014,0.009579,-0.063690,0.122331,0.027443,0.049263,-0.150782,-0.987800,-0.038938,0.210519,-0.910496,0.355919,Swing,Swing,-1269438207,0.556465
23,1.473391,0.034176,2.90314,1.07840,0.00000,0.08978,-0.00979,0,1,1785933915,1,-0.078329,0.005440,-0.086236,0.119215,0.012388,0.076142,-0.141650,-0.983097,-0.116000,0.202993,-0.919894,0.335542,Swing,Capture,-1269438207,0.584564
24,1.502172,0.028781,2.90303,1.07861,0.00000,0.20370,-0.03109,0,1,1785933915,1,-0.075350,-0.006094,-0.112380,0.113701,-0.017545,0.047759,-0.139206,-0.972880,-0.184734,0.190633,-0.967003,0.169011,Swing,Stance,-1269438207,0.620231
