schema,actor,scenario,targetFps,frame,elapsedSeconds,deltaTime,animatorStateHash,animatorNormalizedTime,animatorInTransition,animatorPrimaryClip,rootX,rootY,rootZ,upX,upY,upZ,velocityX,velocityY,velocityZ,moveIntentX,moveIntentY,stableSupport,leftGaitPhase01,rightGaitPhase01,leftRawX,leftRawY,leftRawZ,rightRawX,rightRawY,rightRawZ,leftRawNormalX,leftRawNormalY,leftRawNormalZ,rightRawNormalX,rightRawNormalY,rightRawNormalZ,leftFilteredX,leftFilteredY,leftFilteredZ,rightFilteredX,rightFilteredY,rightFilteredZ,leftSupportId,rightSupportId,leftSupportGeneration,rightSupportGeneration,leftSupportKind,rightSupportKind,leftAnchorX,leftAnchorY,leftAnchorZ,rightAnchorX,rightAnchorY,rightAnchorZ,leftActualLocalX,leftActualLocalY,leftActualLocalZ,rightActualLocalX,rightActualLocalY,rightActualLocalZ,leftActualX,leftActualY,leftActualZ,rightActualX,rightActualY,rightActualZ,leftIkWeight,rightIkWeight,leftLocked,rightLocked,leftReason,rightReason,leftPlantState,rightPlantState,pelvisOffset,leftKneeAngle,rightKneeAngle,leftAnkleAngle,rightAnkleAngle,leftGap,rightGap,leftFootStep60Hz,rightFootStep60Hz,leftKneeStep60Hz,rightKneeStep60Hz,leftAnkleStep60Hz,rightAnkleStep60Hz,pelvisStep60Hz,discontinuity,allowedTransition,allowedTransitionState,locomoting,pivoting,surfing,footPolicy
animation-contact-v1,player,start-idle-flat,30,5,0.166667,0.033333,-1269438207,0.867629,0,Idle_A,-0.255589,56.764270,-0.146214,-0.004504,0.999987,-0.002575,-0.000560,-0.000108,-0.001785,0.000000,0.000000,1,0.913302,0.904565,-0.596601,55.552810,-0.264747,0.061723,55.573870,-0.233625,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.596226,55.587830,-0.265891,0.062208,55.608830,-0.236147,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.553822,0.127057,0.566117,0.895387,0.156801,0.587112,1.554293,0.128162,0.552471,0.895808,0.159376,0.537960,-0.596697,55.574180,-0.264785,0.061787,55.559670,-0.233571,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,158.232300,164.150100,94.181750,93.572270,NaN,NaN,0.000316,0.000329,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,5,0.166667,0.033333,-1269438207,0.875000,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.925585,0.916848,0.026309,56.900650,3.583392,-0.522157,56.902240,3.558335,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.026882,56.935490,3.586984,-0.523020,56.937090,3.561921,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.294397,0.285002,0.104671,-0.255505,0.285002,0.079557,0.293335,0.356333,0.103041,-0.255052,0.339168,0.077974,0.025819,57.006780,3.589889,-0.522567,56.991250,3.563782,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,158.364000,164.277700,94.189450,93.579610,NaN,NaN,0.000315,0.000327,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,6,0.200000,0.033333,-1269438207,0.898879,0,Idle_A,-0.255416,56.764280,-0.146370,-0.004501,0.999987,-0.002577,0.000755,0.000015,-0.003922,0.000000,0.000000,1,0.948929,0.940191,-0.595994,55.552770,-0.263464,0.061135,55.573890,-0.232392,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.595599,55.587790,-0.264516,0.061429,55.608850,-0.234782,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.553194,0.128431,0.566078,0.896166,0.158166,0.587134,1.553685,0.129446,0.552189,0.896397,0.160610,0.537899,-0.596089,55.573900,-0.263502,0.061199,55.559610,-0.232338,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,158.759400,164.660700,94.202710,93.590390,NaN,NaN,0.000315,0.000326,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,6,0.200000,0.033333,-1269438207,0.906250,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.939172,0.930435,0.025974,56.900730,3.582187,-0.521558,56.902320,3.557159,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.026442,56.935570,3.585801,-0.522327,56.937160,3.560748,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.293957,0.285003,0.103485,-0.254812,0.285002,0.078381,0.293002,0.356080,0.101833,-0.254453,0.339093,0.076796,0.025486,57.006610,3.588667,-0.521968,56.991250,3.562602,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,158.871000,164.768600,94.202510,93.589150,NaN,NaN,0.000316,0.000328,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,7,0.233333,0.033333,-1269438207,0.930129,0,Idle_A,-0.255242,56.764280,-0.146478,-0.004498,0.999987,-0.002580,0.000670,-0.000006,-0.003319,0.000000,0.000000,1,0.611307,0.602569,-0.595553,55.552730,-0.262050,0.060716,55.573920,-0.230955,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.595038,55.587750,-0.263150,0.060813,55.608870,-0.233426,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.552633,0.129798,0.566039,0.896782,0.159522,0.587158,1.553242,0.130861,0.551914,0.896814,0.162047,0.537773,-0.595647,55.573630,-0.262087,0.060781,55.559490,-0.230901,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,159.194900,165.080800,94.184780,93.567170,NaN,NaN,0.000324,0.000341,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,7,0.233333,0.033333,-1269438207,0.937500,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.439293,0.430556,0.025784,56.900810,3.580901,-0.521105,56.902400,3.555833,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.026109,56.935650,3.584579,-0.521735,56.937240,3.559526,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.293624,0.285002,0.102261,-0.254219,0.285001,0.077157,0.292812,0.355860,0.100545,-0.253999,0.338994,0.075468,0.025296,57.006470,3.587368,-0.521514,56.991230,3.561270,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,159.282500,165.164900,94.173380,93.554420,NaN,NaN,0.000327,0.000348,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,8,0.266667,0.033333,-1269438207,0.961379,0,Idle_A,-0.255124,56.764290,-0.146501,-0.004495,0.999987,-0.002581,-0.001464,-0.000164,-0.003022,0.000000,0.000000,1,0.055795,0.047057,-0.595274,55.552700,-0.260800,0.060399,55.573940,-0.229613,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.594596,55.587720,-0.261816,0.060343,55.608900,-0.232063,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.552191,0.131132,0.566005,0.897253,0.160884,0.587184,1.552962,0.132112,0.551689,0.897131,0.163389,0.537643,-0.595367,55.573400,-0.260836,0.060465,55.559360,-0.229558,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,159.521000,165.393600,94.139910,93.518300,NaN,NaN,0.000269,0.000297,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,8,0.266667,0.033333,-1269438207,0.968750,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.016320,0.007583,0.025634,56.900860,3.580045,-0.520769,56.902460,3.554904,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.025869,56.935710,3.583468,-0.521260,56.937310,3.558383,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.293385,0.285002,0.101147,-0.253744,0.285001,0.076011,0.292663,0.355672,0.099688,-0.253663,0.338885,0.074537,0.025147,57.006340,3.586500,-0.521178,56.991180,3.560334,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,159.580100,165.450100,94.133160,93.511670,NaN,NaN,0.000220,0.000246,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,player,start-idle-flat,30,9,0.300000,0.033333,-1269438207,0.992629,0,Idle_A,-0.255188,56.764290,-0.146347,-0.004495,0.999987,-0.002580,-0.005044,-0.000251,0.005724,0.000000,0.000000,1,0.034630,0.025893,-0.595108,55.552700,-0.260625,0.060023,55.573940,-0.229382,0.032043,0.999380,0.014603,-0.015190,0.999581,-0.024631,-0.594283,55.587690,-0.260888,0.059940,55.608910,-0.231084,1785933915,1785933915,1,1,ArenaWalkableProxy,ArenaWalkableProxy,1.551878,0.132059,0.565981,0.897655,0.161863,0.587202,1.552796,0.132287,0.551552,0.897507,0.163620,0.537594,-0.595200,55.573270,-0.260661,0.060089,55.559310,-0.229327,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,159.719400,165.583000,94.117800,93.496960,NaN,NaN,0.000055,0.000067,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
animation-contact-v1,Rumble Linebreaker Bot,start-idle-flat,30,9,0.300000,0.033333,-1269438207,1.000000,0,Idle_A,-0.267516,58.000000,3.549857,-0.004604,0.998122,0.061089,0.000000,0.000000,0.000000,0.000000,0.000000,1,0.046532,0.037795,0.025439,56.900840,3.580291,-0.520534,56.902450,3.555108,0.000000,0.997981,0.063521,0.000000,0.997981,0.063521,0.025667,56.935750,3.582863,-0.520897,56.937360,3.557733,4294144010,4294144010,1,1,PlanetGround,PlanetGround,0.293182,0.285001,0.100541,-0.253381,0.285001,0.075360,0.292469,0.355588,0.099935,-0.253428,0.338875,0.074741,0.024953,57.006240,3.586742,-0.520943,56.991160,3.560538,0.000000,0.000000,0,0,Stance,Stance,Free,Free,0.000000,159.745700,165.607900,94.129010,93.507840,NaN,NaN,0.000080,0.000077,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,none,0,0,0,DefaultContact
