frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime
0,0.962472,0.068372,0.23945,0.93883,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.108796,0.063737,-0.056843,0.101069,0.005620,0.017788,-0.271639,-0.898897,0.343799,0.173602,-0.975471,0.135349,Stance,Stance,-1269438207,5.457013
1,0.987249,0.024777,0.39118,0.91243,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.106189,0.066019,-0.077342,0.103876,0.005202,0.026025,-0.272296,-0.917139,0.291051,0.177581,-0.971035,0.159864,Swing,Swing,-1269438207,5.876400
2,1.006654,0.019405,0.51831,0.89679,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.107391,0.066989,-0.066374,0.101873,0.005760,0.017943,-0.270412,-0.905924,0.325852,0.174449,-0.974971,0.137840,Swing,Swing,-1269438207,5.975154
3,1.027144,0.020490,0.66177,0.88615,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.109697,0.060163,-0.045946,0.099526,0.005065,0.004873,-0.268834,-0.893178,0.360502,0.171114,-0.980237,0.099273,Swing,Swing,-1269438207,6.034650
4,1.047076,0.019932,0.80940,0.88146,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112013,0.047813,-0.020995,0.097895,0.004338,-0.010936,-0.261534,-0.886572,0.381564,0.170752,-0.983768,0.055182,Swing,Swing,-1269438207,6.084503
5,1.067526,0.020450,0.96789,0.88169,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.114748,0.035002,0.008481,0.096462,0.003243,-0.030544,-0.253649,-0.880632,0.400188,0.171625,-0.985151,0.004646,Swing,Swing,-1269438207,6.124613
6,1.087221,0.019695,1.12579,0.88537,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.118687,0.024277,0.039854,0.095235,0.001440,-0.052952,-0.244455,-0.873082,0.421864,0.172925,-0.983806,-0.047141,Swing,Swing,-1269438207,6.159470
7,1.107689,0.020467,1.29417,0.89140,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.122431,0.017886,0.069252,0.093565,-0.000787,-0.077758,-0.235042,-0.857387,0.457869,0.173051,-0.979812,-0.100110,Swing,Swing,-1269438207,6.188716
8,1.137291,0.029602,1.54076,0.90213,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.122938,0.012345,0.099222,0.090689,-0.003579,-0.106300,-0.225894,-0.834235,0.503016,0.170537,-0.972262,-0.160077,Swing,Swing,-1269438207,6.215529
9,1.164224,0.026934,1.76450,0.91270,0.09867,0.00000,0.00000,1,0,1785933915,1,-0.119468,0.000853,0.108274,0.085501,0.001735,-0.149675,-0.217124,-0.841940,0.493958,0.166675,-0.954178,-0.248522,Capture,Swing,-1269438207,6.248756
