frame,time,dt,speed,gaitRate,leftIkWeight,rightIkWeight,pelvis,leftLocked,rightLocked,supportId,supportGeneration,leftX,leftY,leftZ,rightX,rightY,rightZ,leftKneeX,leftKneeY,leftKneeZ,rightKneeX,rightKneeY,rightKneeZ,leftReason,rightReason,animatorState,normalizedTime
0,1.009186,0.115886,1.09418,0.95744,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.110447,0.066017,-0.057566,0.098558,0.005047,0.014072,-0.275676,-0.896996,0.345545,0.167596,-0.977936,0.124711,Stance,Stance,-1269438207,10.330880
1,1.035241,0.026055,1.28651,0.95038,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.109827,0.059905,-0.044246,0.099259,0.005032,0.003752,-0.268796,-0.891753,0.364039,0.170573,-0.980652,0.096060,Swing,Swing,-1269438207,0.018194
2,1.051909,0.016668,1.39996,0.94914,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112500,0.046098,-0.008729,0.095687,0.004253,-0.017674,-0.259764,-0.877496,0.403142,0.165647,-0.985556,0.035216,Swing,Swing,-1269438207,0.054793
3,1.072210,0.020301,1.54733,0.95180,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.113788,0.036909,0.016838,0.093844,0.003986,-0.032830,-0.251737,-0.871325,0.421214,0.164071,-0.986424,-0.006909,Swing,Swing,-1269438207,0.076366
4,1.091458,0.019248,1.69634,0.95783,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.114884,0.027859,0.051936,0.091438,0.003887,-0.054038,-0.241249,-0.863095,0.443696,0.162077,-0.984732,-0.063520,Swing,Swing,-1269438207,0.100310
5,1.110038,0.018580,1.84777,0.96604,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.115514,0.023242,0.091999,0.088574,0.003636,-0.076076,-0.231326,-0.850000,0.473274,0.158640,-0.980178,-0.118678,Swing,Swing,-1269438207,0.121224
6,1.134160,0.024122,2.05046,0.97914,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.115301,0.023442,0.132078,0.085482,0.003319,-0.098439,-0.220138,-0.834873,0.504506,0.154671,-0.972984,-0.171404,Swing,Swing,-1269438207,0.139975
7,1.153151,0.018991,2.20505,0.99048,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.113047,0.028034,0.174730,0.081313,0.002818,-0.125851,-0.205020,-0.813117,0.544800,0.149795,-0.961380,-0.230888,Swing,Swing,-1269438207,0.162832
8,1.174666,0.021516,2.37339,1.00386,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.112377,0.028896,0.189266,0.079314,0.001919,-0.140807,-0.197004,-0.796412,0.571767,0.148656,-0.954631,-0.258032,Swing,Swing,-1269438207,0.181035
9,1.194947,0.020280,2.51220,1.01615,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.111618,0.026525,0.198637,0.076757,0.000917,-0.157827,-0.189507,-0.778426,0.598448,0.146314,-0.945997,-0.289279,Swing,Swing,-1269438207,0.201937
10,1.214872,0.019925,2.62130,1.02720,0.00000,0.00000,0.00000,0,0,1785933915,1,-0.110799,0.019999,0.202471,0.074058,-0.000728,-0.173884,-0.185540,-0.766116,0.615339,0.143061,-0.937001,-0.318688,Swing,Swing,-1269438207,0.221880
11,1.237905,0.023034,2.71594,1.03833,0.06642,0.00000,-0.00552,1,0,1785933915,1,-0.110171,0.004551,0.185397,0.072463,0.001458,-0.188965,-0.186573,-0.786977,0.588097,0.143641,-0.927347,-0.345537,Capture,Swing,-1269438207,0.241687
12,1.256989,0.019084,2.77281,1.04614,0.14320,0.00000,-0.01885,1,0,1785933915,1,-0.111559,-0.017084,0.134188,0.071612,0.010434,-0.203448,-0.196224,-0.848539,0.491404,0.145570,-0.916645,-0.372253,Stance,Swing,-1269438207,0.264832
13,1.276864,0.019875,2.81544,1.05296,0.07958,0.00000,-0.03112,0,0,1785933915,1,-0.110961,-0.008332,0.158693,0.071753,0.017583,-0.212794,-0.192739,-0.809729,0.554248,0.146325,-0.908743,-0.390866,Swing,Swing,-1269438207,0.284152
14,1.293940,0.017077,2.84155,1.05783,0.01333,0.00000,-0.03649,0,0,1785933915,1,-0.111250,-0.002992,0.165225,0.072704,0.027279,-0.219564,-0.190663,-0.798171,0.571463,0.150098,-0.905514,-0.396883,Swing,Swing,-1269438207,0.304405
15,1.311620,0.017679,2.86092,1.06202,0.00000,0.00000,-0.03419,0,0,1785933915,1,-0.112135,-0.001931,0.152892,0.074423,0.036642,-0.223138,-0.192661,-0.808734,0.555726,0.155753,-0.906966,-0.391348,Swing,Swing,-1269438207,0.321886
16,1.331161,0.019541,2.87447,1.06573,0.00000,0.00000,-0.02923,0,0,1785933915,1,-0.112847,0.000454,0.136605,0.077095,0.045820,-0.225149,-0.194905,-0.813942,0.547276,0.163068,-0.911509,-0.377572,Swing,Swing,-1269438207,0.340057
17,1.352799,0.021639,2.88892,1.06913,0.00000,0.00000,-0.02311,0,0,1785933915,1,-0.113132,0.003123,0.117708,0.082407,0.053144,-0.221139,-0.197616,-0.823908,0.531154,0.177045,-0.923232,-0.341024,Swing,Swing,-1269438207,0.360210
18,1.373898,0.021099,2.89852,1.07164,0.00000,0.00000,-0.01698,0,0,1785933915,1,-0.112380,0.004855,0.096744,0.091486,0.057850,-0.206082,-0.199897,-0.846368,0.493662,0.201358,-0.943191,-0.264283,Swing,Swing,-1269438207,0.382598
19,1.391867,0.017969,2.90101,1.07317,0.00000,0.00000,-0.01217,0,0,1785933915,1,-0.109732,0.005190,0.071381,0.099399,0.060545,-0.186099,-0.198984,-0.880952,0.429336,0.219018,-0.958473,-0.182648,Swing,Swing,-1269438207,0.404479
20,1.410000,0.018134,2.90208,1.07440,0.00000,0.00000,-0.00900,0,0,1785933915,1,-0.106867,0.006197,0.058461,0.105479,0.060391,-0.165816,-0.196213,-0.901232,0.386370,0.229884,-0.967467,-0.105644,Swing,Swing,-1269438207,0.423140
21,1.430223,0.020222,2.90289,1.07550,0.00000,0.00000,-0.00655,0,0,1785933915,1,-0.103480,0.006296,0.041917,0.110823,0.058742,-0.140555,-0.193926,-0.924506,0.328150,0.236692,-0.971422,-0.017799,Swing,Swing,-1269438207,0.441995
22,1.453729,0.023506,2.90356,1.07648,0.00000,0.00000,-0.00454,0,0,1785933915,1,-0.098880,0.006240,0.022083,0.116003,0.055241,-0.109974,-0.188148,-0.948176,0.256052,0.239727,-0.968061,0.073412,Swing,Swing,-1269438207,0.463042
23,1.474061,0.020332,2.90393,1.07712,0.00000,0.00000,-0.00292,0,0,1785933915,1,-0.092751,0.006707,-0.002511,0.120563,0.049007,-0.071373,-0.177193,-0.969524,0.169191,0.237447,-0.956860,0.167446,Swing,Swing,-1269438207,0.487530
24,1.492892,0.018831,2.90414,1.07758,0.00000,0.00000,-0.00198,0,0,1785933915,1,-0.088096,0.007706,-0.022353,0.123185,0.042435,-0.035471,-0.167232,-0.980654,0.101743,0.231272,-0.943122,0.238817,Swing,Swing,-1269438207,0.508723
25,1.513221,0.020329,2.90423,1.07796,0.00000,0.00000,-0.00137,0,0,1785933915,1,-0.084620,0.008677,-0.039620,0.123874,0.035956,-0.000779,-0.159934,-0.986189,0.043034,0.223056,-0.929080,0.295054,Swing,Swing,-1269438207,0.528360
26,1.531150,0.017929,2.90424,1.07822,0.00000,0.00000,-0.00091,0,0,1785933915,1,-0.081828,0.009468,-0.057828,0.122975,0.029400,0.037361,-0.153325,-0.987994,-0.018939,0.213432,-0.914496,0.343722,Swing,Swing,-1269438207,0.549568
27,1.553252,0.022103,2.90420,1.07846,0.00000,0.05976,-0.00530,0,1,1785933915,1,-0.079809,0.007641,-0.073260,0.120719,0.020559,0.059769,-0.146512,-0.986540,-0.072611,0.207247,-0.914682,0.346994,Swing,Capture,-1269438207,0.568275
28,1.574015,0.020763,2.90412,1.07862,0.00000,0.13344,-0.01760,0,1,1785933915,1,-0.077680,0.001486,-0.090954,0.117413,0.002312,0.062043,-0.140084,-0.981265,-0.132270,0.198329,-0.941551,0.272301,Swing,Stance,-1269438207,0.591343
29,1.594581,0.020566,2.90400,1.07874,0.00000,0.06423,-0.03091,0,0,1785933915,1,-0.075791,-0.005775,-0.106759,0.113610,0.001433,0.127972,-0.138182,-0.974912,-0.174507,0.194276,-0.895442,0.400550,Swing,Swing,-1269438207,0.613016
30,1.617998,0.023417,2.90383,1.07883,0.00000,0.00000,-0.03630,0,0,1785933915,1,-0.074440,-0.008969,-0.122505,0.108711,0.004795,0.175700,-0.143397,-0.969257,-0.199947,0.187125,-0.872289,0.451771,Swing,Swing,-1269438207,0.634485
31,1.641373,0.023375,2.90361,1.07889,0.00000,0.00000,-0.03222,0,0,1785933915,1,-0.072169,-0.007353,-0.141192,0.102957,0.009986,0.204468,-0.151493,-0.964428,-0.216628,0.183232,-0.859589,0.477004,Swing,Swing,-1269438207,0.658933
32,1.662757,0.021385,2.90337,1.07892,0.00000,0.00000,-0.02509,0,0,1785933915,1,-0.068968,-0.003996,-0.161237,0.099107,0.014203,0.222932,-0.155640,-0.960278,-0.231607,0.178847,-0.842837,0.507583,Swing,Swing,-1269438207,0.683339
33,1.682181,0.019423,2.90314,1.07893,0.00000,0.00000,-0.01877,0,0,1785933915,1,-0.064909,-0.000853,-0.179399,0.096930,0.013796,0.232342,-0.150637,-0.955549,-0.253445,0.169428,-0.823680,0.541153,Swing,Swing,-1269438207,0.705667
34,1.702730,0.020550,2.90289,1.07894,0.00000,0.00000,-0.01395,0,0,1785933915,1,-0.061616,0.001383,-0.196366,0.096837,0.008650,0.232931,-0.141508,-0.946330,-0.290578,0.159249,-0.807918,0.567369,Swing,Swing,-1269438207,0.725947
35,1.721188,0.018457,2.90265,1.07894,0.00000,0.00000,-0.00995,0,0,1785933915,1,-0.058123,0.010150,-0.213313,0.097363,0.006435,0.227035,-0.129466,-0.932732,-0.336527,0.148819,-0.798761,0.582953,Swing,Swing,-1269438207,0.747404
36,1.742635,0.021447,2.90237,1.07893,0.00000,0.00000,-0.00723,0,0,1785933915,1,-0.055010,0.023240,-0.226797,0.098017,0.007435,0.216994,-0.117964,-0.918143,-0.378282,0.141921,-0.802869,0.579017,Swing,Swing,-1269438207,0.766676
37,1.768313,0.025678,2.90213,1.07892,0.00000,0.00000,-0.00491,0,0,1785933915,1,-0.055579,0.042637,-0.235801,0.101213,0.010178,0.204288,-0.135914,-0.925563,-0.353357,0.142018,-0.809054,0.570318,Swing,Swing,-1269438207,0.789069
38,1.793202,0.024889,2.90122,1.07886,0.00000,0.00000,-0.00304,0,0,1785933915,1,-0.060414,0.065955,-0.236312,0.106343,0.011968,0.186657,-0.172201,-0.944465,-0.279880,0.151196,-0.823363,0.547004,Swing,Swing,-1269438207,0.815880
39,1.815112,0.021910,2.89944,1.07872,0.00000,0.00000,-0.00189,0,0,1785933915,1,-0.065348,0.080107,-0.229561,0.110305,0.012068,0.166380,-0.194551,-0.955862,-0.220177,0.162766,-0.845357,0.508801,Swing,Swing,-1269438207,0.841865
40,1.836994,0.021882,2.89254,1.07820,0.00000,0.00000,-0.00123,0,0,1785933915,1,-0.071489,0.089022,-0.217008,0.112284,0.012557,0.146329,-0.219514,-0.964256,-0.148405,0.165280,-0.861192,0.480657,Swing,Swing,-1269438207,0.864738
41,1.857076,0.020082,2.90362,1.07832,0.00000,0.00000,-0.00079,0,0,1785933915,1,-0.077790,0.093929,-0.199741,0.112846,0.012503,0.127172,-0.238058,-0.969039,-0.065513,0.169269,-0.880038,0.443714,Swing,Swing,-1269438207,0.887570
42,1.876945,0.019869,2.92389,1.07914,0.00000,0.00000,-0.00053,0,0,1785933915,1,-0.083762,0.094284,-0.180097,0.112982,0.010856,0.104862,-0.249151,-0.968368,0.013665,0.175643,-0.904081,0.389600,Swing,Swing,-1269438207,0.908526
43,1.900289,0.023344,2.93836,1.08007,0.00000,0.00000,-0.00035,0,0,1785933915,1,-0.089871,0.090638,-0.158059,0.111466,0.009693,0.085843,-0.255905,-0.962414,0.090945,0.178517,-0.923919,0.338388,Swing,Swing,-1269438207,0.929276
44,1.925850,0.025561,2.94137,1.08051,0.00000,0.00000,-0.00022,0,0,1785933915,1,-0.096623,0.083186,-0.128008,0.108547,0.008152,0.060914,-0.261084,-0.948480,0.179502,0.179666,-0.946338,0.268634,Swing,Swing,-1269438207,0.953676
45,1.944519,0.018669,2.93792,1.08048,0.00000,0.00000,-0.00013,0,0,1785933915,1,-0.104155,0.072373,-0.087683,0.104203,0.006582,0.031419,-0.267506,-0.922256,0.279078,0.177251,-0.967500,0.180350,Swing,Swing,-1269438207,0.980404
46,1.963658,0.019139,2.92803,1.07997,0.00000,0.00000,-0.00009,0,0,1785933915,1,-0.108377,0.065280,-0.058848,0.100971,0.005486,0.013264,-0.270877,-0.899908,0.341747,0.173144,-0.977181,0.123040,Swing,Swing,-1269438207,0.999925
47,1.980786,0.017129,2.86475,1.07446,0.00000,0.00000,-0.00006,0,0,1785933915,1,-0.111029,0.055022,-0.029286,0.097402,0.004626,-0.005723,-0.266203,-0.883268,0.385971,0.167494,-0.983443,0.069176,Swing,Swing,-1269438207,1.019927
48,1.999850,0.019064,2.72037,1.06102,0.00000,0.00000,-0.00004,0,0,1785933915,1,-0.112615,0.046636,-0.003049,0.094282,0.004223,-0.021491,-0.259777,-0.870810,0.417379,0.162282,-0.986442,0.024445,Swing,Swing,-1269438207,1.037737
49,2.019366,0.019516,2.58145,1.04798,0.00000,0.00000,-0.00003,0,0,1785933915,1,-0.113886,0.037963,0.026854,0.091828,0.004029,-0.036869,-0.250920,-0.859841,0.444648,0.158663,-0.987154,-0.018784,Swing,Swing,-1269438207,1.057312
50,2.036634,0.017268,2.50705,1.04106,0.00000,0.00000,-0.00002,0,0,1785933915,1,-0.114541,0.031257,0.058735,0.089747,0.004030,-0.053527,-0.241333,-0.849777,0.468655,0.156330,-0.985632,-0.063966,Swing,Swing,-1269438207,1.077104
51,2.056776,0.020142,2.43084,1.03419,0.00000,0.00000,-0.00001,0,0,1785933915,1,-0.114484,0.027366,0.085200,0.088024,0.004268,-0.068880,-0.232902,-0.843647,0.483752,0.154756,-0.982421,-0.104398,Swing,Swing,-1269438207,1.094501
52,2.082138,0.025363,2.30988,1.02316,0.06714,0.00000,-0.00563,1,0,1785933915,1,-0.115331,0.017021,0.094077,0.085840,0.001540,-0.086231,-0.228502,-0.860718,0.454919,0.152388,-0.977154,-0.148149,Capture,Swing,-1269438207,1.114660
53,2.102198,0.020060,2.21105,1.01371,0.15168,0.00000,-0.02048,1,0,1785933915,1,-0.119349,-0.008790,0.048919,0.083399,-0.006332,-0.106728,-0.233608,-0.923556,0.304090,0.150421,-0.969240,-0.194803,Stance,Swing,-1269438207,1.139773
54,2.125563,0.023365,2.01977,0.99202,0.08482,0.00000,-0.03324,0,0,1785933915,1,-0.114552,-0.002523,0.133112,0.081652,-0.013458,-0.122245,-0.216848,-0.853890,0.473127,0.149940,-0.962565,-0.225803,Swing,Swing,-1269438207,1.159451
55,2.151682,0.026119,1.68156,0.97127,0.00693,0.00000,-0.03806,0,0,1785933915,1,-0.112328,0.009897,0.190179,0.079213,-0.016946,-0.140633,-0.196816,-0.795565,0.573009,0.148589,-0.954300,-0.259293,Stance,Stance,-1269438207,1.181882
56,2.171631,0.019949,1.39640,0.96648,0.00000,0.00000,-0.03198,0,0,1785933915,1,-0.118594,-0.000230,0.156337,0.083218,-0.017741,-0.137266,-0.206344,-0.802075,0.560445,0.158363,-0.958496,-0.237080,Stance,Stance,-1269438207,1.210905
57,2.189489,0.017858,1.15586,0.96652,0.00000,0.00000,-0.02545,0,0,1785933915,1,-0.121193,-0.005485,0.113859,0.088645,-0.016450,-0.128083,-0.219620,-0.824174,0.522020,0.169687,-0.964120,-0.204153,Stance,Stance,-1269438207,1.237260
58,2.216002,0.026513,0.84772,0.97029,0.00000,0.00000,-0.01992,0,0,1785933915,1,-0.120472,0.003223,0.071342,0.094265,-0.006225,-0.116781,-0.231275,-0.850105,0.473111,0.180414,-0.969052,-0.168491,Stance,Stance,-1269438207,1.265498
59,2.237474,0.021472,0.64730,0.97459,0.00000,0.00000,-0.01321,0,0,1785933915,1,-0.118132,0.024035,0.016513,0.100721,0.004216,-0.093505,-0.245732,-0.876443,0.414082,0.188838,-0.977012,-0.098929,Stance,Stance,-1269438207,1.321765
60,2.257176,0.019702,0.49963,0.97863,0.00000,0.00000,-0.00921,0,0,1785933915,1,-0.113853,0.038123,-0.014784,0.104963,0.006256,-0.064518,-0.251539,-0.887716,0.385601,0.193464,-0.981094,-0.005147,Stance,Stance,-1269438207,1.380384
61,2.279610,0.022434,0.36799,0.98289,0.00000,0.00000,-0.00651,0,0,1785933915,1,-0.108469,0.044136,-0.037084,0.106407,0.008045,-0.026346,-0.251033,-0.907928,0.335633,0.190713,-0.976980,0.095595,Stance,Stance,-1269438207,1.448480
