sequence,frame,seconds,source_id,events,selected_region,angle_deg,peak_displacement_m,stone_x,stone_y,stone_z,aim_bone_x,aim_bone_y,aim_bone_z,contact_x,contact_y,contact_z,incoming_x,incoming_y,incoming_z,response,first_surface
Head,28,0.9333,2899181830,1,2,0.0000,0.12000,-0.7111,70.6716,4.3295,-0.3234,70.3425,4.8430,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,29,0.9667,2899181830,1,2,0.0000,0.12000,-0.7223,70.6804,4.3354,-0.3236,70.3420,4.8427,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,30,1.0000,2899181830,1,2,0.0000,0.12000,-0.7447,70.6981,4.3472,-0.3239,70.3416,4.8420,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,31,1.0333,2899181830,1,2,0.0000,0.12000,-0.7671,70.7157,4.3590,-0.3238,70.3417,4.8420,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,32,1.0667,2899181830,1,2,0.0000,0.12000,-0.7783,70.7245,4.3649,-0.3236,70.3420,4.8421,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,33,1.1000,2899181830,1,2,0.0000,0.12000,-0.8007,70.7421,4.3767,-0.3234,70.3427,4.8422,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,34,1.1333,2899181830,1,2,0.0000,0.12000,-0.8231,70.7597,4.3885,-0.3233,70.3434,4.8422,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,35,1.1667,2899181830,1,2,0.0000,0.12000,-0.8343,70.7686,4.3944,-0.3233,70.3442,4.8422,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,36,1.2000,2899181830,1,2,0.0000,0.12000,-0.8566,70.7862,4.4062,-0.3233,70.3449,4.8422,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
Head,37,1.2333,2899181830,1,2,0.0000,0.12000,-0.8790,70.8038,4.4180,-0.3233,70.3456,4.8420,-0.3499,70.4150,3.9077,0.0000,-0.0625,0.9980,Flinch,Rumble Linebreaker Bot
