frame=63;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=64;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=65;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=66;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=67;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=68;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=69;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=70;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=71;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=72;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=73;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=74;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=75;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=76;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=77;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=78;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=79;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=80;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=81;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=82;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=83;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=84;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=85;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=86;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=87;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=88;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=89;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=90;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=91;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
frame=92;foot=120;carrier=(-2.30, 120.74, 4.70);velocity=(0.00, 0.00, 0.00)
