time,grounded,kind,air,candidate,distance,vertical,speed,action,roll
21.674,True,None,0.000,False,56.105,-0.210,1.201,Locomotion,False
21.684,True,None,0.000,False,56.102,-0.253,1.176,Locomotion,False
21.696,True,None,0.000,False,56.099,-0.253,1.176,Locomotion,False
21.706,True,None,0.000,False,56.096,-0.295,1.152,Locomotion,False
21.717,True,None,0.000,False,56.093,-0.295,1.152,Locomotion,False
21.728,False,StepDown,0.010,True,0.491,-0.335,1.128,Locomotion,False
21.802,False,StepDown,0.085,True,0.455,-0.649,1.318,Locomotion,False
21.816,False,StepDown,0.099,True,0.446,-0.649,1.318,Locomotion,False
21.830,False,StepDown,0.112,True,0.458,-0.801,1.434,Fall,False
21.842,False,StepDown,0.124,True,0.426,-0.610,0.936,Fall,False
21.855,False,StepDown,0.137,True,0.418,-0.610,0.936,Fall,False
21.865,False,StepDown,0.148,True,0.433,-0.844,1.246,Fall,False
21.877,False,StepDown,0.160,True,0.423,-0.844,1.246,Fall,False
21.889,False,StepDown,0.172,True,0.411,-1.091,1.443,Fall,False
21.905,False,StepDown,0.187,True,0.395,-0.768,0.862,Fall,False
21.916,False,StepDown,0.199,True,0.386,-0.768,0.862,Fall,False
21.928,False,StepDown,0.210,True,0.375,-1.042,1.170,Fall,False
21.941,False,StepDown,0.223,True,0.362,-1.317,1.440,Fall,False
21.953,False,StepDown,0.236,True,0.750,-1.317,1.440,Fall,False
21.965,True,None,0.000,True,0.729,-2.313,1.851,SoftLanding,False
